"player","salary","team","pos","opp","ceil","floor","fpts"
"Atlanta Falcons","2400","ATL","DST","NOS","","","4.78"
"New York Giants","3100","NYG","DST","WAS","","","8.02"
"Washington Redskins","2900","WAS","DST","NYG","","","7.95"
"New Orleans Saints","2200","NOS","DST","ATL","","","5.04"
"Indianapolis Colts","3200","IND","DST","JAC","","","8.66"
"Cincinnati Bengals","2700","CIN","DST","BAL","","","5.88"
"Jacksonville Jaguars","2500","JAC","DST","IND","","","6.65"
"Seattle Seahawks","3700","SEA","DST","SFO","","","10.26"
"San Francisco 49ers","2400","SFO","DST","SEA","","","4.28"
"Oakland Raiders","2800","OAK","DST","DEN","","","6.88"
"Denver Broncos","3900","DEN","DST","OAK","","","10.1"
"Los Angeles Rams","2700","LAR","DST","ARI","","","7.38"
"Arizona Cardinals","3000","ARI","DST","LAR","","","10.42"
"Kansas City Chiefs","3300","KCC","DST","SDC","","","9.58"
"San Diego Chargers","2800","SDC","DST","KCC","","","7.88"
"Baltimore Ravens","3000","BAL","DST","CIN","","","8.83"
"Minnesota Vikings","3800","MIN","DST","CHI","","","11.48"
"Green Bay Packers","2800","GBP","DST","DET","","","7.06"
"Detroit Lions","2600","DET","DST","GBP","","","5.6"
"Carolina Panthers","2600","CAR","DST","TBB","","","6.91"
"Pittsburgh Steelers","3600","PIT","DST","CLE","","","9.58"
"Cleveland Browns","2100","CLE","DST","PIT","","","6.64"
"New England Patriots","3200","NEP","DST","MIA","","","7.42"
"Miami Dolphins","2400","MIA","DST","NEP","","","5.78"
"Tampa Bay Buccaneers","3100","TBB","DST","CAR","","","8.78"
"Dallas Cowboys","2800","DAL","DST","PHI","","","7.36"
"New York Jets","2300","NYJ","DST","BUF","","","5.94"
"Chicago Bears","2500","CHI","DST","MIN","","","5.63"
"Buffalo Bills","3400","BUF","DST","NYJ","","","9.33"
"Tennessee Titans","2900","TEN","DST","HOU","","","8.52"
"Philadelphia Eagles","2900","PHI","DST","DAL","","","7.92"
"Houston Texans","3500","HOU","DST","TEN","","","9.36"
