"player","salary","team","pos","opp","ceil","floor","fpts"
"Case Keenum","5000","LAR","QB","CAR","18.4","11.04","14.72"
"Marcus Mariota","5900","TEN","QB","SDC","24.0792","13.8408","18.96"
"Cam Newton","7000","CAR","QB","LAR","25.2992","17.5808","21.44"
"Colin Kaepernick","5600","SFO","QB","NOS","28.0285","10.6315","19.33"
"Drew Brees","7200","NOS","QB","SFO","25.6592","18.5808","22.12"
"Philip Rivers","6500","SDC","QB","TEN","26.989","12.411","19.7"
"Andrew Luck","6700","IND","QB","GBP","30.0645","15.8355","22.95"
"Tyrod Taylor","5000","BUF","QB","SEA","20.5326","13.1274","16.83"
"Russell Wilson","6400","SEA","QB","BUF","22.6914","15.7686","19.23"
"Derek Carr","6300","OAK","QB","DEN","22.068","14.712","18.39"
"Trevor Siemian","5100","DEN","QB","OAK","19.2875","11.5725","15.43"
"Aaron Rodgers","7800","GBP","QB","IND","31.0596","16.0004","23.53"
"Joe Flacco","5500","BAL","QB","PIT","21.1715","15.6485","18.41"
"Ben Roethlisberger","6600","PIT","QB","BAL","26.2131","13.8069","20.01"
"Cody Kessler","5000","CLE","QB","DAL","","","14.68"
"Ryan Fitzpatrick","5700","NYJ","QB","MIA","22.8888","10.7712","16.83"
"Dak Prescott","6100","DAL","QB","CLE","20.9196","17.8204","19.37"
"Jameis Winston","6100","TBB","QB","ATL","24.156","16.104","20.13"
"Matt Ryan","7100","ATL","QB","TBB","24.1845","17.8755","21.03"
"Ryan Tannehill","5600","MIA","QB","NYJ","19.5344","14.1456","16.84"
"Carson Wentz","5100","PHI","QB","NYG","20.2335","12.6665","16.45"
"Matthew Stafford","5600","DET","QB","MIN","22.3647","12.8553","17.61"
"Sam Bradford","5000","MIN","QB","DET","20.5683","16.4917","18.53"
"Nick Foles","5200","KCC","QB","JAC","","","15.48"
"Blake Bortles","5800","JAC","QB","KCC","21.3555","15.7845","18.57"
"Eli Manning","5700","NYG","QB","PHI","21.9982","11.0818","16.54"
<<<<<<< Updated upstream
"Bradley Marquez","3000","LAR","WR","CAR","","","1.5"
"Brian Quick","3400","LAR","WR","CAR","11.8818","6.9782","9.43"
"Lance Kendricks","2900","LAR","TE","CAR","10.8712","6.2488","8.56"
"DeMarco Murray","7600","TEN","RB","SDC","23.1434","14.7966","18.97"
"Derrick Henry","5000","TEN","RB","SDC","10.4907","6.8493","8.67"
"Tavon Austin","4200","LAR","WR","CAR","15.9573","8.7827","12.37"
"Kenny Britt","4400","LAR","WR","CAR","16.2944","9.1656","12.73"
"Greg Olsen","6200","CAR","TE","LAR","20.3966","13.8834","17.14"
"Philly Brown","3100","CAR","WR","LAR","9.1464","3.2136","6.18"
"Ed Dickson","2500","CAR","TE","LAR","4.47","1.49","2.98"
"Todd Gurley","5800","LAR","RB","CAR","20.9664","8.1536","14.56"
"Benny Cunningham","3700","LAR","RB","CAR","3.1682","1.1718","2.17"
"Rishard Matthews","3800","TEN","WR","SDC","13.3906","5.4694","9.43"
"Tajae Sharpe","3000","TEN","WR","SDC","9.4998","3.8802","6.69"
"Tyrell Williams","5000","SDC","WR","TEN","20.3679","5.2521","12.81"
"Dontrelle Inman","3100","SDC","WR","TEN","12.6516","3.5684","8.11"
"Dexter McCluster","3000","SDC","RB","TEN","4.1535","0.1065","2.13"
"Antonio Gates","3000","SDC","TE","TEN","17.3333","7.6067","12.47"
"Robert Turbin","3400","IND","RB","GBP","","","3.89"
"Travis Benjamin","5600","SDC","WR","TEN","22.0106","4.3494","13.18"
"Kenneth Farrow","3000","SDC","RB","TEN","2.8","0","1.4"
"Harry Douglas","3000","TEN","WR","SDC","6.2937","0.3663","3.33"
"Kendall Wright","4400","TEN","WR","SDC","14.992","3.748","9.37"
"Delanie Walker","4600","TEN","TE","SDC","17.5168","8.2432","12.88"
"Anthony Fasano","2500","TEN","TE","SDC","3.535","0.505","2.02"
"Melvin Gordon","6300","SDC","RB","TEN","27.056","8.544","17.8"
"Devin Funchess","3400","CAR","WR","LAR","9.0072","3.9528","6.48"
"Ted Ginn","3900","CAR","WR","LAR","","","6.8"
"Michael Thomas","5500","NOS","WR","SFO","20.3742","11.9658","16.17"
"Willie Snead","5800","NOS","WR","SFO","21.4336","10.0864","15.76"
"Brandon Coleman","3000","NOS","WR","SFO","9.0666","4.0734","6.57"
"Coby Fleener","3400","NOS","TE","SFO","16.4736","4.6464","10.56"
"John Kuhn","3000","NOS","RB","SFO","5.3742","0.9858","3.18"
"Brandin Cooks","7500","NOS","WR","SFO","21.9375","10.5625","16.25"
"Tim Hightower","4000","NOS","RB","SFO","13.981","4.059","9.02"
"Dennis Pitta","3800","BAL","TE","PIT","15.4154","10.0646","12.74"
"Breshad Perriman","3300","BAL","WR","PIT","9.831","3.729","6.78"
"Eli Rogers","3200","PIT","WR","BAL","10.4468","2.2932","6.37"
"Steve Smith","5400","BAL","WR","PIT","","","11.83"
"Mark Ingram","4800","NOS","RB","SFO","16.317","9.583","12.95"
"Shaun Draughn","3800","SFO","RB","NOS","7.6944","1.4656","4.58"
"Torrey Smith","4100","SFO","WR","NOS","13.7852","5.4948","9.64"
"DuJuan Harris","3000","SFO","RB","NOS","","","8.17"
"Mike Davis","3900","SFO","RB","NOS","9.6564","2.7236","6.19"
"Jonathan Stewart","5200","CAR","RB","LAR","20.561","7.799","14.18"
"Fozzy Whittaker","3200","CAR","RB","LAR","10.0521","3.0879","6.57"
"Kelvin Benjamin","6800","CAR","WR","LAR","20.9308","10.3092","15.62"
"Travaris Cadet","3000","NOS","RB","SFO","13.5","0","6.75"
"Garrett Celek","2500","SFO","TE","NOS","5.8487","2.3313","4.09"
"Quinton Patton","3000","SFO","WR","NOS","10.16","5.84","8"
"Jeremy Kerley","4000","SFO","WR","NOS","12.8372","6.3228","9.58"
"Rod Streater","3000","SFO","WR","NOS","2.7472","1.2928","2.02"
"Vance McDonald","2600","SFO","TE","NOS","9.4031","4.7369","7.07"
"Frank Gore","4500","IND","RB","GBP","14.544","9.696","12.12"
"Josh Ferguson","3000","IND","RB","GBP","5.676","3.124","4.4"
=======
"Brian Quick","3400","LAR","WR","CAR","11.8818","6.9782","9.43"
"Tavon Austin","4200","LAR","WR","CAR","15.9573","8.7827","12.37"
"Bradley Marquez","3000","LAR","WR","CAR","","","1.5"
"Lance Kendricks","2900","LAR","TE","CAR","10.8712","6.2488","8.56"
"DeMarco Murray","7600","TEN","RB","SDC","23.1434","14.7966","18.97"
"Kenny Britt","4400","LAR","WR","CAR","16.2944","9.1656","12.73"
"Benny Cunningham","3700","LAR","RB","CAR","3.1682","1.1718","2.17"
"Philly Brown","3100","CAR","WR","LAR","9.1464","3.2136","6.18"
"Devin Funchess","3400","CAR","WR","LAR","9.0072","3.9528","6.48"
"Greg Olsen","6200","CAR","TE","LAR","20.3966","13.8834","17.14"
"Ed Dickson","2500","CAR","TE","LAR","4.47","1.49","2.98"
"Todd Gurley","5800","LAR","RB","CAR","20.9664","8.1536","14.56"
"Derrick Henry","5000","TEN","RB","SDC","10.4907","6.8493","8.67"
"Rishard Matthews","3800","TEN","WR","SDC","13.3906","5.4694","9.43"
"Dontrelle Inman","3100","SDC","WR","TEN","12.6516","3.5684","8.11"
