"player","salary","team","pos","opp","ceil","floor","fpts"
"Nathan Peterman",4700,"BUF","QB","LAC",25.2525,3.6075,14.43
"Tom Brady",8000,"NEP","QB","OAK",35.67,13.53,24.6
"Philip Rivers",5800,"LAC","QB","BUF",25.9888,9.1312,17.56
"Eli Manning",5500,"NYG","QB","KCC",20.871,10.049,15.46
"Case Keenum",5100,"MIN","QB","LAR",25.2987,9.1213,17.21
"Alex Smith",6700,"KCC","QB","NYG",30.392,11.528,20.96
"Derek Carr",7000,"OAK","QB","NEP",26.8498,9.1902,18.02
"Andy Dalton",5100,"CIN","QB","DEN",21.9648,8.7552,15.36
"Matt Ryan",5800,"ATL","QB","SEA",24.992,10.208,17.6
"Russell Wilson",7000,"SEA","QB","ATL",30.3195,11.5005,20.91
"Dak Prescott",6900,"DAL","QB","PHI",27.936,10.864,19.4
"Carson Wentz",7200,"PHI","QB","DAL",29.6888,10.4312,20.06
"Brock Osweiler",4800,"DEN","QB","CIN",19.9175,5.7825,12.85
"Jared Goff",6500,"LAR","QB","MIN",25.9312,8.1888,17.06
"Mitchell Trubisky",4500,"CHI","QB","DET",19.1835,7.2765,13.23
"Tom Savage",4400,"HOU","QB","ARI",20.461,5.439,12.95
"Blaine Gabbert",4900,"ARI","QB","HOU",22.7179,6.2221,14.47
"Brett Hundley",4700,"GBP","QB","BAL",23.2552,5.1048,14.18
"Joe Flacco",4900,"BAL","QB","GBP",18.8632,6.9768,12.92
"Ben Roethlisberger",6600,"PIT","QB","TEN",30.0037,9.7363,19.87
"Ryan Fitzpatrick",5300,"TBB","QB","MIA",27.1512,6.3688,16.76
"Jay Cutler",5400,"MIA","QB","TBB",21.8892,7.6908,14.79
"DeShone Kizer",4500,"CLE","QB","JAC",20.0032,6.3168,13.16
"Matthew Stafford",6000,"DET","QB","CHI",25.6685,10.2315,17.95
"Blake Bortles",5200,"JAC","QB","CLE",24.315,8.105,16.21
"Drew Brees",6800,"NOS","QB","WAS",29.3484,10.3116,19.83
"Kirk Cousins",6800,"WAS","QB","NOS",23.7945,9.0255,16.41
"Marcus Mariota",5600,"TEN","QB","PIT",27.455,4.845,16.15
"Nick O'Leary",2500,"BUF","TE","LAC",2.945,0.155,1.55
"Charles Clay",3900,"BUF","TE","LAC",16.7796,2.1804,9.48
"Andre Holmes",3000,"BUF","WR","LAC",3.5882,1.0718,2.33
"Melvin Gordon",7900,"LAC","RB","BUF",28.752,7.188,17.97
"Austin Ekeler",4500,"LAC","RB","BUF",11.265,3.755,7.51
"Keenan Allen",6300,"LAC","WR","BUF",23.064,6.696,14.88
