player,salary,team,pos,opp,ceil,floor,fpts
"DeSean Jackson",5900,WAS,WR,NYG,,,13.85
"Pierre Garcon",3900,WAS,WR,NYG,,,9.61
"Jamison Crowder",3800,WAS,WR,NYG,,,10.88
"Matt Asiata",3000,MIN,RB,CAR,,,7.4
"Jerick McKinnon",3800,MIN,RB,CAR,,,11.16
"Marquise Goodwin",3000,BUF,WR,ARI,,,7.36
"LeSean McCoy",6500,BUF,RB,ARI,,,15.37
"Robert Woods",3200,BUF,WR,ARI,,,8.91
"Charles Clay",2900,BUF,TE,ARI,,,9.55
"Terrance West",3500,BAL,RB,JAC,,,7.97
"Justin Forsett",3900,BAL,RB,JAC,,,10.31
"Mike Gillislee",3300,BUF,RB,ARI,,,3.68
"Jermaine Gresham",2500,ARI,TE,BUF,,,3.63
"John Brown",4800,ARI,WR,BUF,,,9.96
"Larry Fitzgerald",6900,ARI,WR,BUF,,,18.99
"Jaron Brown",3300,ARI,WR,BUF,,,5.05
"Michael Floyd",5800,ARI,WR,BUF,,,13.31
"Darren Fells",2500,ARI,TE,BUF,,,7.03
"Mike Wallace",5000,BAL,WR,JAC,,,13.34
"Steve Smith",4100,BAL,WR,JAC,,,11.28
"Marqise Lee",3000,JAC,WR,BAL,,,7.78
"Allen Hurns",5200,JAC,WR,BAL,,,12.82
"Rashad Greene",3000,JAC,WR,BAL,,,4.3
"Julius Thomas",4600,JAC,TE,BAL,,,12.85
"Latavius Murray",5700,OAK,RB,TEN,,,15.52
"Marcedes Lewis",2500,JAC,TE,BAL,,,3.63
"Allen Robinson",7500,JAC,WR,BAL,,,19.46
"Chris Ivory",3900,JAC,RB,BAL,,,9.8
"Breshad Perriman",3000,BAL,WR,JAC,,,4.92
"Kamar Aiken",3100,BAL,WR,JAC,,,3.41
"Dennis Pitta",3400,BAL,TE,JAC,,,12.38
"Crockett Gillmore",2500,BAL,TE,JAC,,,3.1
"T.J. Yeldon",5600,JAC,RB,BAL,,,11.48
"David Johnson",7700,ARI,RB,BUF,,,21.69
"Chris Johnson",3500,ARI,RB,BUF,,,5.28
"Philly Brown",3000,CAR,WR,MIN,,,5.43
"Devin Funchess",4100,CAR,WR,MIN,,,7.72
"Kelvin Benjamin",7200,CAR,WR,MIN,,,17.96
"Greg Olsen",5800,CAR,TE,MIN,,,15.99
"C.J. Anderson",7300,DEN,RB,CIN,,,18.63
"Devontae Booker",3000,DEN,RB,CIN,,,4.23
"Ted Ginn",3700,CAR,WR,MIN,,,7.16
"Fozzy Whittaker",3800,CAR,RB,MIN,,,8.9
"Charles Johnson",3000,MIN,WR,CAR,,,7.1
"Stefon Diggs",5100,MIN,WR,CAR,,,16.24
"Adam Thielen",3200,MIN,WR,CAR,,,9.02
"Kyle Rudolph",3100,MIN,TE,CAR,,,9.47
"Cameron Artis-Payne",3000,CAR,RB,MIN,,,8.79
"Demaryius Thomas",6400,DEN,WR,CIN,,,12.92
"Emmanuel Sanders",6000,DEN,WR,CIN,,,12.48
"James Wright",3000,CIN,WR,DEN,,,2.32
"Tyler Boyd",3500,CIN,WR,DEN,,,9.72
"C.J. Uzomah",2500,CIN,TE,DEN,,,4.17
