"player","salary","team","pos","opp","ceil","floor","fpts"
"Ed Dickson",2500,"CAR","TE","SFO",2.225,0.275,1.25
"Carlos Hyde",4600,"SFO","RB","CAR",23.312,5.828,14.57
"Pierre Garcon",5300,"SFO","WR","CAR",24.5817,9.7983,17.19
"Kyle Juszczyk",3000,"SFO","RB","CAR",6.344,3.416,4.88
"Orleans Darkwa",3100,"NYG","RB","DAL",4.464,1.116,2.79
"Odell Beckham",8300,"NYG","WR","DAL",28.3314,12.7286,20.53
"Brice Butler",3000,"DAL","WR","NYG",5.183,1.917,3.55
"Cole Beasley",4700,"DAL","WR","NYG",17.388,8.372,12.88
"Jason Witten",3900,"DAL","TE","NYG",18.5287,8.1313,13.33
"Rhett Ellison",2500,"NYG","TE","DAL",4.3,0.7,2.5
"Mark Ingram",4800,"NOS","RB","MIN",16.5308,6.5892,11.56
"Ezekiel Elliott",8100,"DAL","RB","NYG",24.0832,9.8368,16.96
"Terrance Williams",3800,"DAL","WR","NYG",12.11,5.19,8.65
"Dez Bryant",7500,"DAL","WR","NYG",23.0253,9.6347,16.33
"Sterling Shepard",4100,"NYG","WR","DAL",14.874,5.226,10.05
"Brandon Marshall",5100,"NYG","WR","DAL",19.3262,7.8938,13.61
"Roger Lewis",3300,"NYG","WR","DAL",3.45,1.15,2.3
"Evan Engram",2900,"NYG","TE","DAL",10.269,2.331,6.3
"Alfred Morris",4400,"DAL","RB","NYG",3.962,1.698,2.83
"Darren McFadden",6100,"DAL","RB","NYG",6.996,1.804,4.4
"Jeremy Hill",4400,"CIN","RB","BAL",9.5457,3.9943,6.77
"Joe Mixon",5500,"CIN","RB","BAL",15.9355,6.0445,10.99
"Ameer Abdullah",4300,"DET","RB","ARI",14.96,7.04,11
"Jermaine Gresham",2700,"ARI","TE","DET",9.8438,2.0162,5.93
"Brittan Golden",3000,"ARI","WR","DET",3.162,0.558,1.86
"Theo Riddick",4700,"DET","RB","ARI",16.3806,7.3594,11.87
"Zach Zenner",3800,"DET","RB","ARI",4.6648,2.1952,3.43
