"player","salary","team","pos","opp","ceil","floor","fpts"
"New Orleans Saints","2000","NOS","DST","SDC","","","4.4"
"San Diego Chargers","2300","SDC","DST","NOS","","","5.76"
"Tampa Bay Buccaneers","2600","TBB","DST","DEN","","","6.85"
"Denver Broncos","3700","DEN","DST","TBB","","","9.96"
"Oakland Raiders","2700","OAK","DST","BAL","","","5.16"
"Baltimore Ravens","2400","BAL","DST","OAK","","","8.38"
"Dallas Cowboys","2900","DAL","DST","SFO","","","8.15"
"San Francisco 49ers","2600","SFO","DST","DAL","","","7.28"
"Los Angeles Rams","2700","LAR","DST","ARI","","","5.15"
"Arizona Cardinals","3900","ARI","DST","LAR","","","11.28"
"Minnesota Vikings","3600","MIN","DST","NYG","","","12.16"
"New York Giants","2900","NYG","DST","MIN","","","8.14"
"Kansas City Chiefs","3000","KCC","DST","PIT","","","6.68"
"Pittsburgh Steelers","2800","PIT","DST","KCC","","","7.13"
"Washington Redskins","3500","WAS","DST","CLE","","","9.48"
"Cleveland Browns","2500","CLE","DST","WAS","","","5.55"
"Carolina Panthers","3400","CAR","DST","ATL","","","8.54"
"Atlanta Falcons","2400","ATL","DST","CAR","","","5.88"
"Jacksonville Jaguars","2400","JAC","DST","IND","","","6.74"
"Indianapolis Colts","2200","IND","DST","JAC","","","5.43"
"Miami Dolphins","2700","MIA","DST","CIN","","","6.33"
"Cincinnati Bengals","3200","CIN","DST","MIA","","","9.06"
"Tennessee Titans","2400","TEN","DST","HOU","","","6.4"
"Houston Texans","3200","HOU","DST","TEN","","","10.22"
"Buffalo Bills","2600","BUF","DST","NEP","","","6.48"
"New England Patriots","3300","NEP","DST","BUF","","","9.07"
"Chicago Bears","2500","CHI","DST","DET","","","6.72"
"Detroit Lions","3100","DET","DST","CHI","","","8.23"
"Seattle Seahawks","3800","SEA","DST","NYJ","","","10.13"
"New York Jets","2800","NYJ","DST","SEA","","","6.9"
