"player","salary","team","pos","opp","ceil","floor","fpts"
"Tampa Bay Buccaneers","3200","TBB","DST","SFO","","","6.95"
"San Francisco 49ers","2500","SFO","DST","TBB","","","6.32"
"Cincinnati Bengals","3600","CIN","DST","CLE","","","9.88"
"Cleveland Browns","2200","CLE","DST","CIN","","","6"
"Buffalo Bills","3400","BUF","DST","MIA","","","9.76"
"Miami Dolphins","2500","MIA","DST","BUF","","","6.31"
"San Diego Chargers","2100","SDC","DST","ATL","","","5.1"
"Atlanta Falcons","2800","ATL","DST","SDC","","","6.28"
"Houston Texans","3000","HOU","DST","DEN","","","7.62"
"Denver Broncos","3800","DEN","DST","HOU","","","12.16"
"Arizona Cardinals","3000","ARI","DST","SEA","","","8.49"
"Seattle Seahawks","3300","SEA","DST","ARI","","","8.33"
"New England Patriots","2900","NEP","DST","PIT","","","9.42"
"Pittsburgh Steelers","2700","PIT","DST","NEP","","","5.69"
"Tennessee Titans","2500","TEN","DST","IND","","","8.44"
"Indianapolis Colts","2500","IND","DST","TEN","","","6.32"
"Minnesota Vikings","3700","MIN","DST","PHI","","","10.22"
"Philadelphia Eagles","3100","PHI","DST","MIN","","","9.18"
"Los Angeles Rams","2700","LAR","DST","NYG","","","8.86"
"New York Giants","2700","NYG","DST","LAR","","","6.78"
"Chicago Bears","2300","CHI","DST","GBP","","","5.39"
"Green Bay Packers","3300","GBP","DST","CHI","","","9.26"
"New Orleans Saints","2000","NOS","DST","KCC","","","4.88"
"Kansas City Chiefs","2600","KCC","DST","NOS","","","5.38"
"Washington Redskins","2400","WAS","DST","DET","","","7.4"
"Detroit Lions","2600","DET","DST","WAS","","","8.19"
"New York Jets","2600","NYJ","DST","BAL","","","5.75"
"Baltimore Ravens","2800","BAL","DST","NYJ","","","10.27"
"Oakland Raiders","2400","OAK","DST","JAC","","","5.66"
"Jacksonville Jaguars","2300","JAC","DST","OAK","","","7.23"
