player,salary,team,pos,opp,ceil,floor,fpts
"Russell Wilson",7900,SEA,QB,MIA,,,21.57
"Eli Manning",7500,NYG,QB,DAL,,,18.71
"Dak Prescott",5000,DAL,QB,NYG,,,18.73
"Ryan Tannehill",5900,MIA,QB,SEA,,,14.99
"Ryan Fitzpatrick",6500,NYJ,QB,CIN,,,17.35
"Joe Flacco",6700,BAL,QB,BUF,,,15.65
"Andy Dalton",6800,CIN,QB,NYJ,,,17.67
"Matthew Stafford",7200,DET,QB,IND,,,18.45
"Andrew Luck",8300,IND,QB,DET,,,21.57
"Blaine Gabbert",5200,SFO,QB,LAR,,,14.63
"Case Keenum",5400,LAR,QB,SFO,21.2868,4.9932,13.14
"Kirk Cousins",7400,WAS,QB,PIT,,,18.56
"Ben Roethlisberger",7800,PIT,QB,WAS,,,22.83
"Carson Palmer",7100,ARI,QB,NEP,,,19.51
"Jimmy Garoppolo",6200,NEP,QB,ARI,,,16.73
"Tyrod Taylor",6900,BUF,QB,BAL,,,18.86
"Matt Ryan",7100,ATL,QB,TBB,,,17.7
"Robert Griffin III",5600,CLE,QB,PHI,,,17.33
"Carson Wentz",5000,PHI,QB,CLE,,,15.51
"Aaron Rodgers",8500,GBP,QB,JAC,,,23.19
"Shaun Hill",5000,MIN,QB,TEN,25.36,0,12.68
"Marcus Mariota",6400,TEN,QB,MIN,,,18.67
"Cam Newton",7700,CAR,QB,DEN,,,19.86
"Trevor Siemian",5200,DEN,QB,CAR,,,15.28
"Blake Bortles",7200,JAC,QB,GBP,,,19.02
"Philip Rivers",7000,SDC,QB,KCC,,,16.84
"Derek Carr",7300,OAK,QB,NOS,,,19.84
"Jameis Winston",6600,TBB,QB,ATL,,,18.88
"Drew Brees",8100,NOS,QB,OAK,,,24.75
"Brock Osweiler",6300,HOU,QB,CHI,,,16.36
"Alex Smith",6500,KCC,QB,SDC,,,17.44
"Jay Cutler",6300,CHI,QB,HOU,,,15.94
"Tyler Lockett",5000,SEA,WR,MIA,,,12.75
"Jermaine Kearse",3500,SEA,WR,MIA,,,7.84
"Paul Richardson",3000,SEA,WR,MIA,,,2.96
"Luke Willson",2700,SEA,TE,MIA,,,6.93
"Jimmy Graham",3800,SEA,TE,MIA,,,9.94
"C.J. Prosise",3900,SEA,RB,MIA,9.4,0,4.7
"Doug Baldwin",6600,SEA,WR,MIA,,,16.12
"Christine Michael",3700,SEA,RB,MIA,,,12.44
"Jarvis Landry",6000,MIA,WR,SEA,,,16.02
"Arian Foster",5800,MIA,RB,SEA,,,15.38
"Kenny Stills",3200,MIA,WR,SEA,,,9.97
"Jordan Cameron",3000,MIA,TE,SEA,,,8.32
"Thomas Rawls",6000,SEA,RB,MIA,,,7.43
"Dion Sims",2500,MIA,TE,SEA,,,1.81
"Damien Williams",3000,MIA,RB,SEA,,,3.21
"Leonte Carroo",3200,MIA,WR,SEA,,,4.4
"Ezekiel Elliott",7300,DAL,RB,NYG,,,17.07
"Will Tye",3300,NYG,TE,DAL,,,7.54
"Alfred Morris",3800,DAL,RB,NYG,,,3.01
"Dez Bryant",8500,DAL,WR,NYG,,,17.95
"Cole Beasley",3200,DAL,WR,NYG,,,7.31
"Terrance Williams",3300,DAL,WR,NYG,,,9.18
"Larry Donnell",2900,NYG,TE,DAL,,,5.71
"Dwayne Harris",3600,NYG,WR,DAL,,,2.65
"Shane Vereen",3800,NYG,RB,DAL,,,9.89
"Rashad Jennings",5400,NYG,RB,DAL,,,12.12
"Odell Beckham",9300,NYG,WR,DAL,,,22.51
"Sterling Shepard",4900,NYG,WR,DAL,,,12.47
"Victor Cruz",4000,NYG,WR,DAL,,,7.73
"C.J. Uzomah",2500,CIN,TE,NYJ,,,2.24
"Kellen Davis",2500,NYJ,TE,CIN,,,2.6
"Mike Gillislee",3800,BUF,RB,BAL,,,4.73
"Breshad Perriman",3700,BAL,WR,BUF,,,4.92
"Leonard Hankerson",3300,BUF,WR,BAL,,,5.64
"Crockett Gillmore",2600,BAL,TE,BUF,20.06,0,10.03
"Maxx Williams",2600,BAL,TE,BUF,9.8766,1.2834,5.58
"Terrance West",4100,BAL,RB,BUF,,,6.36
"Mike Wallace",4200,BAL,WR,BUF,,,11.63
"Kamar Aiken",4700,BAL,WR,BUF,,,11.88
"Robert Woods",4600,BUF,WR,BAL,,,10.44
"Sammy Watkins",6900,BUF,WR,BAL,,,17.09
"Greg Salas",3000,BUF,WR,BAL,,,3.06
"Charles Clay",3400,BUF,TE,BAL,,,10.46
"Steve Smith",4900,BAL,WR,BUF,,,11.05
"Reggie Bush",3500,BUF,RB,BAL,9.14,0,4.57
"Dennis Pitta",2600,BAL,TE,BUF,14.98,0,7.49
"Matt Forte",6100,NYJ,RB,CIN,,,14.54
"Tyler Kroft",2700,CIN,TE,NYJ,,,7.68
"Bilal Powell",4300,NYJ,RB,CIN,,,10.02
"Brandon Marshall",7800,NYJ,WR,CIN,,,18.93
"Quincy Enunwa",3800,NYJ,WR,CIN,,,4.82
"Eric Decker",6600,NYJ,WR,CIN,,,15.37
"Brandon Tate",3000,CIN,WR,NYJ,,,3.55
"Tyler Boyd",3600,CIN,WR,NYJ,,,8.39
"Jeremy Hill",4600,CIN,RB,NYJ,,,9.63
"Justin Forsett",4600,BAL,RB,BUF,,,12.47
"Giovani Bernard",4800,CIN,RB,NYJ,,,10
"A.J. Green",8400,CIN,WR,NYJ,,,19.1
"Brandon LaFell",3900,CIN,WR,NYJ,,,9.82
"Brice Butler",3000,DAL,WR,NYG,,,2.14
"Jason Witten",4100,DAL,TE,NYG,,,12.15
"Pierre Garcon",4400,WAS,WR,PIT,,,11.6
"DeSean Jackson",6100,WAS,WR,PIT,,,12.99
"Jamison Crowder",3800,WAS,WR,PIT,,,7.73
"Josh Doctson",3000,WAS,WR,PIT,,,6.92
"Vernon Davis",2600,WAS,TE,PIT,,,2.11
"Jordan Reed",6600,WAS,TE,PIT,,,16.97
"Chris Thompson",4000,WAS,RB,PIT,,,6.53
"Matt Jones",4700,WAS,RB,PIT,,,10.56
"DeAngelo Williams",7000,PIT,RB,WAS,,,19.66
"Andre Ellington",4100,ARI,RB,NEP,9.1848,1.1352,5.16
"Antonio Brown",9800,PIT,WR,WAS,,,30.3
"Sammie Coates",3700,PIT,WR,WAS,,,11.01
"Darrius Heyward-Bey",3600,PIT,WR,WAS,,,3.11
"Fitzgerald Toussaint",3500,PIT,RB,WAS,,,3.42
"Jesse James",3400,PIT,TE,WAS,,,10.64
"Quinton Patton",4000,SFO,WR,LAR,,,9.97
"Torrey Smith",4900,SFO,WR,LAR,,,12.14
"Vance McDonald",3100,SFO,TE,LAR,,,7.2
"Benny Cunningham",3700,LAR,RB,SFO,,,4.98
"Jeremy Kerley",0,SFO,WR,LAR,19,0,9.5
"Shaun Draughn",3700,SFO,RB,LAR,,,5.25
"Carlos Hyde",5600,SFO,RB,LAR,,,12.5
"Lance Kendricks",3200,LAR,TE,SFO,,,8.29
"Todd Gurley",7800,LAR,RB,SFO,,,19.29
"Eli Rogers",4200,PIT,WR,WAS,17.46,0,8.73
"Kenny Britt",3900,LAR,WR,SFO,,,8.1
"Tavon Austin",5000,LAR,WR,SFO,,,12.32
"Brian Quick",3500,LAR,WR,SFO,,,4.43
"James White",3600,NEP,RB,ARI,,,12.44
"Jermaine Gresham",2500,ARI,TE,NEP,,,2.59
"Frank Gore",5500,IND,RB,DET,,,10.92
"Brandon Pettigrew",2500,DET,TE,IND,,,1.76
"Robert Turbin",3000,IND,RB,DET,,,3.09
"T.Y. Hilton",7500,IND,WR,DET,,,15.98
"Phillip Dorsett",4500,IND,WR,DET,,,10.9
"Donte Moncrief",6000,IND,WR,DET,,,15.28
"Eric Ebron",3900,DET,TE,IND,,,9.86
"Anquan Boldin",4500,DET,WR,IND,,,10.93
"Ameer Abdullah",4900,DET,RB,IND,,,11.8
"Gavin Escobar",2600,DAL,TE,NYG,,,2.1
"Theo Riddick",4000,DET,RB,IND,,,11.1
"Golden Tate",7300,DET,WR,IND,,,18.45
"Marvin Jones",4600,DET,WR,IND,,,13.25
"Dwayne Allen",3200,IND,TE,DET,,,9.96
"Jack Doyle",2500,IND,TE,DET,,,2.34
"Larry Fitzgerald",6300,ARI,WR,NEP,,,15.96
"Chris Johnson",3700,ARI,RB,NEP,,,3.52
"Michael Floyd",5900,ARI,WR,NEP,,,13.76
"John Brown",5200,ARI,WR,NEP,,,13.3
"Darren Fells",2700,ARI,TE,NEP,,,5.11
"Jaron Brown",3400,ARI,WR,NEP,,,2.93
"David Johnson",7500,ARI,RB,NEP,,,18.71
"Martellus Bennett",3400,NEP,TE,ARI,,,12.08
"LeGarrette Blount",3700,NEP,RB,ARI,,,8.95
"Zach Zenner",3000,DET,RB,IND,8.24,0,4.12
"Julian Edelman",6100,NEP,WR,ARI,,,16.09
"Danny Amendola",4200,NEP,WR,ARI,,,7.35
"Chris Hogan",3600,NEP,WR,ARI,,,7.88
"LeSean McCoy",6400,BUF,RB,BAL,,,17.67
"Levine Toilolo",2500,ATL,TE,TBB,,,2.04
"Gary Barnidge",4700,CLE,TE,PHI,,,12.98
"Andrew Hawkins",3800,CLE,WR,PHI,,,4.83
"Ryan Mathews",5700,PHI,RB,CLE,,,14.74
"Darren Sproles",4200,PHI,RB,CLE,,,10.5
"Nelson Agholor",3500,PHI,WR,CLE,,,7.36
"Jordan Matthews",6700,PHI,WR,CLE,,,13.9
"Terrelle Pryor",3000,CLE,WR,PHI,,,7.45
"Corey Coleman",5100,CLE,WR,PHI,,,12.57
"Charles Johnson",3000,MIN,WR,TEN,,,6.19
"Marc Mariani",3000,CHI,WR,HOU,,,4.98
"Dorial Green-Beckham",4500,PHI,WR,CLE,,,8.47
"Isaiah Crowell",4200,CLE,RB,PHI,,,8.57
"Duke Johnson",5100,CLE,RB,PHI,,,11.19
"Brent Celek",2700,PHI,TE,CLE,,,6.42
"Zach Ertz",4300,PHI,TE,CLE,,,14.12
"T.J. Yeldon",4100,JAC,RB,GBP,,,13.57
"Jared Cook",2900,GBP,TE,JAC,,,11.01
"Allen Robinson",8300,JAC,WR,GBP,,,18.72
"Allen Hurns",5800,JAC,WR,GBP,,,13.08
"Rashad Greene",3500,JAC,WR,GBP,,,4.19
"Marqise Lee",3100,JAC,WR,GBP,,,4.97
"Richard Rodgers",3100,GBP,TE,JAC,,,7
"Jared Abbrederis",3300,GBP,WR,JAC,,,5.58
"James Starks",4800,GBP,RB,JAC,,,7.85
"Eddie Lacy",6700,GBP,RB,JAC,,,13.98
"Jordy Nelson",7700,GBP,WR,JAC,,,18.78
"Randall Cobb",7600,GBP,WR,JAC,,,17.1
"Davante Adams",4300,GBP,WR,JAC,,,7.32
"Harry Douglas",3400,TEN,WR,MIN,,,7.96
"Andre Johnson",3900,TEN,WR,MIN,,,4.42
"Demaryius Thomas",7000,DEN,WR,CAR,,,16.04
"C.J. Anderson",5900,DEN,RB,CAR,,,14.6
"Emmanuel Sanders",5700,DEN,WR,CAR,,,15.19
"Cody Latimer",3000,DEN,WR,CAR,,,3.65
"Charles Johnson",3000,CAR,WR,DEN,,,7.16
"Virgil Green",2900,DEN,TE,CAR,,,9.31
"Ed Dickson",2500,CAR,TE,DEN,,,2.64
"Greg Olsen",5100,CAR,TE,DEN,,,16.32
"Kelvin Benjamin",5700,CAR,WR,DEN,,,11.86
"Jonathan Stewart",5100,CAR,RB,DEN,,,13.11
"Devin Funchess",4800,CAR,WR,DEN,,,9.46
"Ted Ginn",4100,CAR,WR,DEN,,,7.85
