Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
14.7,Kenny,1.0,LA@NE 01:00PM ET,7852281,Britt,Kenny Britt,Kenny Britt (7852281),NE,WR,14.71,11.5,12.5026884244,12.8992845933,1.0,0.228723404255,5000,LA,6.0,1.0
0.0,Chad,1.0,Den@Jax 01:00PM ET,7852085,Henne,Chad Henne,Chad Henne (7852085),DEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,JAX,0.0,0.0
0.0,Austin,1.0,Den@Jax 01:00PM ET,7852086,Davis,Austin Davis,Austin Davis (7852086),JAX,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,DEN,0.0,0.0
13.1,Blake,1.0,Den@Jax 01:00PM ET,7852088,Bortles,Blake Bortles,Blake Bortles (7852088),DEN,QB,17.79,15.7,16.068291038,16.5648361915,0.0,0.0,5000,JAX,7.0,0.0
0.0,Brandon,1.0,Den@Jax 01:00PM ET,7852089,Allen,Brandon Allen,Brandon Allen (7852089),DEN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,JAX,0.0,0.0
5.3,Paxton,1.0,Den@Jax 01:00PM ET,7852090,Lynch,Paxton Lynch,Paxton Lynch (7852090),JAX,QB,14.96,14.2,14.0397264868,14.466694127,0.0,0.0,5000,DEN,0.0,0.0
0.0,Brandon,1.0,Hou@GB 01:00PM ET,7852092,Weeden,Brandon Weeden,Brandon Weeden (7852092),GB,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,HOU,0.0,0.0
0.0,Tom,1.0,Hou@GB 01:00PM ET,7852094,Savage,Tom Savage,Tom Savage (7852094),GB,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,HOU,0.0,0.0
0.0,Brett,1.0,Hou@GB 01:00PM ET,7852095,Hundley,Brett Hundley,Brett Hundley (7852095),HOU,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,GB,0.0,0.0
0.0,Chase,1.0,Phi@Cin 01:00PM ET,7852096,Daniel,Chase Daniel,Chase Daniel (7852096),CIN,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,PHI,0.0,0.0
0.0,AJ,1.0,Phi@Cin 01:00PM ET,7852098,McCarron,AJ McCarron,AJ McCarron (7852098),PHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CIN,0.0,0.0
0.0,Jeff,1.0,Phi@Cin 01:00PM ET,7852099,Driskel,Jeff Driskel,Jeff Driskel (7852099),PHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CIN,0.0,0.0
0.0,Matt,1.0,Mia@Bal 01:00PM ET,7852101,Moore,Matt Moore,Matt Moore (7852101),BAL,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,MIA,0.0,0.0
-0.1,Ryan,1.0,Mia@Bal 01:00PM ET,7852103,Mallett,Ryan Mallett,Ryan Mallett (7852103),MIA,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,BAL,0.0,0.0
11.9,Mike,1.0,Mia@Bal 01:00PM ET,7852327,Wallace,Mike Wallace,Mike Wallace (7852327),MIA,WR,13.95,11.3,12.0651813526,12.4450061263,1.0,0.2,5000,BAL,6.0,1.0
0.0,Jay,1.0,SF@Chi 01:00PM ET,7852105,Cutler,Jay Cutler,Jay Cutler (7852105),SF,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,CHI,0.0,0.0
0.0,Christian,1.0,SF@Chi 01:00PM ET,7852107,Ponder,Christian Ponder,Christian Ponder (7852107),CHI,QB,0.0,0.0,0.0,0.0,0.0,0.0,5000,SF,0.0,0.0
1.5,Blaine,1.0,SF@Chi 01:00PM ET,7852108,Gabbert,Blaine Gabbert,Blaine Gabbert (7852108),CHI,QB,0.0,0.0,0.0,0.0,14.0,0.00279329608939,5000,SF,0.0,0.0
