"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"WR","Antonio Brown (0000000)","Antonio Brown",0,9900,"Cin@Pit 00:00PM ET","Pit","Antonio","Brown","Cin",28.65,26.1,1,0.305555555555556,0
"WR","Odell Beckham (0000000)","Odell Beckham",0,9500,"NO@NYG 00:00PM ET","NYG","Odell","Beckham","NO",28.24,21.7,1,0.321428571428571,0
"WR","Julio Jones (0000000)","Julio Jones",0,9200,"Atl@Oak 00:00PM ET","Atl","Julio","Jones","Oak",25.66,22.2,1,0.210526315789474,0
"WR","A.J. Green (0000000)","A.J. Green",0,8900,"Cin@Pit 00:00PM ET","Cin","A.J.","Green","Pit",20.59,21.4,1,0.433333333333333,0
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,8700,"KC@Hou 00:00PM ET","Hou","DeAndre","Hopkins","KC",20.28,18.4,2,0.228571428571429,0
"WR","Dez Bryant (0000000)","Dez Bryant",0,8400,"Dal@Was 00:00PM ET","Dal","Dez","Bryant","Was",14.9,17,3,0.133333333333333,0
"QB","Drew Brees (0000000)","Drew Brees",0,8200,"NO@NYG 00:00PM ET","NO","Drew","Brees","NYG",22.61,22.6,0,0,0
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,8000,"NO@NYG 00:00PM ET","NO","Brandin","Cooks","NYG",18.47,16.7,1,0.238095238095238,0
"QB","Cam Newton (0000000)","Cam Newton",0,7900,"SF@Car 00:00PM ET","Car","Cam","Newton","SF",22.99,26,0,0,0
"WR","Allen Robinson (0000000)","Allen Robinson",0,7800,"Jax@SD 00:00PM ET","Jax","Allen","Robinson","SD",19.25,17.4,1,0.41025641025641,0
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,7800,"GB@Min 00:00PM ET","GB","Aaron","Rodgers","Min",22.05,19.5,0,0,0
"WR","Alshon Jeffery (0000000)","Alshon Jeffery",0,7700,"Phi@Chi 00:00PM ET","Chi","Alshon","Jeffery","Phi",18.75,19.2,1,0.241379310344828,0
"QB","Andrew Luck (0000000)","Andrew Luck",0,7700,"Ind@Den 00:00PM ET","Ind","Andrew","Luck","Den",17.83,17.5,0,0,0
"QB","Eli Manning (0000000)","Eli Manning",0,7600,"NO@NYG 00:00PM ET","NYG","Eli","Manning","NO",22.35,22.2,0,0,0
