Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
5.9,Julio,1.0,GB@Atl 04:25PM ET,7642522,Jones,Julio Jones,Julio Jones (7642522),GB,WR,25.56,22.1,22.0441312847,22.0506111984,1.0,0.264227642276,9600,ATL,1.0,0.0
11.0,Mike,1.0,Oak@TB 01:00PM ET,7642482,Evans,Mike Evans,Mike Evans (7642482),OAK,WR,22.76,23.1,21.5998791545,21.4305298629,1.0,0.320512820513,8100,TB,1.0,0.0
3.0,T.Y.,1.0,KC@Ind 01:00PM ET,7642466,Hilton,T.Y. Hilton,T.Y. Hilton (7642466),KC,WR,19.28,21.6,19.4677560482,19.2202829398,1.0,0.291666666667,7900,IND,1.0,0.0
10.8,Brandon,1.0,NYJ@Cle 01:00PM ET,7642507,Marshall,Brandon Marshall,Brandon Marshall (7642507),CLE,WR,18.81,17.0,16.6467335061,16.6138126605,1.0,0.268,7800,NYJ,3.0,0.0
17.8,David,1.0,Ari@Car 01:00PM ET,7642452,Johnson,David Johnson,David Johnson (7642452),CAR,RB,21.38,19.4,18.9656946818,18.9243189299,3.0,0.160839160839,7700,ARI,1.0,0.0
38.3,Amari,1.0,Oak@TB 01:00PM ET,7642484,Cooper,Amari Cooper,Amari Cooper (7642484),TB,WR,18.17,17.8,16.8743529065,16.7719911184,1.0,0.268382352941,7600,OAK,2.0,0.0
33.1,Tom,1.0,NE@Buf 01:00PM ET,7642355,Brady,Tom Brady,Tom Brady (7642355),BUF,QB,25.73,20.5,21.1844215926,21.2803728362,0.0,0.0,7600,NE,2.0,0.0
33.8,Aaron,1.0,GB@Atl 04:25PM ET,7642351,Rodgers,Aaron Rodgers,Aaron Rodgers (7642351),ATL,QB,21.74,20.4,19.672909233,19.5963685589,0.0,0.0,7500,GB,2.0,0.0
17.4,Larry,1.0,Ari@Car 01:00PM ET,7642552,Fitzgerald,Larry Fitzgerald,Larry Fitzgerald (7642552),CAR,WR,18.82,18.4,17.4568261119,17.3526844523,1.0,0.255244755245,7500,ARI,2.0,0.0
8.4,DeAndre,1.0,Det@Hou 01:00PM ET,7642503,Hopkins,DeAndre Hopkins,DeAndre Hopkins (7642503),DET,WR,17.08,16.6,15.7859280158,15.6964739134,1.0,0.255639097744,7400,HOU,3.0,0.0
