"Place_lo","Place_hi","Payout"
"1","1","2000"
"2","2","1000"
"3","3","750"
"4","4","500"
"5","5","350"
"6","6","250"
"7","8","200"
"9","10","150"
"11","15","100"
"16","25","75"
"26","35","50"
"36","50","40"
"51","75","35"
"76","100","30"
"101","125","25"
"126","175","20"
"176","275","17"
"276","375","14"
"376","525","12"
"526","920","10"
