"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,718871586,"Lunacy3 (47/76)",0,182.55,"P Wily Peralta P Jacob deGrom C Gary Sánchez 1B Brandon Belt 2B Daniel Murphy 3B Justin Turner SS Francisco Lindor OF Kole Calhoun OF Hunter Pence OF Bryce Harper",NA,"Michael Pineda","47.16%",7.45
2,718751906,"jaycoiley58",0,177.35,"P Chris Sale P Matt Moore C Sandy León 1B Chris Davis 2B Dustin Pedroia 3B Alex Bregman SS Francisco Lindor OF Jay Bruce OF Yasiel Puig OF José Ramírez",NA,"Chris Sale","29.04%",27.35
3,718871580,"Lunacy3 (41/76)",0,177.1,"P Wily Peralta P Rich Hill C Buster Posey 1B Brandon Belt 2B Logan Forsythe 3B Justin Turner SS Francisco Lindor OF Adam Jones OF Bryce Harper OF Adam Eaton",NA,"Buster Posey","27.66%",10
4,718133820,"suidmach (141/150)",0,176.05,"P Chris Sale P Tyler Chatwood C Chris Iannetta 1B Brandon Belt 2B Dee Gordon 3B Josh Donaldson SS Francisco Lindor OF Corey Dickerson OF Hunter Pence OF Bryce Harper",NA,"Jacob deGrom","26.52%",23.7
5,718377718,"Backtalker (1/2)",0,172.95,"P James Paxton P Rich Hill C J.T. Realmuto 1B Eric Thames 2B Dee Gordon 3B Jonathan Villar SS Chris Owings OF Nelson Cruz OF A.J. Pollock OF Yasmany Tomás",NA,"Rich Hill","25.01%",20.25
6,718663979,"TinkyTyler (51/58)",0,169.7,"P Dylan Bundy P Chris Sale C Manny Piña 1B Travis Shaw 2B Brandon Drury 3B Jonathan Villar SS Chris Owings OF Ryan Braun OF A.J. Pollock OF Eric Thames",NA,"Brandon Belt","18.68%",24
7,718781967,"BuddyGrady",0,168.25,"P Jacob deGrom P Brandon Finnegan C Evan Gattis 1B Joey Votto 2B José Peraza 3B José Reyes SS Francisco Lindor OF Scott Schebler OF George Springer OF Adam Duvall",NA,"Trea Turner","18.23%",0
8,718354962,"ChipotleAddict (39/150)",0,167.9,"P Chris Sale P Brandon Finnegan C J.T. Realmuto 1B Eric Thames 2B Dee Gordon 3B Travis Shaw SS Jonathan Villar OF Ryan Braun OF Kirk Nieuwenhuis OF Christian Yelich",NA,"A.J. Pollock","17.70%",17
9,718871568,"Lunacy3 (29/76)",0,167.55,"P Wily Peralta P Jacob deGrom C Stephen Vogt 1B Paul Goldschmidt 2B Daniel Murphy 3B Justin Turner SS Francisco Lindor OF Kole Calhoun OF Bryce Harper OF Adam Eaton",NA,"Bryce Harper","17.60%",14
10,718354944,"ChipotleAddict (21/150)",0,166.9,"P Chris Sale P Brandon Finnegan C Buster Posey 1B Brandon Belt 2B Joe Panik 3B Travis Shaw SS Brandon Crawford OF Ryan Braun OF Hunter Pence OF Eric Thames",NA,"Charlie Blackmon","17.58%",4
10,718354968,"ChipotleAddict (45/150)",0,166.9,"P Chris Sale P Brandon Finnegan C Buster Posey 1B Brandon Belt 2B Jean Segura 3B Eduardo Núñez SS Brandon Crawford OF Nelson Cruz OF Jarrod Dyson OF Hunter Pence",NA,"Gorkys Hernández","17.15%",0
