"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","750"
"3","3","600"
"4","4","500"
"5","5","400"
"6","6","350"
"7","8","300"
"9","10","250"
"11","15","200"
"16","20","150"
"21","30","100"
"31","40","80"
"41","55","60"
"56","75","40"
"76","100","30"
"101","125","25"
"126","175","20"
"176","300","15"
"301","470","12"
"471","810","10"
"811","1480","8"
