Place_lo,Place_hi,Payout
1,1,7500
2,2,5000
3,3,3500
4,4,2500
5,5,1500
6,6,1000
7,8,750
9,10,500
11,15,400
16,25,300
26,35,250
36,55,200
56,80,150
81,130,100
131,230,80
231,380,65
381,650,50
