"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RP","Trevor Rosenthal",4000,"ChC@StL 08:35PM ET",2.728,"StL"
"RP","Felix Pena",4000,"ChC@StL 08:35PM ET",3.041,"ChC"
"RP","Carl Edwards Jr.",4000,"ChC@StL 08:35PM ET",3.271,"ChC"
"RP","Matt Bowman",4000,"ChC@StL 08:35PM ET",2.784,"StL"
"1B/3B","Matt Carpenter",4000,"ChC@StL 08:35PM ET",8.550,"StL"
"2B/OF","Ben Zobrist",4000,"ChC@StL 08:35PM ET",7.951,"ChC"
"SP","Ryne Stanek",4000,"NYY@TB 01:10PM ET",0,"TB"
"SP","Taylor Guerrieri",4000,"NYY@TB 01:10PM ET",0,"TB"
"SP","Justus Sheffield",4000,"NYY@TB 01:10PM ET",0,"NYY"
"RP","Tyler Clippard",4000,"NYY@TB 01:10PM ET",2.944,"NYY"
"RP","Xavier Cedeno",4000,"NYY@TB 01:10PM ET",2.363,"TB"
"RP","Dellin Betances",4000,"NYY@TB 01:10PM ET",4.499,"NYY"
"RP","Brad Boxberger",4000,"NYY@TB 01:10PM ET",2.309,"TB"
"RP","Tommy Layne",4000,"NYY@TB 01:10PM ET",1.776,"NYY"
"RP","Danny Farquhar",4000,"NYY@TB 01:10PM ET",3.437,"TB"
"RP","Alex Colome",4000,"NYY@TB 01:10PM ET",3.816,"TB"
"RP","Erasmo Ramirez",4000,"NYY@TB 01:10PM ET",3.281,"TB"
"RP","Aroldis Chapman",4000,"NYY@TB 01:10PM ET",4.708,"NYY"
"RP","Shawn Tolleson",4000,"NYY@TB 01:10PM ET",1.296,"TB"
"RP","Chasen Shreve",4000,"NYY@TB 01:10PM ET",2.250,"NYY"
"RP","Ryan Garton",4000,"NYY@TB 01:10PM ET",2.303,"TB"
"RP","Jonathan Holder",4000,"NYY@TB 01:10PM ET",1.444,"NYY"
"RP","Ben Heller",4000,"NYY@TB 01:10PM ET",1.155,"NYY"
"3B","Evan Longoria",4000,"NYY@TB 01:10PM ET",8.256,"TB"
"SP","Andrew Suarez",4000,"SF@Ari 04:10PM ET",0,"SF"
"RP","Fernando Rodney",4000,"SF@Ari 04:10PM ET",2.916,"Ari"
"RP","Tom Wilhelmsen",4000,"SF@Ari 04:10PM ET",0.993,"Ari"
"RP","George Kontos",4000,"SF@Ari 04:10PM ET",2.331,"SF"
"RP","Mark Melancon",4000,"SF@Ari 04:10PM ET",3.168,"SF"
"RP","Cory Gearrin",4000,"SF@Ari 04:10PM ET",2.331,"SF"
"RP","Hunter Strickland",4000,"SF@Ari 04:10PM ET",2.526,"SF"
"RP","Will Smith",4000,"SF@Ari 04:10PM ET",2.530,"SF"
"RP","Randall Delgado",4000,"SF@Ari 04:10PM ET",2.301,"Ari"
"RP","Jake Barrett",4000,"SF@Ari 04:10PM ET",2.304,"Ari"
"RP","Derek Law",4000,"SF@Ari 04:10PM ET",2.969,"SF"
"RP","Josh Osich",4000,"SF@Ari 04:10PM ET",1.118,"SF"
"RP","Steven Okert",4000,"SF@Ari 04:10PM ET",2.419,"SF"
"RP","Ray Black",4000,"SF@Ari 04:10PM ET",0,"SF"
"RP","Andrew Chafin",4000,"SF@Ari 04:10PM ET",1.644,"Ari"
"RP","Steve Hathaway",4000,"SF@Ari 04:10PM ET",1.358,"Ari"
"RP","Silvino Bracho",4000,"SF@Ari 04:10PM ET",0.888,"Ari"
"RP","Jimmie Sherfy",4000,"SF@Ari 04:10PM ET",0,"Ari"
"OF","Denard Span",4000,"SF@Ari 04:10PM ET",7.134,"SF"
"1B","Chris Carter",3900,"NYY@TB 01:10PM ET",7.831,"NYY"
"2B","Joe Panik",3900,"SF@Ari 04:10PM ET",6.886,"SF"
"SS","Aledmys Diaz",3800,"ChC@StL 08:35PM ET",8.477,"StL"
"OF","Stephen Piscotty",3800,"ChC@StL 08:35PM ET",7.916,"StL"
"1B/OF","Matt Holliday",3800,"NYY@TB 01:10PM ET",6.964,"NYY"
"OF","A.J. Pollock",3800,"SF@Ari 04:10PM ET",8.333,"Ari"
"2B/3B","Javier Baez",3700,"ChC@StL 08:35PM ET",5.899,"ChC"
"OF","Brett Gardner",3700,"NYY@TB 01:10PM ET",6.913,"NYY"
"OF","Mallex Smith",3700,"NYY@TB 01:10PM ET",5.750,"TB"
"3B","Jake Lamb",3700,"SF@Ari 04:10PM ET",8.000,"Ari"
"SS","Brandon Crawford",3700,"SF@Ari 04:10PM ET",7.163,"SF"
"OF","Randal Grichuk",3600,"ChC@StL 08:35PM ET",6.947,"StL"
"SS","Brad Miller",3600,"NYY@TB 01:10PM ET",7.467,"TB"
"OF","Jacoby Ellsbury",3600,"NYY@TB 01:10PM ET",7.007,"NYY"
"2B/SS","Addison Russell",3500,"ChC@StL 08:35PM ET",7.024,"ChC"
"OF","Steven Souza Jr.",3500,"NYY@TB 01:10PM ET",6.642,"TB"
"OF","Aaron Judge",3500,"NYY@TB 01:10PM ET",5.074,"NYY"
"OF","David Peralta",3500,"SF@Ari 04:10PM ET",6.286,"Ari"
"OF","Yasmany Tomas",3500,"SF@Ari 04:10PM ET",7.678,"Ari"
"C/OF","Willson Contreras",3400,"ChC@StL 08:35PM ET",6.484,"ChC"
"2B/3B","Jedd Gyorko",3400,"ChC@StL 08:35PM ET",6.500,"StL"
"C","Wilson Ramos",3400,"NYY@TB 01:10PM ET",7.618,"TB"
"SS","Didi Gregorius",3400,"NYY@TB 01:10PM ET",6.797,"NYY"
"OF","Kevin Kiermaier",3400,"NYY@TB 01:10PM ET",7.495,"TB"
"OF","Jarrett Parker",3400,"SF@Ari 04:10PM ET",4.000,"SF"
"C","Yadier Molina",3300,"ChC@StL 08:35PM ET",6.544,"StL"
"2B/SS","Starlin Castro",3300,"NYY@TB 01:10PM ET",6.742,"NYY"
"OF","Colby Rasmus",3300,"NYY@TB 01:10PM ET",6.009,"TB"
"OF","Corey Dickerson",3300,"NYY@TB 01:10PM ET",6.446,"TB"
"C","Nick Hundley",3300,"SF@Ari 04:10PM ET",6.524,"SF"
"2B/OF","Brandon Drury",3300,"SF@Ari 04:10PM ET",6.463,"Ari"
"OF/SS","Chris Owings",3300,"SF@Ari 04:10PM ET",7.210,"Ari"
"OF","Jason Heyward",3200,"ChC@StL 08:35PM ET",5.842,"ChC"
"1B","Logan Morrison",3200,"NYY@TB 01:10PM ET",6.290,"TB"
"1B","Greg Bird",3200,"NYY@TB 01:10PM ET",0,"NYY"
"2B/3B","Matt Duffy",3200,"NYY@TB 01:10PM ET",6.120,"TB"
"1B","Christian Walker",3200,"SF@Ari 04:10PM ET",0,"Ari"
"OF","Mac Williamson",3200,"SF@Ari 04:10PM ET",3.907,"SF"
"3B/SS","Jhonny Peralta",3100,"ChC@StL 08:35PM ET",6.024,"StL"
"OF","Albert Almora Jr.",3100,"ChC@StL 08:35PM ET",3.661,"ChC"
"2B/OF","Nick Franklin",3100,"NYY@TB 01:10PM ET",5.933,"TB"
"2B/SS","Kelby Tomlinson",3100,"SF@Ari 04:10PM ET",3.455,"SF"
"OF","Jeremy Hazelbaker",3100,"SF@Ari 04:10PM ET",3.868,"Ari"
"1B","Matt Adams",3000,"ChC@StL 08:35PM ET",5.050,"StL"
"OF","Jon Jay",3000,"ChC@StL 08:35PM ET",6.489,"ChC"
"3B","Chase Headley",3000,"NYY@TB 01:10PM ET",6.092,"NYY"
"C/OF","Chris Herrmann",3000,"SF@Ari 04:10PM ET",6.214,"Ari"
"C","Miguel Montero",2900,"ChC@StL 08:35PM ET",4.969,"ChC"
"2B","Kolten Wong",2900,"ChC@StL 08:35PM ET",4.579,"StL"
"3B","Jeimer Candelario",2900,"ChC@StL 08:35PM ET",1.800,"ChC"
"OF","Mark Zagunis",2900,"ChC@StL 08:35PM ET",0,"ChC"
"1B","Jake Bauers",2900,"NYY@TB 01:10PM ET",0,"TB"
"2B/SS","Tim Beckham",2900,"NYY@TB 01:10PM ET",5.516,"TB"
"OF","Tyler Austin",2900,"NYY@TB 01:10PM ET",5.097,"NYY"
"OF","Gorkys Hernandez",2900,"SF@Ari 04:10PM ET",3.345,"SF"
"OF","Socrates Brito",2900,"SF@Ari 04:10PM ET",3.700,"Ari"
"2B","Ian Happ",2800,"ChC@StL 08:35PM ET",0,"ChC"
