"Place_lo","Place_hi","Payout"
"1","1","750"
"2","2","500"
"3","3","300"
"4","4","200"
"5","5","150"
"6","6","125"
"7","8","100"
"9","10","75"
"11","15","60"
"16","20","50"
"21","30","40"
"31","40","30"
"41","55","25"
"56","75","20"
"76","115","15"
"116","200","10"
"201","315","7"
"316","560","5"
"561","1050","3"
"1051","2150","2"
"2151","4450","1.5"
