"Place_lo","Place_hi","Payout"
"1","1","300"
"2","2","150"
"3","3","112.5"
"4","4","75"
"5","5","52.5"
"6","6","30"
"7","7","22.5"
"8","8","18.75"
"9","9","15"
"10",NA,"11.25"
"11","20","7.5"
"21","30","6"
"31","50","4.5"
"51","100","3.75"
"101","200","3"
