"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11300,"MIA@CLE 11/28/2017 07:00PM ET",55.974,"CLE","MIA",55.37,53,58
"SF/PF","Giannis Antetokounmpo",11200,"MIL@SAC 11/28/2017 10:00PM ET",55.118,"MIL","SAC",59.16,54.7,57.25
"C","Karl-Anthony Towns",9100,"WAS@MIN 11/28/2017 08:00PM ET",42.35,"MIN","WAS",44.99,47.3,43.75
"C","Nikola Jokic",8700,"DEN@UTA 11/28/2017 10:00PM ET",41.658,"DEN","UTA",46.36,44.4,27
"C","Hassan Whiteside",8500,"MIA@CLE 11/28/2017 07:00PM ET",37.054,"MIA","CLE",31.45,33.9,35.5
"PG","John Wall",8500,"WAS@MIN 11/28/2017 08:00PM ET",42.313,"WAS","MIN",0,0,0
"SG/SF","Devin Booker",8100,"PHO@CHI 11/28/2017 08:00PM ET",35.938,"PHO","CHI",33.87,35.6,54
"SG","Bradley Beal",7900,"WAS@MIN 11/28/2017 08:00PM ET",38.553,"WAS","MIN",43.28,40.3,21
"SG","Jimmy Butler",7600,"WAS@MIN 11/28/2017 08:00PM ET",34.569,"MIN","WAS",38.55,39.9,45.25
"C","Rudy Gobert",7500,"DEN@UTA 11/28/2017 10:00PM ET",35.042,"UTA","DEN",0,0,0
"PG","Goran Dragic",7500,"MIA@CLE 11/28/2017 07:00PM ET",33.039,"MIA","CLE",32.01,33,17.5
"SF/PF","TJ Warren",7300,"PHO@CHI 11/28/2017 08:00PM ET",30.905,"PHO","CHI",35.66,34.2,38.75
"PF/C","Kevin Love",7200,"MIA@CLE 11/28/2017 07:00PM ET",37.053,"CLE","MIA",34.28,36.1,56.75
"SF/PF","Andrew Wiggins",6900,"WAS@MIN 11/28/2017 08:00PM ET",30.438,"MIN","WAS",28.88,31.8,23.5
"PG","Jeff Teague",6800,"WAS@MIN 11/28/2017 08:00PM ET",33.167,"MIN","WAS",30.31,0,0
"PF","Lauri Markkanen",6700,"PHO@CHI 11/28/2017 08:00PM ET",30.264,"CHI","PHO",31.35,32.9,27
"PG","Isaiah Thomas",6600,"MIA@CLE 11/28/2017 07:00PM ET",0,"CLE","MIA",0,0,0
"SG/SF","Khris Middleton",6600,"MIL@SAC 11/28/2017 10:00PM ET",35.611,"MIL","SAC",33.75,32.7,22
"PG/SG","Eric Bledsoe",6600,"MIL@SAC 11/28/2017 10:00PM ET",30.932,"MIL","SAC",31.8,33.3,42.25
"PF/C","Paul Millsap",6500,"DEN@UTA 11/28/2017 10:00PM ET",31.828,"DEN","UTA",0,0,0
"PG/SG","Donovan Mitchell",6500,"DEN@UTA 11/28/2017 10:00PM ET",27.263,"UTA","DEN",33.4,36.1,26.75
"SF/PF","Otto Porter",6400,"WAS@MIN 11/28/2017 08:00PM ET",32.819,"WAS","MIN",33.64,30.8,33.5
"SG/SF","Will Barton",6300,"DEN@UTA 11/28/2017 10:00PM ET",28.539,"DEN","UTA",32.87,29.5,14.5
"PF/C","Derrick Favors",6300,"DEN@UTA 11/28/2017 10:00PM ET",25.275,"UTA","DEN",30.93,30.5,50.25
"SG/SF","Dion Waiters",6200,"MIA@CLE 11/28/2017 07:00PM ET",25.971,"MIA","CLE",28.13,28,32.25
"PG/SG","Kris Dunn",6100,"PHO@CHI 11/28/2017 08:00PM ET",25.5,"CHI","PHO",26.97,27.2,48.5
"PF","James Johnson",5900,"MIA@CLE 11/28/2017 07:00PM ET",27.889,"MIA","CLE",27.01,26,25.75
"PF/C","Taj Gibson",5800,"WAS@MIN 11/28/2017 08:00PM ET",25.863,"MIN","WAS",24.98,28.3,32.25
"SG/SF","Rodney Hood",5700,"DEN@UTA 11/28/2017 10:00PM ET",25.986,"UTA","DEN",29.59,0,0
"SG/SF","Denzel Valentine",5600,"PHO@CHI 11/28/2017 08:00PM ET",24.389,"CHI","PHO",30.31,31.3,24.5
"SG/SF","Justin Holiday",5500,"PHO@CHI 11/28/2017 08:00PM ET",26.544,"CHI","PHO",28.29,28,49.25
"PF/C","Zach Randolph",5500,"MIL@SAC 11/28/2017 10:00PM ET",25.265,"SAC","MIL",24.19,25.1,18.75
"PG","Ricky Rubio",5400,"DEN@UTA 11/28/2017 10:00PM ET",27.776,"UTA","DEN",29.68,31.2,30
"PG/SG","Dwyane Wade",5300,"MIA@CLE 11/28/2017 07:00PM ET",23.333,"CLE","MIA",25.34,25.6,32.75
"SG","Gary Harris",5200,"DEN@UTA 11/28/2017 10:00PM ET",26.147,"DEN","UTA",30.1,28,26.25
"PF","Bobby Portis",5200,"PHO@CHI 11/28/2017 08:00PM ET",26.375,"CHI","PHO",24.15,22.9,17.25
"PG/SG","Jamal Murray",5100,"DEN@UTA 11/28/2017 10:00PM ET",22.908,"DEN","UTA",24.09,23.2,14.75
"PF/C","Willie Cauley-Stein",5100,"MIL@SAC 11/28/2017 10:00PM ET",23.711,"SAC","MIL",28.69,27.3,23.5
"SF/PF","Jabari Parker",5100,"MIL@SAC 11/28/2017 10:00PM ET",0,"MIL","SAC",0,0,0
"PF/C","Nikola Mirotic",5000,"PHO@CHI 11/28/2017 08:00PM ET",0,"CHI","PHO",0,0,0
"PG/SG","Malcolm Brogdon",5000,"MIL@SAC 11/28/2017 10:00PM ET",24.971,"MIL","SAC",24.14,22.9,25.5
"C","Marcin Gortat",5000,"WAS@MIN 11/28/2017 08:00PM ET",26.263,"WAS","MIN",23.96,24.1,19.25
"C","Robin Lopez",4900,"PHO@CHI 11/28/2017 08:00PM ET",24.222,"CHI","PHO",27.14,24,24.25
"SG/SF","Joe Ingles",4800,"DEN@UTA 11/28/2017 10:00PM ET",24.688,"UTA","DEN",25.27,28.4,18
"SF/PF","Wilson Chandler",4800,"DEN@UTA 11/28/2017 10:00PM ET",19.792,"DEN","UTA",0,0,0
"PF/C","Greg Monroe",4800,"PHO@CHI 11/28/2017 08:00PM ET",19.341,"PHO","CHI",20.12,14.6,0
"PG/SG","Jerian Grant",4700,"PHO@CHI 11/28/2017 08:00PM ET",22.347,"CHI","PHO",21.76,21.8,14.75
"PG/SG","Zach LaVine",4700,"PHO@CHI 11/28/2017 08:00PM ET",0,"CHI","PHO",0,0,0
"C","John Henson",4700,"MIL@SAC 11/28/2017 10:00PM ET",20.912,"MIL","SAC",23.35,23.3,22.25
"SF/PF","Markieff Morris",4700,"WAS@MIN 11/28/2017 08:00PM ET",19.313,"WAS","MIN",24.32,24.6,7
"PG","Mike James",4600,"PHO@CHI 11/28/2017 08:00PM ET",23.107,"PHO","CHI",20.21,21.9,18.25
"PF/C","Alex Len",4500,"PHO@CHI 11/28/2017 08:00PM ET",24.056,"PHO","CHI",0,0,37.5
"PG","De'Aaron Fox",4500,"MIL@SAC 11/28/2017 10:00PM ET",22.408,"SAC","MIL",19.83,20.7,7.25
"SG/SF","Buddy Hield",4500,"MIL@SAC 11/28/2017 10:00PM ET",22.985,"SAC","MIL",20.12,19.7,17.5
"PG","Tyler Ulis",4400,"PHO@CHI 11/28/2017 08:00PM ET",16.788,"PHO","CHI",20.53,20.5,32.5
"C","Tyson Chandler",4400,"PHO@CHI 11/28/2017 08:00PM ET",21.734,"PHO","CHI",20.28,21.4,12.25
"SG/SF","Josh Richardson",4400,"MIA@CLE 11/28/2017 07:00PM ET",18.5,"MIA","CLE",19.78,19.8,23
"SG/SF","Kelly Oubre",4300,"WAS@MIN 11/28/2017 08:00PM ET",22.105,"WAS","MIN",17.42,16.7,29.5
"PG/SG","Tyus Jones",4300,"WAS@MIN 11/28/2017 08:00PM ET",11.55,"MIN","WAS",11.23,25.2,30.5
"PG/SG","Tyler Johnson",4200,"MIA@CLE 11/28/2017 07:00PM ET",20.028,"MIA","CLE",20.45,21.4,6.25
"PG","Emmanuel Mudiay",4100,"DEN@UTA 11/28/2017 10:00PM ET",19.895,"DEN","UTA",17.39,15,15.75
"PF/C","Kelly Olynyk",4100,"MIA@CLE 11/28/2017 07:00PM ET",20.066,"MIA","CLE",17.28,17.7,8.75
"SF/PF","Jae Crowder",4100,"MIA@CLE 11/28/2017 07:00PM ET",16.855,"CLE","MIA",17.45,19.4,1.5
"SG/SF","JR Smith",4100,"MIA@CLE 11/28/2017 07:00PM ET",16.987,"CLE","MIA",19.08,18.1,24.25
"PG/SG","George Hill",4100,"MIL@SAC 11/28/2017 10:00PM ET",18.824,"SAC","MIL",18.32,20.1,7.5
"PG","Tim Frazier",4100,"WAS@MIN 11/28/2017 08:00PM ET",13.895,"WAS","MIN",25.38,23.9,9.25
"SG/SF","Josh Jackson",4000,"PHO@CHI 11/28/2017 08:00PM ET",18.036,"PHO","CHI",18.64,16.5,1.25
"PG/SG","David Nwaba",4000,"PHO@CHI 11/28/2017 08:00PM ET",18.313,"CHI","PHO",0,0,0
"SF/PF","Justise Winslow",4000,"MIA@CLE 11/28/2017 07:00PM ET",18.421,"MIA","CLE",16.87,15.7,12.5
"PG","Derrick Rose",4000,"MIA@CLE 11/28/2017 07:00PM ET",19.786,"CLE","MIA",0,0,0
"SG/SF","Thabo Sefolosha",3900,"DEN@UTA 11/28/2017 10:00PM ET",17.75,"UTA","DEN",19,16.9,11.25
"PF/C","Kenneth Faried",3900,"DEN@UTA 11/28/2017 10:00PM ET",10.703,"DEN","UTA",22.59,22.3,20
"PF/C","Marquese Chriss",3900,"PHO@CHI 11/28/2017 08:00PM ET",17.345,"PHO","CHI",13.87,12.7,12.5
"PF/C","Thon Maker",3900,"MIL@SAC 11/28/2017 10:00PM ET",13.181,"MIL","SAC",13.31,14.4,14.25
"SF/PF","Jonas Jerebko",3800,"DEN@UTA 11/28/2017 10:00PM ET",11.55,"UTA","DEN",17.74,16.5,31.5
"SF/PF","Jeff Green",3800,"MIA@CLE 11/28/2017 07:00PM ET",17.25,"CLE","MIA",17.06,15.5,15.5
"PF/C","Tristan Thompson",3800,"MIA@CLE 11/28/2017 07:00PM ET",13.781,"CLE","MIA",0,0,0
"SG/SF","Tony Snell",3800,"MIL@SAC 11/28/2017 10:00PM ET",17.569,"MIL","SAC",16.37,17.4,19
"PF/C","Gorgui Dieng",3800,"WAS@MIN 11/28/2017 08:00PM ET",13.853,"MIN","WAS",13.48,16.2,10.25
"SG/SF","Paul Zipser",3700,"PHO@CHI 11/28/2017 08:00PM ET",10.117,"CHI","PHO",7.25,0,6.5
"PF/C","Mason Plumlee",3600,"DEN@UTA 11/28/2017 10:00PM ET",16.632,"DEN","UTA",19.44,17,4
"PG/SG","Alec Burks",3600,"DEN@UTA 11/28/2017 10:00PM ET",13.421,"UTA","DEN",13.32,21,22.5
"SF/PF","Trey Lyles",3600,"DEN@UTA 11/28/2017 10:00PM ET",8.429,"DEN","UTA",11.12,13,10
"SG/SF","Joe Johnson",3600,"DEN@UTA 11/28/2017 10:00PM ET",11.656,"UTA","DEN",0,0,0
"SF/PF","Juancho Hernangomez",3600,"DEN@UTA 11/28/2017 10:00PM ET",8.313,"DEN","UTA",0,19.2,0
"SG/SF","Kyle Korver",3600,"MIA@CLE 11/28/2017 07:00PM ET",17.303,"CLE","MIA",15.81,17.2,16.5
"SG/SF","Wayne Ellington",3600,"MIA@CLE 11/28/2017 07:00PM ET",14.421,"MIA","CLE",13.39,16.1,11
"PG/SG","Iman Shumpert",3600,"MIA@CLE 11/28/2017 07:00PM ET",13.208,"CLE","MIA",0,0,0
"PF/C","Bam Adebayo",3600,"MIA@CLE 11/28/2017 07:00PM ET",9.5,"MIA","CLE",0,0,31.5
"SG/SF","Bogdan Bogdanovic",3600,"MIL@SAC 11/28/2017 10:00PM ET",17.578,"SAC","MIL",14.76,16.5,11.5
"SG","Jamal Crawford",3600,"WAS@MIN 11/28/2017 08:00PM ET",14.775,"MIN","WAS",13,12.5,12.75
"PG/SG","Garrett Temple",3500,"MIL@SAC 11/28/2017 10:00PM ET",15.833,"SAC","MIL",17.29,18.3,21.5
"PG/SF","DeAndre Liggins",3500,"MIL@SAC 11/28/2017 10:00PM ET",7.833,"MIL","SAC",6.68,6.5,7.25
"SG","Jodie Meeks",3500,"WAS@MIN 11/28/2017 08:00PM ET",10.658,"WAS","MIN",11.65,11.2,14
"SG/SF","Shabazz Muhammad",3500,"WAS@MIN 11/28/2017 08:00PM ET",7.938,"MIN","WAS",5.65,7.6,0.75
