id,last_name,first_name,team,position,opponent,games,innings,singles,doubles,triples,home_runs,walks,strikeouts,runs,earned_runs,opp_ba,cg,qs,wins,losses,saves,blown_saves,holds,hbp,outs,odds,weather,injury, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
4654,Smith,Joe,TOR,RP,@ OAK,1.00,0.30,0.13,0.08,0.01,0.03,0.07,0.26,0.13,0.12,0.21,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.91,-1.5 (+155) (o/u 8.0) (+100),56 N RL 8-11 8% H83%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
7701,Treinen,Blake,WAS,RP,@ LAD,1.00,0.30,0.18,0.08,0.01,0.02,0.14,0.30,0.14,0.13,0.28,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.91,+1.5 (-175) (o/u 8.5) (+125),63 O CF 1-2 6% H84%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
6523,Kontos,George,SF,RP,@ MIL,1.00,0.30,0.14,0.07,0.01,0.03,0.10,0.26,0.14,0.13,0.24,0.000,0.000,0.02,0.01,0.00,0.00,0.00,0.000,0.91,-1.5 (+120) (o/u 8.0) (-126),56 N RL 7-13 3% H62% retractable,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
8684,Stripling,Ross,LAD,SP,WAS,1.00,0.30,0.20,0.08,0.01,0.03,0.08,0.27,0.14,0.13,0.30,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.91,-1.5 (+155) (o/u 8.5) (-135),63 O CF 1-2 6% H84%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,SP,,,,,,,0,
6268,Gearrin,Cory,SF,RP,@ MIL,1.00,0.25,0.12,0.05,0.01,0.02,0.11,0.27,0.10,0.09,0.24,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.74,-1.5 (+120) (o/u 8.0) (-126),56 N RL 7-13 3% H62% retractable,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
6379,Phelps,David,MIA,RP,@ CHC,1.00,0.30,0.16,0.06,0.01,0.04,0.12,0.27,0.14,0.13,0.25,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.91,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
7368,Fields,Josh,LAD,RP,WAS,1.00,0.20,0.11,0.05,0.00,0.02,0.07,0.27,0.07,0.07,0.26,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,-1.5 (+155) (o/u 8.5) (-135),63 O CF 1-2 6% H84%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
8366,Grimm,Justin,CHC,RP,MIA,1.00,0.22,0.12,0.04,0.01,0.02,0.08,0.26,0.09,0.08,0.25,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.67,-1.5 (+170) (o/u 8.0) (-125),57 I CF 6-13 6% H66%outdoor,,5500,25,4300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5779,Cecil,Brett,STL,RP,@ CIN,1.00,0.25,0.14,0.06,0.01,0.03,0.09,0.26,0.12,0.11,0.28,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.74,-1.5 (+100) (o/u 9.5) (-155),65 N RL 2-7 15% H85%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5817,Torres,Carlos,MIL,RP,SF,1.00,0.30,0.19,0.07,0.01,0.03,0.11,0.25,0.14,0.13,0.29,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.89,+1.5 (-140) (o/u 8.0) (+116),56 N RL 7-13 3% H62% retractable,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
7839,Loup,Aaron,TOR,RP,@ OAK,1.00,0.25,0.13,0.06,0.01,0.02,0.06,0.22,0.10,0.09,0.24,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.74,-1.5 (+155) (o/u 8.0) (+100),56 N RL 8-11 8% H83%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5939,Wood,Blake,CIN,RP,STL,1.00,0.25,0.15,0.06,0.01,0.03,0.11,0.27,0.13,0.12,0.29,0.000,0.000,0.00,0.01,0.00,0.00,0.00,0.000,0.74,+1.5 (-120) (o/u 9.5) (+145),65 N RL 2-7 15% H85%outdoor,,5500,25,4500,0,0,0,0,0,0,P,P,RP,,,,,,,0,
7690,Drake,Oliver,MIL,RP,SF,1.00,0.22,0.12,0.05,0.01,0.02,0.10,0.24,0.09,0.08,0.25,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.65,+1.5 (-140) (o/u 8.0) (+116),56 N RL 7-13 3% H62% retractable,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
3434,Motte,Jason,ATL,RP,PHI,1.00,0.22,0.13,0.05,0.01,0.03,0.05,0.24,0.10,0.10,0.29,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.65,-1.5 (+160) (o/u 9.5) (-131),70 O RF 3-4 40% H94%outdoor,,5500,25,4500,0,0,0,0,0,0,P,P,RP,,,,,,,0,
5709,Sipp,Tony,HOU,RP,@ KC,1.00,0.25,0.12,0.06,0.01,0.04,0.09,0.22,0.14,0.12,0.24,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.74,-1.5 (+120) (o/u 10.0) (-134),71 I CF 5-7 5% H61%outdoor,,5500,25,4000,0,0,0,0,0,0,P,P,RP,,,,,,,0,
6082,Hatcher,Chris,LAD,RP,WAS,1.00,0.20,0.13,0.05,0.00,0.03,0.06,0.23,0.10,0.09,0.30,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,-1.5 (+155) (o/u 8.5) (-135),63 O CF 1-2 6% H84%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
9874,Montas,Frankie,OAK,RP,TOR,1.00,0.20,0.09,0.04,0.00,0.02,0.09,0.22,0.09,0.09,0.21,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-175) (o/u 8.0) (-110),56 N RL 8-11 8% H83%outdoor,,5500,25,4300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
9538,Coulombe,Daniel,OAK,RP,TOR,1.00,0.22,0.11,0.04,0.00,0.02,0.10,0.21,0.10,0.09,0.21,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.65,+1.5 (-175) (o/u 8.0) (-110),56 N RL 8-11 8% H83%outdoor,,5500,25,4300,0,0,0,0,0,0,P,P,RP,,,,,,,0,
2275,Howell,J.P.,TOR,RP,@ OAK,1.00,0.22,0.11,0.06,0.01,0.02,0.07,0.19,0.10,0.09,0.23,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.67,-1.5 (+155) (o/u 8.0) (+100),56 N RL 8-11 8% H83%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
8469,Osich,Josh,SF,RP,@ MIL,1.00,0.20,0.08,0.05,0.01,0.02,0.10,0.20,0.10,0.09,0.24,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,-1.5 (+120) (o/u 8.0) (-126),56 N RL 7-13 3% H62% retractable,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
6150,Minor,Mike,KC,SP,HOU,1.00,0.30,0.23,0.08,0.01,0.03,0.08,0.19,0.16,0.15,0.28,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.91,+1.5 (-140) (o/u 10.0) (+124),71 I CF 5-7 5% H61%outdoor,,5500,25,5500,0,0,0,0,0,0,P,P,SP,,,,,,,0,
10929,Peralta,Wandy,CIN,RP,STL,1.00,0.22,0.12,0.06,0.01,0.03,0.11,0.23,0.13,0.12,0.29,0.000,0.000,0.00,0.01,0.00,0.00,0.00,0.000,0.65,+1.5 (-120) (o/u 9.5) (+145),65 N RL 2-7 15% H85%outdoor,,5500,25,4500,0,0,0,0,0,0,P,P,RP,,,,,,,0,
10085,Ellington,Brian,MIA,SP,@ CHC,1.00,0.20,0.08,0.04,0.01,0.02,0.12,0.20,0.10,0.09,0.21,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,SP,,,,,,,0,
7649,Tepera,Ryan,TOR,RP,@ OAK,1.00,0.20,0.08,0.05,0.01,0.03,0.06,0.18,0.10,0.09,0.22,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,-1.5 (+155) (o/u 8.0) (+100),56 N RL 8-11 8% H83%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
9922,Bowman,Matt,STL,RP,@ CIN,1.00,0.22,0.14,0.05,0.01,0.02,0.06,0.16,0.10,0.09,0.29,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.65,-1.5 (+100) (o/u 9.5) (-155),65 N RL 2-7 15% H85%outdoor,,5500,25,4100,0,0,0,0,0,0,P,P,RP,,,,,,,0,
9003,Wittgren,Nick,MIA,RP,@ CHC,1.00,0.20,0.10,0.04,0.01,0.03,0.06,0.17,0.09,0.09,0.25,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
10621,Brice,Austin,CIN,RP,STL,1.00,0.20,0.11,0.05,0.01,0.04,0.09,0.21,0.12,0.11,0.29,0.000,0.000,0.00,0.01,0.00,0.00,0.00,0.000,0.60,+1.5 (-120) (o/u 9.5) (+145),65 N RL 2-7 15% H85%outdoor,,5500,25,4500,0,0,0,0,0,0,P,P,RP,,,,,,,0,
9297,Rodriguez,Joely,PHI,RP,@ ATL,1.00,0.22,0.18,0.05,0.01,0.02,0.08,0.18,0.11,0.10,0.34,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.67,+1.5 (-180) (o/u 9.5) (+121),70 O RF 3-4 40% H94%outdoor,,5500,25,4200,0,0,0,0,0,0,P,P,RP,,,,,,,0,
10772,Paulino,David,HOU,RP,@ KC,1.00,0.20,0.12,0.05,0.01,0.03,0.06,0.16,0.11,0.10,0.26,0.000,0.000,0.01,0.01,0.00,0.00,0.00,0.000,0.60,-1.5 (+120) (o/u 10.0) (-134),71 I CF 5-7 5% H61%outdoor,Probable,5600,25,4000,0,0,0,0,0,0,P,P,RP,,,,,,,0,
