id,last_name,first_name,team,position,opponent,games,pa,ab,singles,doubles,triples,home_runs,walks,strikeouts,sb,cs,runs,rbi,hbp,sac_flies,gidp,errors,outs,matchup,odds,weather,injury,bvp, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
6195,Trout,Mike,LAA,OF,@ KC,1.00,4.28,3.58,0.62,0.23,0.05,0.25,0.68,0.93,0.21,0.05,0.62,0.70,0.00,0.02,0.00,0.00,2.36,@KC (Kennedy R) R Ord 3 Starting ,-1.5 (+160) (o/u 8.5) (-105),69 I CF 7-11 41% H44%outdoor,,7ab .143/.400/.286 0sb 0hr,5100,26,5100,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
6428,Dozier,Brian,MIN,2B,CHW,1.00,4.95,4.41,0.57,0.26,0.04,0.27,0.52,1.00,0.18,0.03,0.81,0.59,0.00,0.02,0.00,0.00,3.30,CHW (Shields R) R Ord 1 Starting ,-1.5 (+140) (o/u 9.5) (-145),59 O CF 5-19 0% H32%outdoor,,26ab .423/.483/.962 1sb 3hr,3800,19,4600,0,0,0,0,0,0,2B,2B,2B,2B;DH,,,,,,0,
9075,Betts,Mookie,BOS,OF,TB,1.00,4.69,4.31,0.88,0.32,0.04,0.16,0.35,0.53,0.17,0.03,0.68,0.81,0.00,0.02,0.00,0.00,2.95,TB (Cobb R) R Ord 3 Starting ,-1.5 (+110) (o/u 9.5) (-185),77 O CF 13-19 50% H42%outdoor,,6ab .167/.167/.167 0sb 0hr,4000,14,5200,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
1431,Encarnacion,Edwin,CLE,1B,DET,1.00,4.56,3.94,0.60,0.22,0.01,0.29,0.60,0.82,0.01,0.00,0.70,0.80,0.00,0.02,0.00,0.00,2.83,DET (Boyd L) R Ord 4 Starting ,-1.5 (-110) (o/u 9.0) (-235),66 N LR 12-15 15% H69%outdoor,,7ab .286/.444/.429 0sb 0hr,3300,16,4600,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
6209,Harper,Bryce,WAS,OF,PHI,1.00,4.46,3.63,0.58,0.19,0.01,0.23,0.81,0.85,0.11,0.06,0.76,0.73,0.00,0.02,0.00,0.00,2.60,PHI (Eickhoff R) L Ord 3 Starting ,-1.5 (+115) (o/u 9.0) (-185),78 O RF 10-15 19% H43%outdoor,,9ab .111/.111/.222 0sb 0hr,4600,22,5000,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
5700,Santana,Carlos,CLE,1B/OF,DET,1.00,4.90,4.10,0.60,0.25,0.02,0.23,0.78,0.77,0.02,0.02,0.85,0.60,0.00,0.02,0.00,0.00,3.01,DET (Boyd L) S Ord 1 Starting ,-1.5 (-110) (o/u 9.0) (-235),66 N LR 12-15 15% H69%outdoor,,2ab .000/.000/.000 0sb 0hr,3400,19,4700,0,0,0,0,0,0,1B,1B,1B;OF,1B;DH,,,,,,0,
5840,Brantley,Michael,CLE,OF,DET,1.00,4.67,4.22,0.87,0.33,0.01,0.13,0.43,0.40,0.11,0.02,0.68,0.78,0.00,0.02,0.00,0.00,2.89,DET (Boyd L) L Ord 3 Starting ,-1.5 (-110) (o/u 9.0) (-235),66 N LR 12-15 15% H69%outdoor,,,3500,17,4600,0,0,0,0,0,0,OF,OF,OF,DH;OF,,,,,,0,
7561,Sano,Miguel,MIN,3B,CHW,1.00,4.72,4.05,0.51,0.22,0.01,0.28,0.65,1.56,0.02,0.01,0.72,0.79,0.00,0.02,0.00,0.00,3.06,CHW (Shields R) R Ord 3 Starting ,-1.5 (+140) (o/u 9.5) (-145),59 O CF 5-19 0% H32%outdoor,,2ab .500/.500/2.000 0sb 1hr,3600,23,4100,0,0,0,0,0,0,3B,3B,3B,3B;DH;OF,,,,,,0,
5151,Votto,Joey,CIN,1B,MIL,1.00,4.26,3.37,0.72,0.23,0.01,0.18,0.87,0.76,0.04,0.01,0.67,0.70,0.00,0.02,0.00,0.00,2.18,MIL (Peralta R) L Ord 3 Starting ,-1.5 (+190) (o/u 9.0) (-115),72 O LF 6-12 68% H67%outdoor,,34ab .324/.410/.471 0sb 1hr,3800,17,4900,0,0,0,0,0,0,1B,1B,1B,1B;DH,,,,,,0,
7557,Lindor,Francisco,CLE,SS,DET,1.00,4.79,4.36,0.95,0.25,0.03,0.14,0.41,0.62,0.14,0.05,0.72,0.62,0.00,0.02,0.00,0.00,3.01,DET (Boyd L) S Ord 2 Starting ,-1.5 (-110) (o/u 9.0) (-235),66 N LR 12-15 15% H69%outdoor,,2ab .500/.500/.500 0sb 0hr,3900,24,4400,0,0,0,0,0,0,SS,SS,SS,SS;DH,,,,,,0,
