"id","last_name","first_name","team","position","opponent","games","innings","singles","doubles","triples","home_runs","walks","strikeouts","runs","earned_runs","opp_ba","cg","qs","wins","losses","saves","blown_saves","holds","hbp","outs","odds","weather","injury","price_fanduel","price_yahoo","price_draftkings","price_draftday","price_starstreet","price_fantasyfeud","price_fanthrowdown","price_starfantasyleagues","price_fantasyaces","positions_fanduel","positions_yahoo","positions_draftkings","positions_draftday","positions_starstreet","positions_fantasyfeud","positions_fanthrowdown","positions_starfantasyleagues","positions_fantasyaces","price_victiv","positions_victiv"
9400,"deGrom","Jacob","NYM","SP","@ PHI",1,6.5,3.42,1.29,0.18,0.74,1.73,6.82,2.58,2.37,0.26,0.063,0.666,0.49,0.47,0,0,0,0,19.5,"-1.5 (+110) (o/u 8.0) (-146)","73 N RL 2-6 6% H68%outdoor","",10600,56,12700,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
7570,"Darvish","Yu","LAD","SP","@ ARI",1,6.2,3.43,1.67,0.44,0.7,2.4,7.01,2.82,2.59,0.29,0.043,0.603,0.47,0.51,0,0,0,0,18.6,"-1.5 (-120) (o/u 9.0) (-180)","94 O CF 5-10 15% H36% retractable","",9700,48,11400,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
7612,"Salazar","Danny","CLE","SP","@ TB",1,5.6,2.18,0.97,0.18,0.69,2.59,6.46,2.41,2.21,0.19,0.04,0.629,0.37,0.5,0,0,0,0,16.8,"-1.5 (+110) (o/u 8.0) (-142)","","",9300,50,11700,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
6763,"Paxton","James","SEA","SP","LAA",1,5.7,2.81,0.98,0.09,0.37,1.71,5.37,1.92,1.76,0.19,0.04,0.726,0.44,0.41,0,0,0,0,17.1,"-1.5 (+100) (o/u 7.5) (-190)","73 N LR 2-7 4% H63% retractable","",9900,53,12300,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
10818,"Castillo","Luis","CIN","SP","SD",1,5.5,2.4,1.04,0.13,0.87,1.66,5.64,2.55,2.35,0.23,0.04,0.591,0.35,0.5,0,0,0,0,16.5,"-1.5 (+150) (o/u 8.5) (-140)","82 O CF 2-5 15% H51%outdoor","",7600,36,9400,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
9234,"Velasquez","Vincent","PHI","SP","NYM",1,5.3,2.53,1.05,0.16,0.9,1.7,5.77,2.54,2.34,0.25,0.04,0.575,0.23,0.16,0,0,0,0,15.9,"+1.5 (-130) (o/u 8.0) (+136)","73 N RL 2-6 6% H68%outdoor","",6500,34,7700,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
9447,"Davies","Zach","MIL","SP","MIN",1,5.7,3.12,1.26,0.22,0.84,1.66,5.32,2.8,2.57,0.27,0.04,0.56,0.4,0.3,0,0,0,0,17.1,"-1.5 (+130) (o/u 9.5) (-156)","70 N RL 5-9 58% H79% retractable","",7800,41,8400,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
7587,"Gray","Sonny","NYY","SP","@ TOR",1,5.9,2.47,1.11,0.11,0.66,2.52,4.82,2.67,2.46,0.19,0.04,0.603,0.41,0.45,0,0,0,0,17.7,"-1.5 (+110) (o/u 8.5) (-146)","73 O RF 5-7 23% H66% retractable","",8900,46,10900,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
4644,"Smith","Chris","OAK","SP","BAL",1,5.8,2.09,1.15,0.08,1.15,1.97,5.39,3.33,3.06,0.2,0.04,0.464,0.35,0.37,0,0,0,0,17.4,"+1.5 (-160) (o/u 9.5) (-103)","61 O CF 7-13 18% H87%outdoor","",5700,25,6000,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
7543,"Peacock","Brad","HOU","SP","@ CHW",1,5,2.45,0.91,0.16,0.59,2.4,5.39,2.43,2.24,0.22,0.04,0.568,0.33,0.48,0,0,0,0,15,"-1.5 (-110) (o/u 9.0) (-165)","72 N RL 5-11 55% H73%outdoor","",8300,46,9500,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
11522,"Lamet","Dinelson","SD","SP","@ CIN",1,5.2,2.26,1.06,0.09,0.87,2.71,5.68,2.79,2.57,0.24,0.04,0.508,0.24,0.35,0,0,0,0,15.6,"+1.5 (-170) (o/u 8.5) (+130)","82 O CF 2-5 15% H51%outdoor","",8300,38,8900,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
6038,"Lynn","Lance","STL","SP","KC",1,5.6,3.33,1.2,0.16,0.53,1.72,4.72,2.56,2.36,0.22,0.04,0.599,0.36,0.43,0,0,0,0,16.8,"-1.5 (+150) (o/u 8.5) (-142)","77 O CF 2-8 44% H74%outdoor","",8200,44,7800,0,0,0,0,0,0,"P","P","SP",NA,NA,NA,NA,NA,NA,0,NA
