"id","last_name","first_name","team","position","opponent","games","innings","singles","doubles","triples","home_runs","walks","strikeouts","runs","earned_runs","opp_ba","cg","qs","wins","losses","saves","blown_saves","holds","hbp","outs","odds","weather","injury","price_fanduel","price_yahoo","price_draftkings","price_draftday","price_starstreet","price_fantasyfeud","price_fanthrowdown","price_starfantasyleagues","price_fantasyaces","positions_fanduel","positions_yahoo","positions_draftkings","positions_draftday","positions_starstreet","positions_fantasyfeud","positions_fanthrowdown","positions_starfantasyleagues","positions_fantasyaces","price_victiv","positions_victiv"
5518,"Archer","Chris","TB","SP","@ BAL",1,6.1,3.02,1.08,-0.01,0.85,2.1,6.69,2.72,2.5,0.21,0.04,0.61,0.39,0.46,0,0,0,0,18.3,"-1.5 (+145) (o/u 7.5) (-123)","53 I CF 9-12 67% H75%outdoor","",9500,52,10100,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
1891,"Greinke","Zack","ARI","SP","SD",1,6.3,3.29,1.5,0.36,0.68,1.21,5.48,2.67,2.46,0.27,0.048,0.637,0.48,0.46,0,0,0,0,18.9,"-1.5 (+120) (o/u 9.0) (-170)","78 N LR 11-14 0% H22% retractable","",10000,46,9400,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
9904,"Garrett","Amir","CIN","SP","@ MIL",1,5.8,2.5,1.37,0.23,0.87,3.08,6.7,3.04,2.79,0.26,0.04,0.524,0.33,0.37,0,0,0,0,17.4,"-1.5 (+145) (o/u 8.5) (-112)","51 I CF 6-10 12% H62% retractable","",7700,44,6700,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
882,"Chavez","Jesse","LAA","SP","TOR",1,5.7,3.45,1.16,0.06,0.68,1.47,5.42,2.5,2.3,0.24,0.04,0.622,0.37,0.41,0,0,0,0,17.1,"-1.5 (+155) (o/u 8.0) (-130)","65 O CF 5-9 4% H62%outdoor","",5900,25,6700,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
5097,"Vargas","Jason","KC","SP","@ CHW",1,5.7,2.98,1.03,0.11,0.71,1.27,4.87,2.52,2.32,0.23,0.04,0.614,0.32,0.36,0,0,0,0,17.1,"-1.5 (+135) (o/u 7.0) (-115)","58 I CF 7-11 15% H56%outdoor","",8500,46,8000,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
5583,"Gonzalez","Miguel","CHW","SP","KC",1,5.6,2.93,1,0.13,0.75,1.44,4.62,2.61,2.4,0.22,0.04,0.587,0.34,0.34,0,0,0,0,16.8,"+1.5 (-155) (o/u 7.0) (-105)","58 I CF 7-11 15% H56%outdoor","",7400,34,7500,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
2427,"Jimenez","Ubaldo","BAL","SP","TB",1,5,2.82,1.02,0.21,0.66,2.03,5.36,2.42,2.22,0.24,0.04,0.571,0.24,0.37,0,0,0,0,15,"+1.5 (-165) (o/u 7.5) (+103)","53 I CF 9-12 67% H75%outdoor","",6900,28,6800,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
2849,"Liriano","Francisco","TOR","SP","@ LAA",1,5.5,2.99,1.02,0.06,0.63,2.96,5.25,2.88,2.65,0.22,0.04,0.524,0.28,0.33,0,0,0,0,16.5,"+1.5 (-175) (o/u 8.0) (+110)","65 O CF 5-9 4% H62%outdoor","",8400,35,9700,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
8445,"Ryu","Hyun-Jin","LAD","SP","@ SF",1,5.7,4.35,1.27,0.26,0.32,1.31,3.76,2.31,2.13,0.32,0.04,0.655,0.39,0.45,0,0,0,0,17.1,"-1.5 (+115) (o/u 8.0) (-153)","56 O CF 8-17 7% H79%outdoor","",7200,27,10200,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
6047,"Perez","Martin","TEX","SP","MIN",1,5.9,4.17,1.47,0.34,0.49,2.36,4.31,3.01,2.77,0.28,0.04,0.54,0.39,0.41,0,0,0,0,17.7,"-1.5 (+150) (o/u 9.5) (-137)","68 I RF 11-15 3% H58%outdoor","",6600,29,6300,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
8448,"Anderson","Tyler","COL","SP","WAS",1,5.8,5.2,1.54,0.27,0.88,1.65,4.79,3.3,3.04,0.37,0.04,0.472,0.38,0.48,0,0,0,0,17.4,"-1.5 (+140) (o/u 12.0) (-140)","55 O LF 5-15 23% H51%outdoor","",5500,27,5400,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
5819,"Chacin","Jhoulys","SD","SP","@ ARI",1,5.6,3.97,1.54,0.41,0.57,2.08,4.57,2.9,2.67,0.34,0.04,0.528,0.25,0.22,0,0,0,0,16.8,"+1.5 (-140) (o/u 9.0) (+145)","78 N LR 11-14 0% H22% retractable","",6800,28,5700,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
10675,"Kuhl","Chad","PIT","SP","CHC",1,5.3,3.38,1.29,0.13,0.52,1.77,4.05,2.51,2.31,0.28,0.04,0.579,0.27,0.34,0,0,0,0,15.9,"+1.5 (-160) (o/u 8.0) (+104)","55 I CF 8-12 24% H57%outdoor","",6900,28,7000,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
1727,"Garza","Matt","MIL","SP","CIN",1,5.5,3.51,1.1,0.24,0.67,1.87,4.04,2.79,2.57,0.29,0.04,0.54,0.33,0.35,0,0,0,0,16.5,"+1.5 (-165) (o/u 8.5) (-108)","51 I CF 6-10 12% H62% retractable","",6700,28,5600,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
2304,"Hughes","Phil","MIN","SP","@ TEX",1,5.8,4.17,1.16,0.27,1.14,0.95,4.32,3.38,3.11,0.3,0.04,0.456,0.31,0.31,0,0,0,0,17.4,"+1.5 (-170) (o/u 9.5) (+117)","68 I RF 11-15 3% H58%outdoor","",6100,26,5500,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
732,"Cain","Matt","SF","SP","LAD",1,5.4,3.29,1.31,0.22,0.74,2.06,4.24,3,2.76,0.29,0.04,0.488,0.25,0.33,0,0,0,0,16.2,"+1.5 (-135) (o/u 8.0) (+133)","56 O CF 8-17 7% H79%outdoor","",7000,28,6100,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
5759,"Anderson","Brett","CHC","SP","@ PIT",1,5.6,4.66,1.32,0.17,0.29,1.7,2.93,2.55,2.35,0.33,0.04,0.603,0.34,0.43,0,0,0,0,16.8,"-1.5 (+140) (o/u 8.0) (-124)","55 I CF 8-12 24% H57%outdoor","",7500,25,7300,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
5918,"Turner","Jacob","WAS","","@ COL",1,5.6,6.67,2.03,0.11,0.95,2.08,3.39,3.84,3.53,0.47,0.04,0.341,0.29,0.32,0,0,0,0,16.8,"+1.5 (-160) (o/u 12.0) (+120)","55 O LF 5-15 23% H51%outdoor","",0,0,0,0,0,0,0,0,0,"P","","","P",NA,NA,NA,NA,NA,0,NA
4211,"Robertson","David","CHW","RP","KC",1,0.36,0.12,0.07,0.01,0.04,0.11,0.52,0.1,0.1,0.17,0,0,0.02,0.01,0.17,0.02,0,0,1.07,"+1.5 (-155) (o/u 7.0) (-105)","58 I CF 7-11 15% H56%outdoor","",5300,25,4200,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
5944,"Jansen","Kenley","LAD","RP","@ SF",1,0.35,0.12,0.08,0.02,0.02,0.08,0.42,0.09,0.08,0.2,0,0,0.02,0.01,0.2,0.02,0,0,1.06,"-1.5 (+115) (o/u 8.0) (-153)","56 O CF 8-17 7% H79%outdoor","",5500,25,4600,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
5531,"Bush","Matt","TEX","RP","MIN",1,0.35,0.15,0.09,0.02,0.03,0.09,0.46,0.11,0.11,0.21,0,0,0.02,0.01,0.2,0.02,0,0,1.06,"-1.5 (+150) (o/u 9.5) (-137)","68 I RF 11-15 3% H58%outdoor","Questionable",5400,25,4100,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
3613,"O'Day","Darren","BAL","RP","TB",1,0.36,0.12,0.07,0.02,0.05,0.1,0.47,0.14,0.13,0.19,0,0,0.01,0.01,0,0,0,0,1.07,"+1.5 (-165) (o/u 7.5) (+103)","53 I CF 9-12 67% H75%outdoor","",5200,25,4100,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
9884,"Iglesias","Raisel","CIN","SP","@ MIL",1,0.35,0.12,0.08,0.02,0.04,0.12,0.47,0.13,0.12,0.22,0,0,0.01,0.01,0.08,0.01,0,0,1.06,"-1.5 (+145) (o/u 8.5) (-112)","51 I CF 6-10 12% H62% retractable","Questionable",5500,25,5800,0,0,0,0,0,0,"P","P","SP","P",NA,NA,NA,NA,NA,0,NA
6564,"Jones","Nate","CHW","RP","KC",1,0.36,0.14,0.07,0.01,0.04,0.1,0.44,0.12,0.11,0.18,0,0,0.02,0.01,0,0,0,0,1.07,"+1.5 (-155) (o/u 7.0) (-105)","58 I CF 7-11 15% H56%outdoor","",5500,25,4200,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
7924,"Givens","Mychal","BAL","RP","TB",1,0.3,0.11,0.06,0.01,0.03,0.1,0.46,0.09,0.08,0.18,0,0,0.01,0.01,0,0,0,0,0.91,"+1.5 (-165) (o/u 7.5) (+103)","53 I CF 9-12 67% H75%outdoor","",4000,25,4100,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
7548,"Herrera","Kelvin","KC","RP","@ CHW",1,0.36,0.16,0.06,0.01,0.03,0.1,0.4,0.11,0.11,0.19,0,0,0.01,0.01,0.16,0.02,0,0,1.07,"-1.5 (+135) (o/u 7.0) (-115)","58 I CF 7-11 15% H56%outdoor","",5300,25,4300,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
9360,"Knebel","Corey","MIL","RP","CIN",1,0.35,0.17,0.07,0.02,0.04,0.13,0.43,0.13,0.12,0.23,0,0,0.01,0.01,0,0,0,0,1.06,"+1.5 (-165) (o/u 8.5) (-108)","51 I CF 6-10 12% H62% retractable","",5300,25,4100,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
4703,"Soria","Joakim","KC","RP","@ CHW",1,0.36,0.17,0.06,0.01,0.04,0.12,0.41,0.14,0.12,0.2,0,0,0.01,0.01,0,0,0,0,1.07,"-1.5 (+135) (o/u 7.0) (-115)","58 I CF 7-11 15% H56%outdoor","",0,25,4300,0,0,0,0,0,0,"","P","RP","P",NA,NA,NA,NA,NA,0,NA
6096,"Storen","Drew","CIN","RP","@ MIL",1,0.35,0.15,0.08,0.01,0.04,0.11,0.42,0.14,0.13,0.24,0,0,0.01,0.01,0.08,0.01,0,0,1.06,"-1.5 (+145) (o/u 8.5) (-112)","51 I CF 6-10 12% H62% retractable","",5500,25,4100,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
5729,"Uehara","Koji","CHC","RP","@ PIT",1,0.36,0.14,0.08,0.01,0.02,0.07,0.36,0.11,0.11,0.21,0,0,0.02,0.01,0,0,0,0,1.07,"-1.5 (+140) (o/u 8.0) (-124)","55 I CF 8-12 24% H57%outdoor","",5500,25,4300,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
10025,"Osuna","Roberto","TOR","RP","@ LAA",1,0.36,0.14,0.06,0.01,0.03,0.07,0.36,0.13,0.12,0.17,0,0,0.01,0.01,0.14,0.01,0,0,1.07,"+1.5 (-175) (o/u 8.0) (+110)","65 O CF 5-9 4% H62%outdoor","Questionable",5500,25,4500,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
5774,"Melancon","Mark","SF","RP","LAD",1,0.35,0.16,0.09,0.01,0.02,0.07,0.35,0.1,0.1,0.23,0,0,0.01,0.01,0.12,0.01,0,0,1.06,"+1.5 (-135) (o/u 8.0) (+133)","56 O CF 8-17 7% H79%outdoor","",5400,25,4300,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
1900,"Grilli","Jason","TOR","RP","@ LAA",1,0.36,0.18,0.06,0,0.04,0.16,0.42,0.16,0.15,0.21,0,0,0.01,0.01,0,0,0,0,1.07,"+1.5 (-175) (o/u 8.0) (+110)","65 O CF 5-9 4% H62%outdoor","",5500,25,4500,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
6530,"Brach","Brad","BAL","RP","TB",1,0.3,0.11,0.06,0.01,0.04,0.11,0.41,0.11,0.11,0.19,0,0,0.01,0.01,0.12,0.01,0,0,0.91,"+1.5 (-165) (o/u 7.5) (+103)","53 I CF 9-12 67% H75%outdoor","",5500,25,4100,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
8504,"Strickland","Hunter","SF","RP","LAD",1,0.35,0.13,0.09,0.02,0.02,0.09,0.36,0.12,0.11,0.21,0,0,0.01,0.01,0,0,0,0,1.06,"+1.5 (-135) (o/u 8.0) (+133)","56 O CF 8-17 7% H79%outdoor","",5500,25,4300,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
6145,"Holland","Greg","COL","RP","WAS",1,0.35,0.22,0.1,0.01,0.03,0.16,0.43,0.15,0.14,0.28,0,0,0.02,0.01,0.19,0.02,0,0,1.06,"-1.5 (+140) (o/u 12.0) (-140)","55 O LF 5-15 23% H51%outdoor","",5200,25,4100,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
4233,"Rodney","Fernando","ARI","RP","SD",1,0.35,0.18,0.08,0.02,0.03,0.14,0.37,0.15,0.13,0.26,0,0,0.02,0.01,0.24,0.02,0,0,1.06,"-1.5 (+120) (o/u 9.0) (-170)","78 N LR 11-14 0% H22% retractable","",0,25,4100,0,0,0,0,0,0,"","P","RP","P",NA,NA,NA,NA,NA,0,NA
5550,"Davis","Wade","CHC","RP","@ PIT",1,0.36,0.19,0.08,0.01,0.01,0.12,0.34,0.12,0.11,0.24,0,0,0.02,0.01,0.17,0.02,0,0,1.07,"-1.5 (+140) (o/u 8.0) (-124)","55 I CF 8-12 24% H57%outdoor","",5300,25,4300,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
6458,"Putnam","Zach","CHW","RP","KC",1,0.3,0.13,0.05,0.01,0.03,0.1,0.36,0.1,0.09,0.19,0,0,0.01,0.01,0,0,0,0,0.91,"+1.5 (-155) (o/u 7.0) (-105)","58 I CF 7-11 15% H56%outdoor","Questionable",5200,25,4200,0,0,0,0,0,0,"P","P","RP","P",NA,NA,NA,NA,NA,0,NA
