"id","last_name","first_name","team","position","opponent","games","pa","ab","singles","doubles","triples","home_runs","walks","strikeouts","sb","cs","runs","rbi","hbp","sac_flies","gidp","errors","outs","matchup","odds","weather","injury","bvp","price_fanduel","price_yahoo","price_draftkings","price_draftday","price_starstreet","price_fantasyfeud","price_fanthrowdown","price_starfantasyleagues","price_fantasyaces","positions_fanduel","positions_yahoo","positions_draftkings","positions_draftday","positions_starstreet","positions_fantasyfeud","positions_fanthrowdown","positions_starfantasyleagues","positions_fantasyaces","price_victiv","positions_victiv"
8487,"Garcia","Adonis","ATL","3B","@ TOR",1,4.22,4.05,0.75,0.23,0.01,0.14,0.15,0.78,0.03,0.02,0.5,0.53,0,0.02,0,0.15,2.92,"@TOR (Bolsinger R) R Ord 6","+1.5 (-175) (o/u 9.0) (+122)","49 O RF 4-11 9% H78% retractable","","",3000,10,3300,0,0,0,0,0,0,"3B","3B","3B","3B;DH;OF",NA,NA,NA,NA,NA,0,NA
6208,"Kipnis","Jason","CLE","2B","TB",1,4.27,3.83,0.64,0.25,0.03,0.09,0.4,0.96,0.1,0.02,0.46,0.47,0,0.04,0,0.06,2.83,"TB (Archer R) L Ord 6","-1.5 (+141) (o/u 7.5) (-153)","55 O LF 2-6 4% H56%outdoor","","11ab .273/.333/.636 1sb 1hr",2500,7,3700,0,0,0,0,0,0,"2B","2B","2B","2B;DH",NA,NA,NA,NA,NA,0,NA
7342,"Bour","Justin","MIA","1B","HOU",1,4.05,3.63,0.6,0.16,0.01,0.19,0.4,0.82,0.01,0.01,0.48,0.5,0,0.02,0,0.03,2.67,"HOU (Musgrove R) L Ord 6","+1.5 (-159) (o/u 9.0) (+108)","79 I RF 5-9 39% H80% retractable","","",3100,15,3100,0,0,0,0,0,0,"1B","1B","1B","1B;DH",NA,NA,NA,NA,NA,0,NA
6754,"Seager","Kyle","SEA","3B","OAK",1,4.18,3.71,0.62,0.21,0.01,0.15,0.44,0.67,0.02,0.01,0.45,0.5,0,0.03,0,0.1,2.74,"OAK (Manaea L) L Ord 5","-1.5 (+176) (o/u 8.0) (-115)","49 N RL 9-10 90% H88% retractable","","5ab .200/.200/.800 0sb 1hr",3500,16,3900,0,0,0,0,0,0,"3B","3B","3B","3B;DH",NA,NA,NA,NA,NA,0,NA
8713,"Taylor","Chris","LAD","2B","@ SF",1,4.3,3.97,0.7,0.23,0.06,0.05,0.31,0.96,0.1,0.05,0.49,0.53,0,0.02,0,0,2.93,"@SF (Cain R) R Ord 5","","54 O CF 12-22 16% H75%outdoor","","",2800,12,3300,0,0,0,0,0,0,"2B","2B","2B","2B;SS;DH",NA,NA,NA,NA,NA,0,NA
6664,"Saladino","Tyler","CHW","2B","@ LAA",1,4.51,4.24,0.79,0.18,0.02,0.09,0.24,1.05,0.15,0.06,0.52,0.42,0,0.03,0,0.08,3.17,"@LAA (Chavez R) R Ord 2","+1.5 (-131) (o/u 8.5) (+156)","60 O CF 2-8 6% H68%outdoor","","",3100,7,3200,0,0,0,0,0,0,"2B","2B","2B","2B;SS;DH",NA,NA,NA,NA,NA,0,NA
9823,"Margot","Manuel","SD","OF","MIL",1,4.45,4.16,0.75,0.19,0.06,0.07,0.27,0.66,0.18,0.1,0.51,0.3,0,0.02,0,0,3.08,"MIL (Anderson R) R Ord 1","-1.5 (+182) (o/u 7.5) (-115)","60 N LR 6-11 43% H67%outdoor","","",3500,10,3500,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
3033,"Markakis","Nick","ATL","OF","@ TOR",1,4.33,3.87,0.76,0.25,0.01,0.06,0.43,0.76,0.01,0.01,0.53,0.56,0,0.03,0,0.01,2.79,"@TOR (Bolsinger R) L Ord 5","+1.5 (-175) (o/u 9.0) (+122)","49 O RF 4-11 9% H78% retractable","","3ab .000/.000/.000 0sb 0hr",3500,12,3400,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
4127,"Reyes","Jose","NYM","SS/3B","@ ARI",1,4.15,3.84,0.75,0.19,0.03,0.07,0.29,0.6,0.14,0.04,0.46,0.48,0,0.02,0,0.13,2.8,"@ARI (Godley R) S Ord 6","+1.5 (-199) (o/u 9.5) (+103)","71 N LR 7-14 0% H25% retractable","","4ab .250/.250/.250 0sb 0hr",2900,15,4200,0,0,0,0,0,0,"3B","SS","SS;3B","SS;3B;DH",NA,NA,NA,NA,NA,0,NA
6171,"Revere","Ben","LAA","OF","CHW",1,4.29,4.07,0.95,0.14,0.05,0.02,0.21,0.41,0.21,0.06,0.44,0.44,0,0.02,0,0.02,2.9,"CHW (Pelfrey R) L Ord 6","-1.5 (+121) (o/u 8.5) (-170)","60 O CF 2-8 6% H68%outdoor","","3ab .667/.667/.667 0sb 0hr",2800,7,3200,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
