"id","last_name","first_name","team","position","opponent","games","pa","ab","singles","doubles","triples","home_runs","walks","strikeouts","sb","cs","runs","rbi","hbp","sac_flies","gidp","errors","outs","matchup","odds","weather","injury","bvp","price_fanduel","price_yahoo","price_draftkings","price_draftday","price_starstreet","price_fantasyfeud","price_fanthrowdown","price_starfantasyleagues","price_fantasyaces","positions_fanduel","positions_yahoo","positions_draftkings","positions_draftday","positions_starstreet","positions_fantasyfeud","positions_fanthrowdown","positions_starfantasyleagues","positions_fantasyaces","price_victiv","positions_victiv"
6998,"Arenado","Nolan","COL","3B","WAS",1,4.31,3.91,0.64,0.33,0.03,0.32,0.38,0.62,0.02,0.02,0.88,0.97,0,0.02,0,0,2.5,"WAS (Turner R) R Ord 4","-1.5 (+140) (o/u 12.0) (-140)","55 O LF 5-15 23% H51%outdoor","","9ab .556/.556/.667 0sb 0hr",4900,26,5600,0,0,0,0,0,0,"3B","3B","3B","3B;DH",NA,NA,NA,NA,NA,0,NA
6286,"Blackmon","Charlie","COL","OF","WAS",1,4.62,4.26,0.91,0.28,0.06,0.21,0.34,0.7,0.15,0.08,1.02,0.61,0,0.02,0,0,2.69,"WAS (Turner R) L Ord 1","-1.5 (+140) (o/u 12.0) (-140)","55 O LF 5-15 23% H51%outdoor","","3ab .333/.333/.333 0sb 0hr",4500,21,5500,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
6209,"Harper","Bryce","WAS","OF","@ COL",1,4.5,3.7,0.65,0.22,0.02,0.27,0.78,0.87,0.11,0.06,0.86,0.82,0,0.02,0,0,2.5,"@COL (Anderson L) L Ord 3","+1.5 (-160) (o/u 12.0) (+120)","55 O LF 5-15 23% H51%outdoor","","",5500,28,6100,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
6195,"Trout","Mike","LAA","OF","TOR",1,4.45,3.62,0.63,0.22,0.04,0.23,0.81,0.96,0.2,0.05,0.59,0.72,0,0.02,0,0,2.5,"TOR (Liriano L) R Ord 3","-1.5 (+155) (o/u 8.0) (-130)","65 O CF 5-9 4% H62%outdoor","","13ab .385/.467/.385 2sb 0hr",5100,26,5300,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
1810,"Gonzalez","Carlos","COL","OF","WAS",1,4.41,4.01,0.7,0.31,0.01,0.24,0.38,0.84,0.02,0.01,0.97,0.86,0,0.02,0,0,2.66,"WAS (Turner R) L Ord 3","-1.5 (+140) (o/u 12.0) (-140)","55 O LF 5-15 23% H51%outdoor","","6ab .167/.167/.167 0sb 0hr",3900,15,5300,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
6234,"Goldschmidt","Paul","ARI","1B","SD",1,4.43,3.61,0.64,0.24,0.02,0.17,0.8,0.9,0.2,0.04,0.72,0.71,0,0.02,0,0,2.54,"SD (Chacin R) R Ord 3","-1.5 (+120) (o/u 9.0) (-170)","78 N LR 11-14 0% H22% retractable","","13ab .308/.438/.692 0sb 1hr",4300,22,5200,0,0,0,0,0,0,"1B","1B","1B","1B;DH",NA,NA,NA,NA,NA,0,NA
6235,"Pollock","AJ","ARI","OF","SD",1,4.65,4.26,0.85,0.29,0.06,0.12,0.37,0.63,0.27,0.05,0.74,0.47,0,0.02,0,0,2.93,"SD (Chacin R) R Ord 1","-1.5 (+120) (o/u 9.0) (-170)","78 N LR 11-14 0% H22% retractable","","4ab .750/.750/1.500 0sb 1hr",3900,19,4400,0,0,0,0,0,0,"OF","OF","OF","DH;OF",NA,NA,NA,NA,NA,0,NA
3468,"Murphy","Daniel","WAS","2B","@ COL",1,4.61,4.34,0.97,0.36,0.05,0.15,0.25,0.47,0.03,0.02,0.8,0.61,0,0.02,0,0,2.76,"@COL (Anderson L) L Ord 2","+1.5 (-160) (o/u 12.0) (+120)","55 O LF 5-15 23% H51%outdoor","","",4200,23,5600,0,0,0,0,0,0,"2B","2B","2B","2B;3B;DH",NA,NA,NA,NA,NA,0,NA
6790,"LeMahieu","DJ","COL","2B","WAS",1,4.52,4.01,1.08,0.24,0.05,0.08,0.48,0.58,0.07,0.04,0.9,0.61,0,0.02,0,0,2.46,"WAS (Turner R) R Ord 2","-1.5 (+140) (o/u 12.0) (-140)","55 O LF 5-15 23% H51%outdoor","","5ab .000/.000/.000 0sb 0hr",3700,19,4800,0,0,0,0,0,0,"2B","2B","2B","2B;3B;DH",NA,NA,NA,NA,NA,0,NA
8389,"Story","Trevor","COL","SS","WAS",1,4.1,3.69,0.49,0.27,0.04,0.27,0.39,1.15,0.1,0.04,0.72,0.7,0,0.02,0,0,2.54,"WAS (Turner R) R Ord 6","-1.5 (+140) (o/u 12.0) (-140)","55 O LF 5-15 23% H51%outdoor","","",4000,18,5400,0,0,0,0,0,0,"SS","SS","SS","SS;DH",NA,NA,NA,NA,NA,0,NA
