id,last_name,first_name,team,position,opponent,games,pa,ab,singles,doubles,triples,home_runs,walks,strikeouts,sb,cs,runs,rbi,hbp,sac_flies,gidp,errors,outs,matchup,odds,weather,injury,bvp, price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces, positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces,price_victiv,positions_victiv
7625,Gattis,Evan,HOU,C,@ KC,1.00,1.01,0.93,0.14,0.05,0.01,0.05,0.07,0.21,0.00,0.00,0.14,0.14,0.00,0.01,0.00,0.00,0.69,@KC (Kennedy R) R Not Starting ,-1.5 (+120) (o/u 10.0) (-134),71 I CF 5-7 5% H61%outdoor,,7ab .286/.286/.714 0sb 1hr,3300,13,4100,0,0,0,0,0,0,C,C,C,,,,,,,0,
8487,Garcia,Adonis,ATL,3B,PHI,1.00,1.08,1.03,0.20,0.05,0.00,0.03,0.05,0.18,0.01,0.00,0.13,0.15,0.00,0.01,0.00,0.00,0.76,PHI (Pivetta R) R Not Starting ,-1.5 (+160) (o/u 9.5) (-131),70 O RF 3-4 40% H94%outdoor,Injured,,3200,12,4200,0,0,0,0,0,0,3B,3B,3B,,,,,,,0,
8682,Schebler,Scott,CIN,OF,STL,1.00,0.98,0.90,0.14,0.04,0.01,0.05,0.07,0.22,0.01,0.01,0.13,0.13,0.00,0.01,0.00,0.00,0.67,STL (Martinez R) L Not Starting ,+1.5 (-120) (o/u 9.5) (+145),65 N RL 2-7 15% H85%outdoor,,7ab .286/.444/.286 0sb 0hr,3000,14,3600,0,0,0,0,0,0,OF,OF,OF,,,,,,,0,
7342,Bour,Justin,MIA,1B,@ CHC,1.00,0.90,0.81,0.13,0.04,0.00,0.06,0.09,0.19,0.00,0.00,0.13,0.12,0.00,0.00,0.00,0.00,0.55,@CHC (Butler R) L Not Starting ,+1.5 (-190) (o/u 8.0) (+115),57 I CF 6-13 6% H66%outdoor,Injured,4ab .750/.800/1.500 0sb 1hr,3600,23,5000,0,0,0,0,0,0,1B,1B,1B,,,,,,,0,
2562,Kendrick,Howie,PHI,OF,@ ATL,1.00,1.03,0.96,0.21,0.05,0.01,0.02,0.07,0.20,0.02,0.01,0.11,0.13,0.00,0.01,0.00,0.00,0.68,@ATL (Colon R) R Not Starting ,+1.5 (-180) (o/u 9.5) (+121),70 O RF 3-4 40% H94%outdoor,,22ab .091/.091/.091 0sb 0hr,3000,12,3600,0,0,0,0,0,0,OF,OF,OF,,,,,,,0,
6818,Martinez,Jose,STL,1B/OF,@ CIN,1.00,0.98,0.90,0.18,0.05,0.00,0.02,0.07,0.17,0.01,0.01,0.12,0.13,0.00,0.01,0.00,0.00,0.64,@CIN (Wojciechowski R) R Not Starting ,-1.5 (+100) (o/u 9.5) (-155),65 N RL 2-7 15% H85%outdoor,,,2200,7,3200,0,0,0,0,0,0,OF,1B,1B;OF,,,,,,,0,
3824,Peralta,Jhonny,STL,3B,@ CIN,1.00,0.98,0.90,0.16,0.05,0.00,0.03,0.07,0.20,0.00,0.00,0.13,0.13,0.00,0.01,0.00,0.00,0.65,@CIN (Wojciechowski R) R Not Starting ,-1.5 (+100) (o/u 9.5) (-155),65 N RL 2-7 15% H85%outdoor,,,2400,8,3400,0,0,0,0,0,0,3B,3B,3B,,,,,,,0,
8672,Rupp,Cameron,PHI,C,@ ATL,1.00,1.03,0.95,0.14,0.06,0.00,0.03,0.07,0.30,0.00,0.00,0.12,0.13,0.00,0.01,0.00,0.00,0.73,@ATL (Colon R) R Not Starting ,+1.5 (-180) (o/u 9.5) (+121),70 O RF 3-4 40% H94%outdoor,,14ab .357/.400/.357 0sb 0hr,2200,15,2700,0,0,0,0,0,0,C,C,C,,,,,,,0,
8761,Shaw,Travis,MIL,3B,SF,1.00,0.94,0.86,0.13,0.05,0.00,0.04,0.07,0.22,0.01,0.00,0.11,0.12,0.00,0.01,0.00,0.00,0.63,SF (Samardzija R) L Not Starting ,+1.5 (-140) (o/u 8.0) (+116),56 N RL 7-13 3% H62% retractable,,3ab .000/.000/.000 0sb 0hr,4100,17,4700,0,0,0,0,0,0,3B,3B,3B,,,,,,,0,
4841,Suzuki,Kurt,ATL,C,PHI,1.00,1.08,0.98,0.18,0.06,0.00,0.02,0.08,0.15,0.00,0.00,0.12,0.14,0.00,0.01,0.00,0.00,0.75,PHI (Pivetta R) R Not Starting ,-1.5 (+160) (o/u 9.5) (-131),70 O RF 3-4 40% H94%outdoor,,,2800,11,3100,0,0,0,0,0,0,C,C,C,,,,,,,0,
