Place_lo,Place_hi,Payout
1,1,50000
2,2,25000
3,3,10000
4,4,5000
5,5,4000
6,6,3000
7,8,2000
9,10,1500
11,15,1000
16,20,750
21,30,500
31,40,400
41,50,300
51,75,250
76,125,200
126,175,150
176,225,125
226,325,100
326,450,80
451,700,70
701,1000,60
1001,1500,50
1501,2500,40
2501,3900,35
3901,6425,30
