"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Clayton Kershaw",12800,"SD@LAD 04:10PM ET",25.007,"LAD","SD",33.93,32.7,NA,NA,32.55
"SP","Noah Syndergaard",11600,"ATL@NYM 01:10PM ET",22.006,"NYM","ATL",28.04,22.4,NA,NA,24.5
"SP","Stephen Strasburg",9900,"MIA@WAS 01:05PM ET",21.65,"WAS","MIA",25.21,22.4,NA,NA,18.15
"SP","Rick Porcello",8800,"PIT@BOS 02:05PM ET",20.118,"BOS","PIT",22.92,15,NA,NA,18.05
"SP","Danny Duffy",8600,"KC@MIN 04:10PM ET",13.418,"KC","MIN",20.52,19,NA,NA,23.9
"SP","Julio Teheran",8300,"ATL@NYM 01:10PM ET",17.155,"ATL","NYM",18.93,17.8,NA,NA,21.3
"SP","Jon Gray",7800,"COL@MIL 02:10PM ET",16.779,"COL","MIL",19.6,22.5,NA,NA,8.2
"SP","Gerrit Cole",7400,"PIT@BOS 02:05PM ET",13.51,"PIT","BOS",13.48,14.3,NA,NA,0.45
"SP","Ervin Santana",7100,"KC@MIN 04:10PM ET",15.177,"MIN","KC",14.47,14.7,NA,NA,21.35
"SP","Marco Estrada",7000,"TOR@BAL 03:05PM ET",17.592,"TOR","BAL",18.93,13.9,NA,NA,13.3
"SP","Jeremy Hellickson",6700,"PHI@CIN 04:10PM ET",15.495,"PHI","CIN",15.62,14.9,NA,NA,10.45
"SP","Kevin Gausman",6600,"TOR@BAL 03:05PM ET",16.775,"BAL","TOR",15.42,15.6,NA,NA,10.6
"SP","Edinson Volquez",6500,"MIA@WAS 01:05PM ET",9.941,"MIA","WAS",10.11,12.5,NA,NA,20.25
"SP","Junior Guerra",6400,"COL@MIL 02:10PM ET",17.488,"MIL","COL",16.58,16.5,NA,NA,9.55
"SP","Scott Feldman",5300,"PHI@CIN 04:10PM ET",4.496,"CIN","PHI",16.59,13.9,NA,NA,11.1
"SP","Jhoulys Chacin",5300,"SD@LAD 04:10PM ET",9.021,"SD","LAD",10.25,14.9,NA,NA,-11.9
