"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RP","Akeel Morris",4000,"Atl@NYM 01:10PM ET",0,"Atl"
"RP","Mauricio Cabrera",4000,"Atl@NYM 01:10PM ET",2.821,"Atl"
"3B/SS","Jose Reyes",4000,"Atl@NYM 01:10PM ET",8.770,"NYM"
"SP","Rookie Davis",4000,"Phi@Cin 04:10PM ET",0,"Cin"
"SP","Ricardo Pinto",4000,"Phi@Cin 04:10PM ET",0,"Phi"
"RP","Joaquin Benoit",4000,"Phi@Cin 04:10PM ET",2.958,"Phi"
"RP","Pat Neshek",4000,"Phi@Cin 04:10PM ET",2.356,"Phi"
"RP","Blake Wood",4000,"Phi@Cin 04:10PM ET",3.190,"Cin"
"RP","Jeanmar Gomez",4000,"Phi@Cin 04:10PM ET",1.790,"Phi"
"RP","Luis Garcia",4000,"Phi@Cin 04:10PM ET",1.559,"Phi"
"RP","Drew Storen",4000,"Phi@Cin 04:10PM ET",2.152,"Cin"
"RP","Joely Rodriguez",4000,"Phi@Cin 04:10PM ET",1.829,"Phi"
"RP","Lisalverto Bonilla",4000,"Phi@Cin 04:10PM ET",0,"Cin"
"RP","Edubray Ramos",4000,"Phi@Cin 04:10PM ET",2.662,"Phi"
"RP","Michael Lorenzen",4000,"Phi@Cin 04:10PM ET",4.125,"Cin"
"RP","Austin Brice",4000,"Phi@Cin 04:10PM ET",1.860,"Cin"
"RP","Wandy Peralta",4000,"Phi@Cin 04:10PM ET",0.110,"Cin"
"RP","Hector Neris",4000,"Phi@Cin 04:10PM ET",3.792,"Phi"
"RP","Nefi Ogando",4000,"Phi@Cin 04:10PM ET",2.318,"Cin"
"RP","Tony Cingrani",4000,"Phi@Cin 04:10PM ET",2.052,"Cin"
"RP","Luis Castillo",4000,"Phi@Cin 04:10PM ET",0,"Cin"
"1B/OF","Adam Duvall",4000,"Phi@Cin 04:10PM ET",8.147,"Cin"
"SP","Cesar Vargas",4000,"SD@LAD 04:10PM ET",8.614,"SD"
"RP","Ryan Buchter",4000,"SD@LAD 04:10PM ET",3.426,"SD"
"RP","Trevor Cahill",4000,"SD@LAD 04:10PM ET",3.968,"SD"
"RP","Brad Hand",4000,"SD@LAD 04:10PM ET",3.915,"SD"
"RP","Brandon Maurer",4000,"SD@LAD 04:10PM ET",2.489,"SD"
"RP","Buddy Baumann",4000,"SD@LAD 04:10PM ET",2.777,"SD"
"RP","Keith Hessler",4000,"SD@LAD 04:10PM ET",1.879,"SD"
"RP","Jose M. Torres",4000,"SD@LAD 04:10PM ET",2.438,"SD"
"RP","Carter Capps",4000,"SD@LAD 04:10PM ET",0,"SD"
"RP","Kevin Quackenbush",4000,"SD@LAD 04:10PM ET",2.468,"SD"
"OF","Yasiel Puig",4000,"SD@LAD 04:10PM ET",5.791,"LAD"
"P","Tayron Guerrero",4000,"Mia@Was 01:05PM ET",0.100,"Mia"
"SP","Jose Urena",4000,"Mia@Was 01:05PM ET",4.505,"Mia"
"RP","Oliver Perez",4000,"Mia@Was 01:05PM ET",1.746,"Was"
"RP","Dustin McGowan",4000,"Mia@Was 01:05PM ET",3.425,"Mia"
"RP","Joe Blanton",4000,"Mia@Was 01:05PM ET",3.556,"Was"
"RP","Brad Ziegler",4000,"Mia@Was 01:05PM ET",2.804,"Mia"
"RP","Shawn Kelley",4000,"Mia@Was 01:05PM ET",3.572,"Was"
"RP","Sammy Solis",4000,"Mia@Was 01:05PM ET",3.665,"Was"
"RP","David Phelps",4000,"Mia@Was 01:05PM ET",5.329,"Mia"
"RP","Hunter Cervenka",4000,"Mia@Was 01:05PM ET",1.699,"Mia"
"RP","Junichi Tazawa",4000,"Mia@Was 01:05PM ET",2.803,"Mia"
"RP","AJ Ramos",4000,"Mia@Was 01:05PM ET",2.976,"Mia"
"RP","Enny Romero",4000,"Mia@Was 01:05PM ET",2.091,"Was"
