Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
29.0,Antonio,0.0,Pit@Phi 04:25PM ET,7451829,Brown,Antonio Brown,Antonio Brown (7451829),PHI,WR,27.75,25.2,25.2,24.4,24.9863163446,26.1814733586,1.0,0.295774647887,9600,PIT,1.0,0.0
22.1,Odell,0.0,Was@NYG 01:00PM ET,7451720,Beckham,Odell Beckham,Odell Beckham Jr. (7451720),WAS,WR,21.5,19.7,19.7,20.24,19.4465935967,20.3299022228,1.0,0.301369863014,9100,NYG,2.0,0.0
13.0,Dez,0.0,Chi@Dal 08:30PM ET,7451840,Bryant,Dez Bryant,Dez Bryant (7451840),CHI,WR,17.84,17.1,17.1,16.89,16.5128900468,17.0627976245,2.0,0.233766233766,8400,DAL,4.0,0.0
15.7,A.J.,0.0,Den@Cin 01:00PM ET,7451765,Green,A.J. Green,A.J. Green (7451765),DEN,WR,18.56,18.0,18.0,16.66,17.2842481233,17.8053762324,1.0,0.252873563218,8100,CIN,3.0,0.0
12.0,Alshon,0.0,Chi@Dal 08:30PM ET,7451844,Jeffery,Alshon Jeffery,Alshon Jeffery (7451844),DAL,WR,15.71,19.3,19.3,17.8,16.661877481,16.1158989488,1.0,0.237288135593,8000,CHI,2.0,0.0
16.1,Cam,1.0,Min@Car 01:00PM ET,7451539,Newton,Cam Newton,Cam Newton (7451539),MIN,QB,22.49,22.4,22.4,21.21,21.2383622219,21.7268806509,0.0,0.0,7800,CAR,2.0,0.0
26.1,David,0.0,Ari@Buf 01:00PM ET,7451579,Johnson,David Johnson,David Johnson (7451579),BUF,RB,21.69,19.0,19.0,18.15,19.1814597109,20.2848778754,3.0,0.148648648649,7700,ARI,1.0,0.0
10.2,Amari,0.0,Oak@Ten 01:00PM ET,7451710,Cooper,Amari Cooper,Amari Cooper (7451710),TEN,WR,17.5,16.8,16.8,16.46,16.2111291833,16.7442665162,1.0,0.264367816092,7700,OAK,4.0,0.0
26.4,Aaron,1.0,Det@GB 01:00PM ET,7451525,Rodgers,Aaron Rodgers,Aaron Rodgers (7451525),DET,QB,22.4,22.8,22.8,21.92,21.3981578647,21.7657954748,0.0,0.0,7700,GB,2.0,0.0
18.2,Andrew,1.0,SD@Ind 04:25PM ET,7451561,Luck,Andrew Luck,Andrew Luck (7451561),SD,QB,23.27,21.9,21.9,21.25,21.336599712,22.1521948661,0.0,0.0,7600,IND,2.0,0.0
24.7,Allen,0.0,Bal@Jax 01:00PM ET,7451748,Robinson,Allen Robinson,Allen Robinson (7451748),BAL,WR,19.46,17.1,17.1,17.63,17.236082422,18.2130770954,1.0,0.238636363636,7500,JAX,4.0,0.0
8.4,DeAngelo,0.0,Pit@Phi 04:25PM ET,7451675,Williams,DeAngelo Williams,DeAngelo Williams (7451675),PHI,RB,21.47,20.3,20.3,20.62,19.7331606407,20.4628296095,2.0,0.197183098592,7500,PIT,1.0,0.0
