Name_Team,2017-04-02,2017-04-03,2017-04-04
Ender Inciarte_ATL,NA,0.0,NA
Jurickson Profar_TEX,NA,0.0,NA
Zack Cozart_CIN,NA,5.0,NA
Norichika Aoki_HOU,NA,3.0,NA
Yasmani Grandal_LAD,NA,30.0,0.0
Ryan Zimmerman_WSH,NA,6.0,NA
Salvador Perez_KC,NA,3.0,NA
Jorge Polanco_MIN,NA,12.0,NA
Francisco Cervelli_PIT,NA,9.0,NA
Avisail Garcia_CWS,NA,NA,NA
Mitch Moreland_BOS,NA,0.0,NA
David Freese_PIT,NA,8.0,NA
Adam Frazier_PIT,NA,7.0,NA
Ryon Healy_OAK,NA,0.0,19.0
Jordy Mercer_PIT,NA,5.0,NA
Marcus Semien_OAK,NA,4.0,9.0
Cameron Rupp_PHI,NA,0.0,NA
Brian McCann_HOU,NA,0.0,14.0
Danny Valencia_SEA,NA,2.0,8.0
Mike Moustakas_KC,NA,14.0,NA
Alcides Escobar_KC,NA,0.0,NA
Paulo Orlando_KC,NA,0.0,NA
Ezequiel Carrera_TOR,NA,10.0,NA
Nick Markakis_ATL,NA,0.0,NA
Yan Gomes_CLE,NA,0.0,4.0
Yulieski Gurriel_HOU,NA,0.0,NA
Leonys Martin_SEA,NA,0.0,0.0
Ryan Schimpf_SD,NA,17.0,5.0
Matt Wieters_WSH,NA,5.0,NA
Justin Bour_MIA,NA,0.0,NA
J.J. Hardy_BAL,NA,0.0,NA
Stephen Vogt_OAK,NA,17.0,0.0
Mark Reynolds_COL,NA,27.0,12.0
Brandon Phillips_ATL,NA,3.0,NA
Yangervis Solarte_SD,NA,5.0,19.0
Manuel Margot_SD,NA,7.0,13.0
Derek Dietrich_MIA,NA,0.0,NA
Yunel Escobar_LAA,NA,6.0,5.0
Adonis Garcia_ATL,NA,0.0,NA
Dansby Swanson_ATL,NA,3.0,NA
Yandy Diaz_CLE,NA,7.0,0.0
Jarrod Dyson_SEA,NA,0.0,5.0
Hunter Renfroe_SD,NA,0.0,3.0
Sandy Leon_BOS,NA,8.0,NA
Andrelton Simmons_LAA,NA,5.0,7.0
Tony Wolters_COL,NA,10.0,2.0
Mike Zunino_SEA,NA,0.0,3.0
Andrew Toles_LAD,NA,8.0,NA
Jason Castro_MIN,NA,12.0,NA
Yonder Alonso_OAK,NA,7.0,7.0
Danny Espinosa_LAA,NA,0.0,18.0
Stephen Drew_WSH,NA,0.0,NA
James McCann_DET,NA,NA,NA
JaCoby Jones_DET,NA,NA,NA
Jed Lowrie_OAK,NA,8.0,24.0
Jett Bandy_MIL,NA,5.0,6.0
Tucker Barnhart_CIN,NA,5.0,NA
Travis Jankowski_SD,NA,5.0,4.0
Mikie Mahtook_DET,NA,NA,NA
Tyler Flowers_ATL,NA,3.0,NA
Adeiny Hechavarria_MIA,NA,0.0,NA
Omar Narvaez_CWS,NA,NA,NA
Jose Iglesias_DET,NA,NA,NA
Raul Mondesi_KC,NA,0.0,NA
Matt Joyce_OAK,NA,2.0,0.0
Austin Hedges_SD,NA,0.0,0.0
Martin Maldonado_LAA,NA,0.0,9.0
Rene Rivera_NYM,NA,3.0,NA
Jake Arrieta_CHC,NA,NA,25.3
Johnny Cueto_SF,NA,NA,12.45
Kenta Maeda_LAD,NA,NA,8.45
Lance McCullers_HOU,NA,NA,25.9
Carlos Carrasco_CLE,NA,NA,23.15
