"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,4400,104.545454545455,46,"Francisco Lindor","CLE",NA,"SS",2,3,2,5,1,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,6500,50.0769230769231,32.55,"Brandon Finnegan","CIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,7,0,0,0,1,1,0
3,2,6800,46.1029411764706,31.35,"Dylan Bundy","BAL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,0,0,1,4,0,0
4,3,11200,24.4196428571429,27.35,"Chris Sale","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,0,0,0,3,1,0
5,2,4400,61.3636363636364,27,"George Springer","HOU",NA,"OF",1,1,1,5,0,7,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,3,3000,86.6666666666667,26,"Sandy Leon","BOS",NA,"C",9,1,1,3,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,4,3500,74.2857142857143,26,"Chris Owings","ARI",NA,"SS/OF",2,1,0,1,2,3,1,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,5,2900,86.2068965517241,25,"Eduardo Escobar","MIN",NA,"SS/3B",7,2,1,4,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,4,7000,35.3571428571429,24.75,"J.A. Happ","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,7,0,0,3,5,0,0
10,6,3700,64.8648648648649,24,"Nomar Mazara","TEX",NA,"OF",3,1,1,3,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,7,4000,60,24,"Brandon Belt","SF",NA,"1B/OF",2,2,1,1,0,5,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,5,10600,22.3584905660377,23.7,"Jacob deGrom","NYM",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,0,0,0,2,1,0
13,8,3500,65.7142857142857,23,"JT Realmuto","MIA",NA,"C",2,2,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,6,6400,35.859375,22.95,"Jameson Taillon","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,7,0,0,0,5,3,0
