"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Actual"
"DST","Seahawks  (7452345)","Seahawks ",7452345,4100,"SF@Sea 04:05PM ET","SEA","Seahawks",NA,"SF",11.65,9.9,11.17,3
"DST","Panthers  (7452341)","Panthers ",7452341,3800,"Min@Car 01:00PM ET","CAR","Panthers",NA,"Min",11.53,10.2,10.82,2
"DST","Cardinals  (7452327)","Cardinals ",7452327,3600,"Ari@Buf 01:00PM ET","ARI","Cardinals",NA,"Buf",9.14,8.1,9.61,8
"DST","Broncos  (7452339)","Broncos ",7452339,3500,"Den@Cin 01:00PM ET","DEN","Broncos",NA,"Cin",8.41,8.6,9.67,9
"DST","Giants  (7452330)","Giants ",7452330,3300,"Was@NYG 01:00PM ET","NYG","Giants",NA,"Was",8.16,8.7,8.01,3
"DST","Chiefs  (7452346)","Chiefs ",7452346,3200,"NYJ@KC 04:25PM ET","KC","Chiefs",NA,"NYJ",8.99,9,8.67,29
"DST","Vikings  (7452340)","Vikings ",7452340,3100,"Min@Car 01:00PM ET","MIN","Vikings",NA,"Car",6.6,6.2,7.27,28
"DST","Buccaneers  (7452343)","Buccaneers ",7452343,3100,"LA@TB 04:05PM ET","TB","Buccaneers",NA,"LA",8.42,8.1,7.63,10
"DST","Dolphins  (7452333)","Dolphins ",7452333,3000,"Cle@Mia 01:00PM ET","MIA","Dolphins",NA,"Cle",11.42,7.9,8.98,7
"DST","Packers  (7452337)","Packers ",7452337,3000,"Det@GB 01:00PM ET","GB","Packers",NA,"Det",9.41,8.7,8.01,5
"DST","Rams  (7452342)","Rams ",7452342,3000,"LA@TB 04:05PM ET","LA","Rams",NA,"TB",6.19,8.2,7.91,12
"DST","Jets  (7452347)","Jets ",7452347,2900,"NYJ@KC 04:25PM ET","NYJ","Jets",NA,"KC",5.8,7,7.59,3
"DST","Steelers  (7452351)","Steelers ",7452351,2900,"Pit@Phi 04:25PM ET","PIT","Steelers",NA,"Phi",7.03,8.2,8.36,-1
"DST","Bengals  (7452338)","Bengals ",7452338,2800,"Den@Cin 01:00PM ET","CIN","Bengals",NA,"Den",8.14,7.8,8.32,5
"DST","Eagles  (7452350)","Eagles ",7452350,2800,"Pit@Phi 04:25PM ET","PHI","Eagles",NA,"Pit",8.77,8,6.45,17
"DST","Bills  (7452326)","Bills ",7452326,2700,"Ari@Buf 01:00PM ET","BUF","Bills",NA,"Ari",6.06,5.3,6.74,22
"DST","Bears  (7452352)","Bears ",7452352,2700,"Chi@Dal 08:30PM ET","CHI","Bears",NA,"Dal",5.39,4.2,6.61,1
"DST","Raiders  (7452329)","Raiders ",7452329,2600,"Oak@Ten 01:00PM ET","OAK","Raiders",NA,"Ten",6.16,7.4,7.64,11
"DST","Jaguars  (7452334)","Jaguars ",7452334,2600,"Bal@Jax 01:00PM ET","JAX","Jaguars",NA,"Bal",7.13,7.5,6.87,9
"DST","Titans  (7452328)","Titans ",7452328,2500,"Oak@Ten 01:00PM ET","TEN","Titans",NA,"Oak",8.14,7,6.02,4
"DST","Ravens  (7452335)","Ravens ",7452335,2500,"Bal@Jax 01:00PM ET","BAL","Ravens",NA,"Jax",7.38,6.9,7.84,13
"DST","Cowboys  (7452353)","Cowboys ",7452353,2500,"Chi@Dal 08:30PM ET","DAL","Cowboys",NA,"Chi",8.59,6.7,7.13,5
"DST","Redskins  (7452331)","Redskins ",7452331,2400,"Was@NYG 01:00PM ET","WAS","Redskins",NA,"NYG",5.25,8.8,6.52,8
"DST","Lions  (7452336)","Lions ",7452336,2400,"Det@GB 01:00PM ET","DET","Lions",NA,"GB",5.35,7.1,6.67,1
"DST","49ers  (7452344)","49ers ",7452344,2400,"SF@Sea 04:05PM ET","SF","49ers",NA,"Sea",5.59,4.6,5.97,2
"DST","Colts  (7452348)","Colts ",7452348,2400,"SD@Ind 04:25PM ET","IND","Colts",NA,"SD",7.32,6.9,6.1,11
"DST","Browns  (7452332)","Browns ",7452332,2300,"Cle@Mia 01:00PM ET","CLE","Browns",NA,"Mia",6.42,6.3,5.82,12
"DST","Chargers  (7452349)","Chargers ",7452349,2300,"SD@Ind 04:25PM ET","SD","Chargers",NA,"Ind",6.08,6.2,6.6,14
