Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
WR,Antonio Brown (7451829),Antonio Brown,7451829,9600,Pit@Phi 04:25PM ET,Pit
WR,Odell Beckham Jr. (7451720),Odell Beckham Jr.,7451720,9100,Was@NYG 01:00PM ET,NYG
WR,Dez Bryant (7451840),Dez Bryant,7451840,8400,Chi@Dal 08:30PM ET,Dal
WR,A.J. Green (7451765),A.J. Green,7451765,8100,Den@Cin 01:00PM ET,Cin
WR,Alshon Jeffery (7451844),Alshon Jeffery,7451844,8000,Chi@Dal 08:30PM ET,Chi
QB,Cam Newton (7451539),Cam Newton,7451539,7800,Min@Car 01:00PM ET,Car
RB,David Johnson (7451579),David Johnson,7451579,7700,Ari@Buf 01:00PM ET,Ari
WR,Amari Cooper (7451710),Amari Cooper,7451710,7700,Oak@Ten 01:00PM ET,Oak
QB,Aaron Rodgers (7451525),Aaron Rodgers,7451525,7700,Det@GB 01:00PM ET,GB
QB,Andrew Luck (7451561),Andrew Luck,7451561,7600,SD@Ind 04:25PM ET,Ind
WR,Allen Robinson (7451748),Allen Robinson,7451748,7500,Bal@Jax 01:00PM ET,Jax
RB,DeAngelo Williams (7451675),DeAngelo Williams,7451675,7500,Pit@Phi 04:25PM ET,Pit
WR,Jordy Nelson (7451751),Jordy Nelson,7451751,7400,Det@GB 01:00PM ET,GB
WR,Randall Cobb (7451755),Randall Cobb,7451755,7300,Det@GB 01:00PM ET,GB
RB,C.J. Anderson (7451627),C.J. Anderson,7451627,7300,Den@Cin 01:00PM ET,Den
WR,Brandon Marshall (7451807),Brandon Marshall,7451807,7300,NYJ@KC 04:25PM ET,NYJ
QB,Ben Roethlisberger (7451562),Ben Roethlisberger,7451562,7300,Pit@Phi 04:25PM ET,Pit
QB,Carson Palmer (7451499),Carson Palmer,7451499,7200,Ari@Buf 01:00PM ET,Ari
WR,Kelvin Benjamin (7451779),Kelvin Benjamin,7451779,7200,Min@Car 01:00PM ET,Car
RB,Todd Gurley (7451645),Todd Gurley,7451645,7100,LA@TB 04:05PM ET,LA
QB,Russell Wilson (7451548),Russell Wilson,7451548,7100,SF@Sea 04:05PM ET,Sea
WR,Jordan Matthews (7451831),Jordan Matthews,7451831,7100,Pit@Phi 04:25PM ET,Phi
QB,Eli Manning (7451509),Eli Manning,7451509,7000,Was@NYG 01:00PM ET,NYG
WR,Mike Evans (7451791),Mike Evans,7451791,7000,LA@TB 04:05PM ET,TB
RB,Matt Forte (7451656),Matt Forte,7451656,7000,NYJ@KC 04:25PM ET,NYJ
WR,Larry Fitzgerald (7451692),Larry Fitzgerald,7451692,6900,Ari@Buf 01:00PM ET,Ari
QB,Derek Carr (7451506),Derek Carr,7451506,6900,Oak@Ten 01:00PM ET,Oak
WR,Eric Decker (7451808),Eric Decker,7451808,6900,NYJ@KC 04:25PM ET,NYJ
RB,Ezekiel Elliott (7451690),Ezekiel Elliott,7451690,6900,Chi@Dal 08:30PM ET,Dal
QB,Matthew Stafford (7451526),Matthew Stafford,7451526,6800,Det@GB 01:00PM ET,Det
WR,T.Y. Hilton (7451821),T.Y. Hilton,7451821,6800,SD@Ind 04:25PM ET,Ind
RB,Adrian Peterson (7451631),Adrian Peterson,7451631,6700,Min@Car 01:00PM ET,Min
QB,Philip Rivers (7451559),Philip Rivers,7451559,6700,SD@Ind 04:25PM ET,SD
WR,Donte Moncrief (7451825),Donte Moncrief,7451825,6700,SD@Ind 04:25PM ET,Ind
WR,Jarvis Landry (7451730),Jarvis Landry,7451730,6600,Cle@Mia 01:00PM ET,Mia
RB,LeSean McCoy (7451575),LeSean McCoy,7451575,6500,Ari@Buf 01:00PM ET,Buf
TE,Jordan Reed (7451866),Jordan Reed,7451866,6500,Was@NYG 01:00PM ET,Was
QB,Blake Bortles (7451522),Blake Bortles,7451522,6500,Bal@Jax 01:00PM ET,Jax
QB,Kirk Cousins (7451512),Kirk Cousins,7451512,6400,Was@NYG 01:00PM ET,Was
WR,Demaryius Thomas (7451764),Demaryius Thomas,7451764,6400,Den@Cin 01:00PM ET,Den
RB,DeMarco Murray (7451581),DeMarco Murray,7451581,6300,Oak@Ten 01:00PM ET,Ten
WR,Doug Baldwin (7451798),Doug Baldwin,7451798,6300,SF@Sea 04:05PM ET,Sea
QB,Ryan Tannehill (7451517),Ryan Tannehill,7451517,6200,Cle@Mia 01:00PM ET,Mia
WR,Marvin Jones Jr. (7451754),Marvin Jones Jr.,7451754,6200,Det@GB 01:00PM ET,Det
WR,Sammy Watkins (7451702),Sammy Watkins,7451702,6100,Ari@Buf 01:00PM ET,Buf
QB,Joe Flacco (7451519),Joe Flacco,7451519,6100,Bal@Jax 01:00PM ET,Bal
RB,Eddie Lacy (7451617),Eddie Lacy,7451617,6100,Det@GB 01:00PM ET,GB
WR,Michael Crabtree (7451705),Michael Crabtree,7451705,6000,Oak@Ten 01:00PM ET,Oak
WR,Emmanuel Sanders (7451763),Emmanuel Sanders,7451763,6000,Den@Cin 01:00PM ET,Den
QB,Jameis Winston (7451544),Jameis Winston,7451544,6000,LA@TB 04:05PM ET,TB
WR,Jeremy Maclin (7451809),Jeremy Maclin,7451809,6000,NYJ@KC 04:25PM ET,KC
QB,Tony Romo (7451568),Tony Romo,7451568,6000,Chi@Dal 08:30PM ET,Dal
QB,Marcus Mariota (7451508),Marcus Mariota,7451508,5900,Oak@Ten 01:00PM ET,Ten
WR,DeSean Jackson (7451715),DeSean Jackson,7451715,5900,Was@NYG 01:00PM ET,Was
WR,Golden Tate (7451753),Golden Tate,7451753,5900,Det@GB 01:00PM ET,Det
QB,Ryan Fitzpatrick (7451551),Ryan Fitzpatrick,7451551,5900,NYJ@KC 04:25PM ET,NYJ
QB,Tyrod Taylor (7451501),Tyrod Taylor,7451501,5800,Ari@Buf 01:00PM ET,Buf
WR,Michael Floyd (7451695),Michael Floyd,7451695,5800,Ari@Buf 01:00PM ET,Ari
TE,Greg Olsen (7451898),Greg Olsen,7451898,5800,Min@Car 01:00PM ET,Car
QB,Alex Smith (7451552),Alex Smith,7451552,5800,NYJ@KC 04:25PM ET,KC
RB,Melvin Gordon (7451671),Melvin Gordon,7451671,5800,SD@Ind 04:25PM ET,SD
RB,Ryan Mathews (7451676),Ryan Mathews,7451676,5800,Pit@Phi 04:25PM ET,Phi
RB,Latavius Murray (7451583),Latavius Murray,7451583,5700,Oak@Ten 01:00PM ET,Oak
QB,Andy Dalton (7451529),Andy Dalton,7451529,5700,Den@Cin 01:00PM ET,Cin
RB,Doug Martin (7451640),Doug Martin,7451640,5700,LA@TB 04:05PM ET,TB
RB,Spencer Ware (7451661),Spencer Ware,7451661,5700,NYJ@KC 04:25PM ET,KC
QB,Dak Prescott (7451571),Dak Prescott,7451571,5700,Chi@Dal 08:30PM ET,Dal
QB,Josh McCown (7451515),Josh McCown,7451515,5600,Cle@Mia 01:00PM ET,Cle
RB,T.J. Yeldon (7451614),T.J. Yeldon,7451614,5600,Bal@Jax 01:00PM ET,Jax
RB,Jamaal Charles (7451657),Jamaal Charles,7451657,5600,NYJ@KC 04:25PM ET,KC
QB,Jay Cutler (7451567),Jay Cutler,7451567,5600,Chi@Dal 08:30PM ET,Chi
WR,Sterling Shepard (7451724),Sterling Shepard,7451724,5500,Was@NYG 01:00PM ET,NYG
RB,Arian Foster (7451598),Arian Foster,7451598,5500,Cle@Mia 01:00PM ET,Mia
RB,Thomas Rawls (7451652),Thomas Rawls,7451652,5500,SF@Sea 04:05PM ET,Sea
QB,Carson Wentz (7451566),Carson Wentz,7451566,5500,Pit@Phi 04:25PM ET,Phi
RB,Danny Woodhead (7451666),Danny Woodhead,7451666,5400,SD@Ind 04:25PM ET,SD
WR,Corey Coleman (7451735),Corey Coleman,7451735,5300,Cle@Mia 01:00PM ET,Cle
QB,Sam Bradford (7451538),Sam Bradford,7451538,5300,Min@Car 01:00PM ET,Min
WR,Allen Hurns (7451744),Allen Hurns,7451744,5200,Bal@Jax 01:00PM ET,Jax
WR,Travis Benjamin (7451820),Travis Benjamin,7451820,5200,SD@Ind 04:25PM ET,SD
RB,Jeremy Langford (7451685),Jeremy Langford,7451685,5200,Chi@Dal 08:30PM ET,Chi
RB,Rashad Jennings (7451590),Rashad Jennings,7451590,5100,Was@NYG 01:00PM ET,NYG
QB,Trevor Siemian (7451532),Trevor Siemian,7451532,5100,Den@Cin 01:00PM ET,Den
WR,Stefon Diggs (7451781),Stefon Diggs,7451781,5100,Min@Car 01:00PM ET,Min
QB,Drew Stanton (7451500),Drew Stanton,7451500,5000,Ari@Buf 01:00PM ET,Ari
QB,EJ Manuel (7451502),EJ Manuel,7451502,5000,Ari@Buf 01:00PM ET,Buf
QB,Cardale Jones (7451503),Cardale Jones,7451503,5000,Ari@Buf 01:00PM ET,Buf
QB,Matt Cassel (7451504),Matt Cassel,7451504,5000,Oak@Ten 01:00PM ET,Ten
QB,Matt McGloin (7451505),Matt McGloin,7451505,5000,Oak@Ten 01:00PM ET,Oak
QB,Connor Cook (7451507),Connor Cook,7451507,5000,Oak@Ten 01:00PM ET,Oak
TE,Delanie Walker (7451856),Delanie Walker,7451856,5000,Oak@Ten 01:00PM ET,Ten
