"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","Wade Baldwin IV",3000,"MIL@POR 11/30/2017 10:00PM ET",0,"POR","MIL",0,0,0
"SG","Gary Payton II",3000,"MIL@POR 11/30/2017 10:00PM ET",4.667,"MIL","POR",0,0,0
"PG/SF","Rashad Vaughn",3000,"MIL@POR 11/30/2017 10:00PM ET",5.344,"MIL","POR",0,0,0
"PF/C","Zach Collins",3000,"MIL@POR 11/30/2017 10:00PM ET",1.833,"POR","MIL",0,0,0
"PF/C","Ekpe Udoh",3000,"UTA@LAC 11/30/2017 10:30PM ET",11.333,"UTA","LAC",12.32,12.2,12
"SG","CJ Williams",3000,"UTA@LAC 11/30/2017 10:30PM ET",4.417,"LAC","UTA",6.67,0,10
"C","Willie Reed",3000,"UTA@LAC 11/30/2017 10:30PM ET",11.056,"LAC","UTA",13.69,12.6,16.25
"SF/PF","Jamil Wilson",3000,"UTA@LAC 11/30/2017 10:30PM ET",1.25,"LAC","UTA",0,0,7.75
"PG","Nate Wolters",3000,"UTA@LAC 11/30/2017 10:30PM ET",1.333,"UTA","LAC",0,0,0
"SF/PF","Eric Griffin",3000,"UTA@LAC 11/30/2017 10:30PM ET",0,"UTA","LAC",0,0,0
"SF","Royce O'Neale",3000,"UTA@LAC 11/30/2017 10:30PM ET",4.75,"UTA","LAC",16.51,14.8,21.75
"PF/C","Brice Johnson",3000,"UTA@LAC 11/30/2017 10:30PM ET",6.125,"LAC","UTA",0,0,0
"PG/SG","Dante Exum",3000,"UTA@LAC 11/30/2017 10:30PM ET",0,"UTA","LAC",0,0,0
"PG","Jawun Evans",3000,"UTA@LAC 11/30/2017 10:30PM ET",8.125,"LAC","UTA",10.76,9.4,15
"PF/C","Tony Bradley",3000,"UTA@LAC 11/30/2017 10:30PM ET",2,"UTA","LAC",0,0,0
