John Doe1,John Doe145,John Doe2,John Doe3,John Doe164,John Doe13,John Doe175,John Doe_goalie_6,John Doe163
John Doe1,John Doe109,John Doe2,John Doe3,John Doe147,John Doe13,John Doe121,John Doe_goalie_6,John Doe145
John Doe1,John Doe145,John Doe2,John Doe3,John Doe147,John Doe13,John Doe175,John Doe_goalie_5,John Doe163
John Doe1,John Doe145,John Doe2,John Doe3,John Doe93,John Doe13,John Doe157,John Doe_goalie_6,John Doe147
John Doe1,John Doe145,John Doe2,John Doe146,John Doe147,John Doe13,John Doe175,John Doe_goalie_6,John Doe163
John Doe1,John Doe145,John Doe2,John Doe3,John Doe75,John Doe13,John Doe85,John Doe_goalie_5,John Doe147
John Doe1,John Doe145,John Doe2,John Doe3,John Doe147,John Doe13,John Doe67,John Doe_goalie_6,John Doe149
John Doe1,John Doe145,John Doe2,John Doe3,John Doe147,John Doe157,John Doe175,John Doe_goalie_6,John Doe163
John Doe1,John Doe145,John Doe2,John Doe3,John Doe164,John Doe157,John Doe175,John Doe_goalie_5,John Doe163
John Doe1,John Doe145,John Doe2,John Doe3,John Doe111,John Doe13,John Doe121,John Doe_goalie_5,John Doe147
John Doe1,John Doe109,John Doe2,John Doe146,John Doe147,John Doe13,John Doe121,John Doe_goalie_5,John Doe145
John Doe1,John Doe109,John Doe2,John Doe3,John Doe147,John Doe121,John Doe157,John Doe_goalie_5,John Doe145
John Doe1,John Doe37,John Doe2,John Doe3,John Doe147,John Doe13,John Doe49,John Doe_goalie_6,John Doe145
John Doe1,John Doe163,John Doe2,John Doe3,John Doe75,John Doe85,John Doe175,John Doe_goalie_5,John Doe164
John Doe1,John Doe145,John Doe2,John Doe3,John Doe147,John Doe13,John Doe139,John Doe_goalie_5,John Doe149
John Doe1,John Doe163,John Doe2,John Doe3,John Doe114,John Doe121,John Doe175,John Doe_goalie_6,John Doe164
John Doe1,John Doe145,John Doe2,John Doe3,John Doe147,John Doe13,John Doe67,John Doe_goalie_5,John Doe150
John Doe1,John Doe145,John Doe2,John Doe3,John Doe131,John Doe13,John Doe139,John Doe_goalie_6,John Doe147
