"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Actual","ValueWR"
"RB","T.J. Yeldon (7451614)","T.J. Yeldon",7451614,5600,"Bal@Jax 01:00PM ET","Jax","T.J.","Yeldon","Bal",11.48,9.7,10.65,9.7,2,0.181818181818182,9.97418990841759,10.6447297078087,0,4.8,0
"RB","Jamaal Charles (7451657)","Jamaal Charles",7451657,5600,"NYJ@KC 04:25PM ET","KC","Jamaal","Charles","NYJ",0,9.1,0,9.1,11,0,4.54938568001081,2.33913768484495,0,0,0
"QB","Jay Cutler (7451567)","Jay Cutler",7451567,5600,"Chi@Dal 08:30PM ET","Chi","Jay","Cutler","Dal",0,0,14.16,0,0,0,0,0,1,0,0
"WR","Sterling Shepard (7451724)","Sterling Shepard",7451724,5500,"Was@NYG 01:00PM ET","NYG","Sterling","Shepard","Was",14.79,12,13.12,12,2,0.164383561643836,12.6016684444128,13.5862027073131,0,18.3,0
"RB","Arian Foster (7451598)","Arian Foster",7451598,5500,"Cle@Mia 01:00PM ET","Mia","Arian","Foster","Cle",0,0,0,0,5,0.0694444444444444,0,0,0,0,0
"RB","Thomas Rawls (7451652)","Thomas Rawls",7451652,5500,"SF@Sea 04:05PM ET","Sea","Thomas","Rawls","SF",0,0,0,0,5,0.08,0,0,0,0,0
"QB","Carson Wentz (7451566)","Carson Wentz",7451566,5500,"Pit@Phi 04:25PM ET","Phi","Carson","Wentz","Pit",17.23,16.6,18.18,16.6,0,0,15.9906106223239,16.5011436516077,1,24,0
"RB","Danny Woodhead (7451666)","Danny Woodhead",7451666,5400,"SD@Ind 04:25PM ET","SD","Danny","Woodhead","Ind",0,0,0,0,3,0.136363636363636,0,0,0,0,0
"WR","Corey Coleman (7451735)","Corey Coleman",7451735,5300,"Cle@Mia 01:00PM ET","Cle","Corey","Coleman","Mia",0,0,0,0,2,0.2,0,0,0,0,0
"QB","Sam Bradford (7451538)","Sam Bradford",7451538,5300,"Min@Car 01:00PM ET","Min","Sam","Bradford","Car",15.09,13.3,14.9,13.3,9,0,13.3855051983434,14.1333799505651,1,10.6,0
"WR","Allen Hurns (7451744)","Allen Hurns",7451744,5200,"Bal@Jax 01:00PM ET","Jax","Allen","Hurns","Bal",12.82,12.4,12.23,12.4,3,0.170454545454545,11.9222037998684,12.2902253055884,0,8,0
"WR","Travis Benjamin (7451820)","Travis Benjamin",7451820,5200,"SD@Ind 04:25PM ET","SD","Travis","Benjamin","Ind",15.51,17.6,15.57,17.6,1,0.227272727272727,15.7227092347724,15.5369073722624,0,11.2,0
"RB","Jeremy Langford (7451685)","Jeremy Langford",7451685,5200,"Chi@Dal 08:30PM ET","Chi","Jeremy","Langford","Dal",11.41,13.6,12.95,13.6,5,0.11864406779661,11.8926775751721,11.5975138530973,0,6.6,0
"RB","Rashad Jennings (7451590)","Rashad Jennings",7451590,5100,"Was@NYG 01:00PM ET","NYG","Rashad","Jennings","Was",0,0,0,0,7,0.0547945205479452,0,0,0,0,0
"QB","Trevor Siemian (7451532)","Trevor Siemian",7451532,5100,"Den@Cin 01:00PM ET","Den","Trevor","Siemian","Cin",11.23,11.1,13.27,11.1,0,0,10.5624916360424,10.8270847799007,1,32,0
"WR","Stefon Diggs (7451781)","Stefon Diggs",7451781,5100,"Min@Car 01:00PM ET","Min","Stefon","Diggs","Car",16.24,15.7,14.83,15.7,1,0.318181818181818,15.0987204832798,15.5668517985053,0,8,0
"QB","Drew Stanton (7451500)","Drew Stanton",7451500,5000,"Ari@Buf 01:00PM ET","Ari","Drew","Stanton","Buf",0,0,0,0,0,0,0,0,1,0,0
"QB","EJ Manuel (7451502)","EJ Manuel",7451502,5000,"Ari@Buf 01:00PM ET","Buf","EJ","Manuel","Ari",0,0,0,0,0,0,0,0,1,0,0
"QB","Cardale Jones (7451503)","Cardale Jones",7451503,5000,"Ari@Buf 01:00PM ET","Buf","Cardale","Jones","Ari",0,0,0,0,0,0,0,0,1,0,0
"QB","Matt Cassel (7451504)","Matt Cassel",7451504,5000,"Oak@Ten 01:00PM ET","Ten","Matt","Cassel","Oak",0,0,0,0,0,0,0,0,1,0,0
"QB","Matt McGloin (7451505)","Matt McGloin",7451505,5000,"Oak@Ten 01:00PM ET","Oak","Matt","McGloin","Ten",0,0,0,0,0,0,0,0,1,0,0
"QB","Connor Cook (7451507)","Connor Cook",7451507,5000,"Oak@Ten 01:00PM ET","Oak","Connor","Cook","Ten",0,0,0,0,0,0,0,0,1,0,0
"TE","Delanie Walker (7451856)","Delanie Walker",7451856,5000,"Oak@Ten 01:00PM ET","Ten","Delanie","Walker","Oak",0,0,0,0,3,0.146666666666667,0,0,0,0,0
"QB","Josh Johnson (7451510)","Josh Johnson",7451510,5000,"Was@NYG 01:00PM ET","NYG","Josh","Johnson","Was",0,0,0,0,0,0,0,0,1,0,0
"QB","Colt McCoy (7451511)","Colt McCoy",7451511,5000,"Was@NYG 01:00PM ET","Was","Colt","McCoy","NYG",0,0,0,0,0,0,0,0,1,0,0
"QB","Ryan Nassib (7451513)","Ryan Nassib",7451513,5000,"Was@NYG 01:00PM ET","NYG","Ryan","Nassib","Was",0,0,0,0,0,0,0,0,1,0,0
"QB","Nate Sudfeld (7451514)","Nate Sudfeld",7451514,5000,"Was@NYG 01:00PM ET","Was","Nate","Sudfeld","NYG",0,0,0,0,0,0,0,0,1,0,0
"QB","Matt Moore (7451516)","Matt Moore",7451516,5000,"Cle@Mia 01:00PM ET","Mia","Matt","Moore","Cle",0,0,0,0,0,0,0,0,1,0,0
"QB","Cody Kessler (7451518)","Cody Kessler",7451518,5000,"Cle@Mia 01:00PM ET","Cle","Cody","Kessler","Mia",11.67,14.4,12.28,14.4,0,0,12.4086914810911,11.9877650854853,1,10.7,0
"QB","Chad Henne (7451520)","Chad Henne",7451520,5000,"Bal@Jax 01:00PM ET","Jax","Chad","Henne","Bal",0,0,0,0,0,0,0,0,1,0,0
"QB","Ryan Mallett (7451521)","Ryan Mallett",7451521,5000,"Bal@Jax 01:00PM ET","Bal","Ryan","Mallett","Jax",0,0,0,0,0,0,0,0,1,0,0
"QB","Brandon Allen (7451523)","Brandon Allen",7451523,5000,"Bal@Jax 01:00PM ET","Jax","Brandon","Allen","Bal",0,0,0,0,0,0,0,0,1,0,0
"WR","Mike Wallace (7451741)","Mike Wallace",7451741,5000,"Bal@Jax 01:00PM ET","Bal","Mike","Wallace","Jax",13.34,15.75,12.38,10.5,3,0.180555555555556,11.2044678886253,12.1710594300395,0,6.9,1
"QB","Dan Orlovsky (7451524)","Dan Orlovsky",7451524,5000,"Det@GB 01:00PM ET","Det","Dan","Orlovsky","GB",0,0,0,0,0,0,0,0,1,0,0
"QB","Brett Hundley (7451527)","Brett Hundley",7451527,5000,"Det@GB 01:00PM ET","GB","Brett","Hundley","Det",0,0,0,0,0,0,0,0,1,0,0
"QB","Joe Callahan (7451528)","Joe Callahan",7451528,5000,"Det@GB 01:00PM ET","GB","Joe","Callahan","Det",0,0,0,0,0,0,0,0,1,0,0
"QB","Austin Davis (7451530)","Austin Davis",7451530,5000,"Den@Cin 01:00PM ET","Den","Austin","Davis","Cin",0,0,0,0,0,0,0,0,1,0,0
"QB","AJ McCarron (7451531)","AJ McCarron",7451531,5000,"Den@Cin 01:00PM ET","Cin","AJ","McCarron","Den",0,0,0,0,0,0,0,0,1,0,0
"QB","Jeff Driskel (7451533)","Jeff Driskel",7451533,5000,"Den@Cin 01:00PM ET","Cin","Jeff","Driskel","Den",0,0,0,0,0,0,0,0,1,0,0
"QB","Paxton Lynch (7451534)","Paxton Lynch",7451534,5000,"Den@Cin 01:00PM ET","Den","Paxton","Lynch","Cin",0,0,0,0,0,0,0,0,1,0,0
"QB","Derek Anderson (7451535)","Derek Anderson",7451535,5000,"Min@Car 01:00PM ET","Car","Derek","Anderson","Min",0,0,0,0,0,0,0,0,1,0.1,0
"QB","Shaun Hill (7451536)","Shaun Hill",7451536,5000,"Min@Car 01:00PM ET","Min","Shaun","Hill","Car",0,0,0,0,0,0,0,0,1,0,0
"QB","Joe Webb (7451537)","Joe Webb",7451537,5000,"Min@Car 01:00PM ET","Car","Joe","Webb","Min",0,0,0,0,10,0,0,0,1,0,0
"QB","Case Keenum (7451540)","Case Keenum",7451540,5000,"LA@TB 04:05PM ET","LA","Case","Keenum","TB",11.39,13,11.5,13,0,0,11.5837897788582,11.4290840136328,1,14.7,0
"QB","Mike Glennon (7451541)","Mike Glennon",7451541,5000,"LA@TB 04:05PM ET","TB","Mike","Glennon","LA",0,0,0,0,0,0,0,0,1,0,0
"QB","Ryan Griffin (7451542)","Ryan Griffin",7451542,5000,"LA@TB 04:05PM ET","TB","Ryan","Griffin","LA",0,0,0,0,6,0.0597014925373134,0,0,1,0,0
"QB","Sean Mannion (7451543)","Sean Mannion",7451543,5000,"LA@TB 04:05PM ET","LA","Sean","Mannion","TB",0,0,0,0,0,0,0,0,1,0,0
"QB","Jared Goff (7451545)","Jared Goff",7451545,5000,"LA@TB 04:05PM ET","LA","Jared","Goff","TB",0,0,0,0,0,0,0,0,1,0,0
"QB","Colin Kaepernick (7451546)","Colin Kaepernick",7451546,5000,"SF@Sea 04:05PM ET","SF","Colin","Kaepernick","Sea",0,1.1,0,1.1,0,0,0.549925741539768,0.282752906959279,1,0,0
"QB","Christian Ponder (7451547)","Christian Ponder",7451547,5000,"SF@Sea 04:05PM ET","SF","Christian","Ponder","Sea",0,0,0,0,0,0,0,0,1,0,0
"QB","Blaine Gabbert (7451549)","Blaine Gabbert",7451549,5000,"SF@Sea 04:05PM ET","SF","Blaine","Gabbert","Sea",14.52,12.4,12.15,12.4,10,0.0136986301369863,12.6811093788001,13.4973087010464,1,6,0
"QB","Trevone Boykin (7451550)","Trevone Boykin",7451550,5000,"SF@Sea 04:05PM ET","Sea","Trevone","Boykin","SF",0,0,0,0,0,0,0,0,1,5.4,0
"RB","Christine Michael (7451650)","Christine Michael",7451650,5000,"SF@Sea 04:05PM ET","Sea","Christine","Michael","SF",16.12,15.6,13.28,15.6,0,0,14.9951574284772,15.4559411020435,0,28.1,0
"QB","Nick Foles (7451553)","Nick Foles",7451553,5000,"NYJ@KC 04:25PM ET","KC","Nick","Foles","NYJ",0,0,0,0,0,0,0,0,1,0,0
"QB","Bryce Petty (7451554)","Bryce Petty",7451554,5000,"NYJ@KC 04:25PM ET","NYJ","Bryce","Petty","KC",0,0,0,0,0,0,0,0,1,0,0
"QB","Geno Smith (7451555)","Geno Smith",7451555,5000,"NYJ@KC 04:25PM ET","NYJ","Geno","Smith","KC",0,0,0,0,0,0,0,0,1,0,0
"QB","Tyler Bray (7451556)","Tyler Bray",7451556,5000,"NYJ@KC 04:25PM ET","KC","Tyler","Bray","NYJ",0,0,0,0,0,0,0,0,1,0,0
"QB","Christian Hackenberg (7451557)","Christian Hackenberg",7451557,5000,"NYJ@KC 04:25PM ET","NYJ","Christian","Hackenberg","KC",0,0,0,0,0,0,0,0,1,0,0
"QB","Kellen Clemens (7451558)","Kellen Clemens",7451558,5000,"SD@Ind 04:25PM ET","SD","Kellen","Clemens","Ind",0,0,0,0,0,0,0,0,1,0,0
"QB","Scott Tolzien (7451560)","Scott Tolzien",7451560,5000,"SD@Ind 04:25PM ET","Ind","Scott","Tolzien","SD",0,0,0,0,0,0,0,0,1,0,0
"RB","Frank Gore (7451665)","Frank Gore",7451665,5000,"SD@Ind 04:25PM ET","Ind","Frank","Gore","SD",11.92,12,11.94,12,6,0.102272727272727,11.3204572611574,11.5483619161576,0,15.3,0
"QB","Chase Daniel (7451563)","Chase Daniel",7451563,5000,"Pit@Phi 04:25PM ET","Phi","Chase","Daniel","Pit",0,0,0,0,0,0,0,0,1,0,0
"QB","Landry Jones (7451564)","Landry Jones",7451564,5000,"Pit@Phi 04:25PM ET","Pit","Landry","Jones","Phi",0,0,0,0,0,0,0,0,1,0,0
"QB","Zach Mettenberger (7451565)","Zach Mettenberger",7451565,5000,"Pit@Phi 04:25PM ET","Pit","Zach","Mettenberger","Phi",0,0,0,0,0,0,0,0,0,0,0
"QB","Brian Hoyer (7451569)","Brian Hoyer",7451569,5000,"Chi@Dal 08:30PM ET","Chi","Brian","Hoyer","Dal",14.01,16.8,15.9,16.8,0,0,14.6531406712797,14.2661953102462,1,22.4,0
