"Paul Goldschmidt_ARI","Jose Altuve_HOU","Carlos Correa_HOU","Josh Donaldson_TOR","Nelson Cruz_SEA","George Springer_HOU","Robinson Cano_SEA","Jean Segura_SEA","Jose Bautista_TOR","Freddie Freeman_ATL","Yoenis Cespedes_NYM","Hunter Pence_SF","Buster Posey_SF","AJ Pollock_ARI","Evan Longoria_TB","Kyle Seager_SEA","Brandon Belt_SF","Jake Lamb_ARI","Eduardo Nunez_SF","Alex Bregman_HOU","Denard Span_SF","Yasmany Tomas_ARI","Jose Reyes_NYM","Matt Kemp_ATL","Evan Gattis_HOU","Joe Panik_SF","Mallex Smith_TB","Curtis Granderson_NYM","Carlos Beltran_HOU","Brandon Crawford_SF","David Peralta_ARI","Troy Tulowitzki_TOR","Brad Miller_TB","Kendrys Morales_TOR","Devon Travis_TOR","Steven Souza_TB","David Wright_NYM","Asdrubal Cabrera_NYM","Ender Inciarte_ATL","Josh Reddick_HOU","Mitch Haniger_SEA","Brandon Drury_ARI","Chris Owings_ARI","Wilson Ramos_TB","Kevin Kiermaier_TB","Lucas Duda_NYM","Neil Walker_NYM","Jay Bruce_NYM","Michael Conforto_NYM","Norichika Aoki_HOU","Russell Martin_TOR","Colby Rasmus_TB","Corey Dickerson_TB","Nick Markakis_ATL","Brian McCann_HOU","Danny Valencia_SEA","Jeremy Hazelbaker_ARI","Jarrett Parker_SF","Logan Morrison_TB","Matt Duffy_TB","Brandon Phillips_ATL","Yuli Gurriel_HOU","Taylor Motter_SEA","Leonys Martin_SEA","Derek Fisher_HOU","Nick Hundley_SF","Chris Herrmann_ARI","Steve Pearce_TOR","Kevin Pillar_TOR","Wilmer Flores_NYM","Adonis Garcia_ATL","Socrates Brito_ARI","Mac Williamson_SF","Dansby Swanson_ATL","Marwin Gonzalez_HOU","Jarrod Dyson_SEA","Kelby Tomlinson_SF","Jake Bauers_TB","Tim Beckham_TB","Travis d'Arnaud_NYM","Mike Zunino_SEA","Ben Gamel_SEA","Jarrod Saltalamacchia_TOR","Justin Smoak_TOR","Rowdy Tellez_TOR","Dalton Pompey_TOR","Jace Peterson_ATL","TJ Rivera_NYM","Brandon Nimmo_NYM","Aaron Hill_SF","Gorkys Hernandez_SF","Tyler Flowers_ATL","Jake Marisnick_HOU","Guillermo Heredia_SEA","Chris Iannetta_ARI","Chris Marrero_SF","Conor Gillaspie_SF","Ezequiel Carrera_TOR","Micah Johnson_ATL","Chase d'Arnaud_ATL","Juan Lagares_NYM","Shawn O'Malley_SEA","Daniel Descalso_ARI","Curt Casali_TB","Rio Ruiz_ATL","Carlos Ruiz_SEA","Nick Ahmed_ARI","Derek Norris_TB","Daniel Robertson_TB","Emilio Bonifacio_ATL","Luke Maile_TB","Darwin Barney_TOR","Peter Bourjos_TB","Kurt Suzuki_ATL","Ty Kelly_NYM","Rene Rivera_NYM","Jeff Mathis_ARI","Jesus Sucre_TB","Ryan Goins_TOR","Rickie Weeks_TB","Anthony Recker_ATL"
26.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,-35,0,0,0,52,0,0,0,-6.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3333333333333,-20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0
0,4.5,-6,0,0,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.5,0,0,0,0,-18,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-6,8,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,24,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,32,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,24.5,0,-17.5,66.5,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-33,44,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,132,0,0,0,66,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-17.5,0,12.5,-47.5,0,0,0,0,0,0,0,-7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,-7.5,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66.5,0,-47.5,180.5,0,0,0,0,0,0,0,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,28.5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-4,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
