"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","650"
"3","3","450"
"4","4","300"
"5","5","205"
"6","6","150"
"7","8","100"
"9","10","85"
"11","15","70"
"16","20","60"
"21","25","50"
"26","30","40"
"31","40","30"
"41","50","25"
"51","75","20"
"76","100","17"
"101","200","13"
"201","500","10"
