"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,720027129,"petteytheft89 (14/25)",0,163.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Chris Owings OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"Marcus Stroman","64.46%",21.45
2,720066014,"moneyputt09",0,161.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"George Springer","54.08%",16
2,720073385,"canowhoopass (2/3)",0,161.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"Matt Harvey","52.34%",21.2
4,719887854,"SaahilSud (32/50)",0,159.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS José Reyes OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"José Altuve","50.55%",3
5,720114377,"agriffith63",0,158.65,"P Marcus Stroman P Matt Harvey C Russell Martin 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Mitch Haniger OF David Peralta OF A.J. Pollock",NA,"Buster Posey","49.53%",12
6,719993231,"jjwattup",0,154.65,"P Marcus Stroman P Matt Harvey C Brian McCann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Carlos Correa","45.37%",2
6,720037423,"jgreenblatt",0,154.65,"P Marcus Stroman P Matt Harvey C Brian McCann 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"A.J. Pollock","44.52%",11
8,720138215,"mmh01027",0,153.6,"P Marcus Stroman P Robbie Ray C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Marwin González SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Paul Goldschmidt","37.16%",19
9,720106135,"nikspl",0,152.65,"P Marcus Stroman P Blake Snell C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Brandon Crawford OF Mitch Haniger OF George Springer OF A.J. Pollock",NA,"Josh Donaldson","34.91%",4
10,719849373,"smadog",0,151.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Eduardo Núñez OF Hunter Pence OF David Peralta OF A.J. Pollock",NA,"José Bautista","26.11%",6
11,719829001,"gfay63 (36/50)",0,150.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Devon Travis 3B Jake Lamb SS Asdrúbal Cabrera OF George Springer OF David Peralta OF A.J. Pollock",NA,"David Peralta","25.64%",25
11,720084289,"cgadwa",0,150.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Marwin González SS Chris Owings OF Matt Kemp OF George Springer OF Hunter Pence",NA,"Steve Pearce","25.09%",0
11,720165466,"tnbassfishin",0,150.65,"P Marcus Stroman P Blake Snell C Buster Posey 1B Paul Goldschmidt 2B Jean Segura 3B Jake Lamb SS Asdrúbal Cabrera OF Matt Kemp OF George Springer OF Hunter Pence",NA,"Hunter Pence","24.36%",4
14,720117165,"feartheturtle7",0,148.9,"P Marcus Stroman P Joe Musgrove C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Joe Musgrove","23.94%",6.45
15,720146536,"abesmi1431 (16/16)",0,147.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Brandon Belt 2B Wilmer Flores 3B Jake Lamb SS Asdrúbal Cabrera OF Yoenis Céspedes OF David Peralta OF A.J. Pollock",NA,"Yoenis Céspedes","23.47%",9
16,720165235,"rstu22",0,146.65,"P Marcus Stroman P Blake Snell C Buster Posey 1B Brandon Belt 2B Jean Segura 3B Jake Lamb SS Brandon Crawford OF George Springer OF David Peralta OF A.J. Pollock",NA,"Jake Lamb","23.34%",20
17,719821984,"windchimesRrude (6/30)",0,145.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Chris Owings OF George Springer OF David Peralta OF A.J. Pollock",NA,"Nelson Cruz","22.07%",2
17,719887829,"SaahilSud (7/50)",0,145.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Robinson Canó 3B Jake Lamb SS Jean Segura OF Gorkys Hernández OF David Peralta OF A.J. Pollock",NA,"Robbie Ray","19.81%",15.15
17,719892703,"Miceli0615 (1/2)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Brandon Belt","18.07%",9
17,719903480,"Miceli0615 (2/2)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Robinson Canó","17.13%",3
17,719925596,"Ainmhithe (13/16)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B José Altuve 3B Wilmer Flores SS Asdrúbal Cabrera OF Yoenis Céspedes OF George Springer OF David Peralta",NA,"Jean Segura","16.71%",13
17,719943028,"dean78904 (2/3)",0,145.65,"P Marcus Stroman P Matt Harvey C Chris Herrmann 1B Paul Goldschmidt 2B Steve Pearce 3B Jake Lamb SS Carlos Correa OF George Springer OF David Peralta OF A.J. Pollock",NA,"Eduardo Núñez","15.94%",2
17,720049892,"dummyknuckles",0,145.65,"P Marcus Stroman P Matt Harvey C Buster Posey 1B Paul Goldschmidt 2B Wilmer Flores 3B Jake Lamb SS Asdrúbal Cabrera OF Jay Bruce OF George Springer OF A.J. Pollock",NA,"Marwin González","14.54%",16
