"Place_lo","Place_hi","Payout"
"1","1","400"
"2","2","200"
"3","3","150"
"4","4","100"
"5","5","75"
"6","6","50"
"7","7","35"
"8","8","25"
"9","9","20"
"10",NA,"15"
"11","12","12"
"13","15","10"
"16","20","8"
"21","30","6"
"31","40","5"
"41","60","4"
"61","85","3.5"
"86","125","3"
"126","200","2.5"
"201","350","2"
"351","700","1.5"
"701","1450","1.25"
"1451","3000","1"
"3001","5800","0.75"
"5801","11477","0.5"
