"Place_lo","Place_hi","Payout"
"1","1","10000"
"2","2","6000"
"3","3","4000"
"4","4","2500"
"5","5","1500"
"6","6","1000"
"7","8","750"
"9","10","500"
"11","15","400"
"16","20","300"
"21","25","250"
"26","35","200"
"36","50","150"
"51","75","125"
"76","100","100"
"101","125","80"
"126","150","60"
"151","200","50"
"201","250","40"
"251","300","35"
"301","400","30"
"401","500","25"
"501","700","20"
"701","900","15"
"901","1400","12"
"1401","1900","10"
"1901","2400","9"
"2401","3400","8"
"3401","5400","7"
"5401","8400","6"
"8401","14425","5"
