"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,0,0,32.9,"Carlos Martinez","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,7.33333333333333,0,0,0,6,0,0
2,2,0,0,28.15,"Madison Bumgarner","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,7,0,0,3,6,0,0
3,1,0,0,25,"Eduardo Nunez","SF",NA,"3B/OF",6,1,0,1,2,4,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,0,0,24,"AJ Pollock","ARI",NA,"OF",1,2,1,2,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,0,0,24,"Logan Morrison","TB",NA,"1B",6,1,1,3,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4,0,0,23,"Randal Grichuk","STL",NA,"OF",8,1,1,3,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5,0,0,21,"Kevin Kiermaier","TB",NA,"OF",2,2,0,0,1,3,1,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,6,0,0,21,"Willson Contreras","CHC",NA,"C",7,1,1,3,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,7,0,0,21,"Evan Longoria","TB",NA,"3B",3,1,1,3,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3,0,0,20.95,"Chris Archer","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,7,0,0,2,7,1,0
11,8,0,0,18,"Aledmys Diaz","STL",NA,"SS",2,0,0,0,2,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,9,0,0,18,"Jeff Mathis","ARI",NA,"C",8,1,0,0,0,4,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,4,0,0,17.85,"Jon Lester","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5,0,0,1,7,2,0
14,10,0,0,13,"Chase Headley","NYY",NA,"3B",7,2,0,0,0,4,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,11,0,0,12,"Joe Panik","SF",NA,"2B",8,1,0,1,0,3,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,5,0,0,11.65,"Zack Greinke","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,0,0,2,4,2,0
17,12,0,0,11,"Starlin Castro","NYY",NA,"2B",6,1,0,0,0,4,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
