"Player","Pos","Team","Opp","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Madison Bumgarner","P","SF","@ ARI","Greinke, R 4.37","L",2.73,0,0,6.2,9.7,1.02,NA,11200,41.4,21.6,17.37,17.37,"%",44,1.6,28.15,2.5
"Jon Lester","P","CHC","@ STL","Martinez, R 3.04","L",2.32,0,0,6,8.6,1,NA,10600,47.6,20.5,22.4,22.4,"%",39,2.1,17.85,1.7
"Chris Archer","P","TB","vs NYY","Tanaka, R 3.11","R",4.02,0,0,6.1,10.5,1.24,NA,9200,41.4,18.9,22.11,22.11,"%",49,2.4,20.95,2.3
"Masahiro Tanaka","P","NYY","@ TB","Archer, R 4.02","R",3.11,0,0,6.4,7.5,1.08,NA,8800,36.8,18.3,19.25,19.25,"%",52,2.2,-8,NA
"Carlos Martinez","P","STL","vs CHC","Lester, L 2.32","R",3.04,0,0,5.9,8.1,1.22,NA,8300,39.6,17.3,19.84,19.84,"%",43,2.4,32.9,4
"Zack Greinke","P","ARI","vs SF","Bumgarner, L 2.73","R",4.37,0,0,5.9,7.6,1.25,NA,7700,36.8,15.1,12.09,12.09,"%",18,1.6,11.65,1.5
"Kris Bryant","3B/OF","CHC","@ STL","Martinez, R 3.04","R",0.295,0.406,0.271,0,0,0,2,4800,28.8,10.1,10.1,10.1,"%",54,2.1,0,NA
"Anthony Rizzo","1B","CHC","@ STL","Martinez, R 3.04","L",0.281,0.384,0.245,0,0,0,3,4900,26.2,9,9.88,9.88,"%",55,2,3,0.6
"Paul Goldschmidt","1B","ARI","vs SF","Bumgarner, L 2.73","R",0.296,0.389,0.191,0,0,0,3,4600,26,9.8,10.05,10.05,"%",59,2.2,8,1.7
"Gary Sanchez","C","NYY","@ TB","Archer, R 4.02","R",0.299,0.427,0.358,0,0,0,2,4500,28.1,10.4,7.93,7.93,"%",51,1.8,0,NA
"Buster Posey","1B/C","SF","@ ARI","Greinke, R 4.37","R",0.287,0.346,0.144,0,0,0,4,4400,24.5,7.6,10.62,10.62,"%",54,2.4,2,0.5
"Kyle Schwarber","C/OF","CHC","@ STL","Martinez, R 3.04","L",0,0.144,0,0,0,0,1,4300,10.5,1,8.45,8.45,"%",0,2,10,2.3
"Hunter Pence","OF","SF","@ ARI","Greinke, R 4.37","R",0.284,0.346,0.154,0,0,0,3,4300,23.1,7.4,9.38,9.38,"%",54,2.2,5,1.2
"Brandon Belt","1B","SF","@ ARI","Greinke, R 4.37","L",0.27,0.371,0.193,0,0,0,2,4200,24.2,7.6,9.79,9.79,"%",53,2.3,4,1
"Dexter Fowler","OF","STL","vs CHC","Lester, L 2.32","B",0.268,0.366,0.172,0,0,0,1,4100,21.1,8.4,7.23,7.23,"%",59,1.8,7,1.7
"Eduardo Nunez","3B/SS","SF","@ ARI","Greinke, R 4.37","R",0.286,0.327,0.144,0,0,0,6,4100,23.6,8.3,7.41,7.41,"%",51,1.8,25,6.1
"Matt Carpenter","1B/3B","STL","vs CHC","Lester, L 2.32","L",0.271,0.377,0.235,0,0,0,3,4000,23.6,8.5,6.85,6.85,"%",51,1.7,5,1.3
"Ben Zobrist","2B/OF","CHC","@ STL","Martinez, R 3.04","B",0.263,0.356,0.172,0,0,0,4,4000,22,7.9,7.79,7.79,"%",55,1.9,4,1
"Evan Longoria","3B","TB","vs NYY","Tanaka, R 3.11","R",0.277,0.356,0.25,0,0,0,3,4000,22,8.3,6.55,6.55,"%",53,1.6,21,5.3
"Denard Span","OF","SF","@ ARI","Greinke, R 4.37","L",0.266,0.316,0.119,0,0,0,1,4000,23,7.2,9.38,9.38,"%",53,2.3,6,1.5
"Joe Panik","2B","SF","@ ARI","Greinke, R 4.37","L",0.244,0.31,0.141,0,0,0,8,3900,18.4,6.9,5.21,5.21,"%",52,1.3,12,3.1
"Aledmys Diaz","SS","STL","vs CHC","Lester, L 2.32","R",0.297,0.373,0.212,0,0,0,2,3800,21.2,8.4,6.75,6.75,"%",57,1.8,18,4.7
"Stephen Piscotty","OF","STL","vs CHC","Lester, L 2.32","R",0.272,0.347,0.185,0,0,0,6,3800,20,8,5.26,5.26,"%",54,1.4,9,2.4
"A.J. Pollock","OF","ARI","vs SF","Bumgarner, L 2.73","R",0.244,0.32,0.146,0,0,0,1,3800,24.8,8.3,8.24,8.24,"%",50,2.2,24,6.3
"Matt Holliday","1B/OF","NYY","@ TB","Archer, R 4.02","R",0.247,0.338,0.215,0,0,0,4,3800,23,7.1,6.83,6.83,"%",43,1.8,0,NA
"Javier Baez","2B/3B","CHC","@ STL","Martinez, R 3.04","R",0.28,0.326,0.149,0,0,0,9,3700,16.6,5.8,2.97,2.97,"%",41,0.8,3,0.8
"Brett Gardner","OF","NYY","@ TB","Archer, R 4.02","L",0.261,0.322,0.101,0,0,0,1,3700,19,7,6.53,6.53,"%",55,1.8,3,0.8
"Mallex Smith","OF","TB","vs NYY","Tanaka, R 3.11","L",0.238,0.3,0.127,0,0,0,8,3700,16.3,5.8,3.06,3.06,"%",43,0.8,3,0.8
"Jake Lamb","3B","ARI","vs SF","Bumgarner, L 2.73","L",0.248,0.355,0.259,0,0,0,4,3700,22.7,7.9,7.45,7.45,"%",52,2,0,NA
"Brandon Crawford","SS","SF","@ ARI","Greinke, R 4.37","L",0.274,0.329,0.156,0,0,0,5,3700,22.5,7.1,7.57,7.57,"%",48,2,10,2.7
"Randal Grichuk","OF","STL","vs CHC","Lester, L 2.32","R",0.242,0.328,0.242,0,0,0,8,3600,18,7,3.58,3.58,"%",49,1,23,6.4
"Brad Miller","SS","TB","vs NYY","Tanaka, R 3.11","L",0.239,0.332,0.239,0,0,0,4,3600,21,7.4,6,6,"%",49,1.7,8,2.2
"Jacoby Ellsbury","OF","NYY","@ TB","Archer, R 4.02","L",0.264,0.31,0.111,0,0,0,5,3600,18.8,7,5.87,5.87,"%",54,1.6,2,0.6
"Addison Russell","2B/SS","CHC","@ STL","Martinez, R 3.04","R",0.23,0.31,0.171,0,0,0,5,3500,20,6.8,6.13,6.13,"%",49,1.8,3,0.9
"Steven Souza Jr.","OF","TB","vs NYY","Tanaka, R 3.11","R",0.247,0.311,0.163,0,0,0,5,3500,20.3,6.6,5.08,5.08,"%",42,1.5,2,0.6
"Aaron Judge","OF","NYY","@ TB","Archer, R 4.02","R",0.179,0.27,0.167,0,0,0,8,3500,15.1,5.1,3.44,3.44,"%",43,1,7,2
"David Peralta","OF","ARI","vs SF","Bumgarner, L 2.73","L",0.251,0.309,0.181,0,0,0,7,3500,17.2,6.4,4.62,4.62,"%",51,1.3,0,NA
"Yasmany Tomas","OF","ARI","vs SF","Bumgarner, L 2.73","R",0.272,0.348,0.236,0,0,0,5,3500,24.8,7.8,6.5,6.5,"%",41,1.9,0,NA
"Jedd Gyorko","2B/3B","STL","vs CHC","Lester, L 2.32","R",0.242,0.337,0.242,0,0,0,7,3400,19,6.3,3.82,3.82,"%",40,1.1,0,NA
"Willson Contreras","C/OF","CHC","@ STL","Martinez, R 3.04","R",0.288,0.369,0.202,0,0,0,7,3400,16.6,6.7,4.56,4.56,"%",55,1.3,21,6.2
