Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
22.8,Antonio,1.0,NYJ@Pit 01:00PM ET,7545535,Brown,Antonio Brown,Antonio Brown (7545535),NYJ,WR,26.78,24.3,24.3,24.17,23.0294488557,22.7766951342,1.0,0.319444444444,9800,PIT,1.0,0.0
4.9,Julio,0.0,Atl@Den 04:05PM ET,7545548,Jones,Julio Jones,Julio Jones (7545548),DEN,WR,18.49,23.9,23.9,18.17,20.805815506,20.2659426274,1.0,0.251798561151,9600,ATL,1.0,0.0
9.0,A.J.,1.0,Cin@Dal 04:25PM ET,7545557,Green,A.J. Green,A.J. Green (7545557),DAL,WR,21.0,20.5,20.5,21.89,19.053975102,18.7816614725,1.0,0.304054054054,8900,CIN,2.0,0.0
16.6,Odell,1.0,NYG@GB 08:30PM ET,7545594,Beckham,Odell Beckham,Odell Beckham Jr. (7545594),GB,WR,19.41,18.8,18.8,18.74,17.5094830943,17.2653723153,1.0,0.26582278481,8500,NYG,2.0,0.0
13.8,Jordy,1.0,NYG@GB 08:30PM ET,7545588,Nelson,Jordy Nelson,Jordy Nelson (7545588),NYG,WR,21.92,19.0,19.0,19.28,18.2370766048,18.0758512302,1.0,0.271844660194,7900,GB,2.0,0.0
12.7,Alshon,1.0,Chi@Ind 01:00PM ET,7545488,Jeffery,Alshon Jeffery,Alshon Jeffery (7545488),IND,WR,15.1,16.4,16.4,16.07,14.8436819903,14.5627447894,2.0,0.183098591549,7800,CHI,4.0,0.0
16.6,DeAndre,0.0,Hou@Min 01:00PM ET,7545523,Hopkins,DeAndre Hopkins,DeAndre Hopkins (7545523),MIN,WR,14.91,18.2,18.2,15.75,16.0387491608,15.6584242162,2.0,0.218309859155,7700,HOU,3.0,0.0
0.0,Dez,0.0,Cin@Dal 04:25PM ET,7545556,Bryant,Dez Bryant,Dez Bryant (7545556),CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.176470588235,7700,DAL,0.0,0.0
17.9,Aaron,1.0,NYG@GB 08:30PM ET,7545358,Rodgers,Aaron Rodgers,Aaron Rodgers (7545358),NYG,QB,22.81,23.8,23.8,20.74,21.7521374915,21.3777078562,0.0,0.0,7700,GB,1.0,0.0
13.7,Marvin,1.0,Phi@Det 01:00PM ET,7545478,Jones,Marvin Jones,Marvin Jones Jr. (7545478),PHI,WR,18.59,17.8,17.8,15.47,16.628052372,16.4048100222,1.0,0.25,7600,DET,3.0,0.0
32.6,Tom,1.0,NE@Cle 01:00PM ET,7545300,Brady,Tom Brady,Tom Brady (7545300),CLE,QB,21.63,24.2,24.2,23.22,21.7503314735,21.3115932099,0.0,0.0,7500,NE,1.0,0.0
24.4,Le'Veon,0.0,NYJ@Pit 01:00PM ET,7545420,Bell,Le'Veon Bell,Le'Veon Bell (7545420),NYJ,RB,21.79,21.2,21.2,20.11,19.7217363651,19.4428305059,6.0,0.0416666666667,7500,PIT,1.0,0.0
36.1,T.Y.,1.0,Chi@Ind 01:00PM ET,7545487,Hilton,T.Y. Hilton,T.Y. Hilton (7545487),CHI,WR,20.46,19.3,19.3,17.67,18.1005977368,17.8698028788,1.0,0.27485380117,7400,IND,2.0,0.0
25.2,Andrew,1.0,Chi@Ind 01:00PM ET,7545313,Luck,Andrew Luck,Andrew Luck (7545313),CHI,QB,21.08,23.1,23.1,19.51,20.8634772838,20.4607568667,0.0,0.0,7300,IND,1.0,0.0
21.7,DeMarco,1.0,Ten@Mia 01:00PM ET,7545391,Murray,DeMarco Murray,DeMarco Murray (7545391),MIA,RB,19.9,20.0,20.0,16.86,18.4511105156,18.1636254859,3.0,0.142857142857,7200,TEN,1.0,0.0
33.2,Ben,1.0,NYJ@Pit 01:00PM ET,7545330,Roethlisberger,Ben Roethlisberger,Ben Roethlisberger (7545330),NYJ,QB,20.22,21.1,21.1,20.3,19.2839149635,18.9518768823,0.0,0.0,7200,PIT,2.0,0.0
30.8,Amari,0.0,SD@Oak 04:25PM ET,7545585,Cooper,Amari Cooper,Amari Cooper (7545585),SD,WR,16.97,16.5,16.5,15.55,15.3520030551,15.1353309522,1.0,0.254658385093,7200,OAK,4.0,0.0
28.4,Brandon,1.0,NYJ@Pit 01:00PM ET,7545531,Marshall,Brandon Marshall,Brandon Marshall (7545531),PIT,WR,17.85,20.8,20.8,16.78,18.5203481315,18.1157498171,1.0,0.248366013072,7100,NYJ,2.0,0.0
15.0,Matt,1.0,Atl@Den 04:05PM ET,7545336,Ryan,Matt Ryan,Matt Ryan (7545336),DEN,QB,17.0,18.5,18.5,14.46,16.7365163072,16.4183609115,0.0,0.0,7100,ATL,3.0,0.0
6.0,Jarvis,1.0,Ten@Mia 01:00PM ET,7545503,Landry,Jarvis Landry,Jarvis Landry (7545503),TEN,WR,20.47,17.3,17.3,16.82,16.7254844398,16.597657258,1.0,0.345864661654,7000,MIA,3.0,0.0
14.7,Melvin,1.0,SD@Oak 04:25PM ET,7545453,Gordon,Melvin Gordon,Melvin Gordon (7545453),OAK,RB,17.47,13.4,13.4,17.17,13.3344344007,13.2953417907,4.0,0.115646258503,7000,SD,3.0,0.0
9.2,C.J.,1.0,Atl@Den 04:05PM ET,7545426,Anderson,C.J. Anderson,C.J. Anderson (7545426),ATL,RB,17.57,16.7,16.7,16.69,15.63074871,15.426082701,3.0,0.116279069767,6900,DEN,2.0,0.0
