"Place_lo","Place_hi","Payout"
"1","1","500"
"2","2","250"
"3","3","150"
"4","4","125"
"5","5","100"
"6","6","75"
"7","8","60"
"9","13","50"
"14","20","40"
"21","30","30"
"31","45","20"
"46","70","10"
"71","120","7.5"
"121","195","5"
"196","345","2.5"
"346","750","2"
"751","1660","1.5"
