Place_lo,Place_hi,Payout
1,1,250
2,2,175
3,3,125
4,4,75
5,5,50
6,6,25
7,7,20
8,8,15
9,9,12
10,10,10
11,15,8
16,20,6
21,30,5
31,40,4
41,50,3
51,100,2.5
101,250,2
251,400,1.5
401,700,1.25
701,1000,1
1001,2000,0.75
2001,3956,0.5
