Place_lo,Place_hi,Payout
1,1,7500
2,2,4000
3,3,2500
4,4,1500
5,5,1000
6,6,750
7,8,500
9,10,350
11,15,250
16,25,200
26,35,150
36,45,120
46,60,100
61,80,80
81,100,70
101,125,60
126,175,50
176,225,40
226,325,30
326,500,25
501,775,20
776,1250,15
1251,2050,12
2051,3250,10
3251,5050,8
5051,8150,6
