"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11700,"CLE@ATL 11/30/2017 07:30PM ET",56.167,"CLE","ATL",55.83,56.5,59
"SF/PF","Giannis Antetokounmpo",11100,"MIL@POR 11/30/2017 10:00PM ET",55.236,"MIL","POR",54.92,52.8,50.75
"C","Joel Embiid",9500,"PHI@BOS 11/30/2017 07:30PM ET",45.559,"PHI","BOS",0,0,0
"PG/SF","Ben Simmons",9300,"PHI@BOS 11/30/2017 07:30PM ET",45.736,"PHI","BOS",47.77,48.6,40.5
"C","Nikola Jokic",9100,"CHI@DEN 11/30/2017 09:00PM ET",40.925,"DEN","CHI",42.72,47.3,19
"PG","Damian Lillard",8500,"MIL@POR 11/30/2017 10:00PM ET",44.381,"POR","MIL",44.37,43.2,35.75
"PF/C","Blake Griffin",8500,"UTA@LAC 11/30/2017 10:30PM ET",43.763,"LAC","UTA",0,0,0
"PG","Kyrie Irving",8400,"PHI@BOS 11/30/2017 07:30PM ET",38.452,"BOS","PHI",40.79,42,47
"PF/C","Kevin Love",8000,"CLE@ATL 11/30/2017 07:30PM ET",37.286,"CLE","ATL",41.68,39.7,49
"PG","Dennis Schroder",7500,"CLE@ATL 11/30/2017 07:30PM ET",35.014,"ATL","CLE",36.19,37.8,36.5
"C","Rudy Gobert",7500,"UTA@LAC 11/30/2017 10:30PM ET",35.042,"UTA","LAC",0,0,0
"PG/SG","Lou Williams",7300,"UTA@LAC 11/30/2017 10:30PM ET",30.092,"LAC","UTA",41.52,38.4,0
"C","DeAndre Jordan",7100,"UTA@LAC 11/30/2017 10:30PM ET",31.632,"LAC","UTA",31.77,33.5,31
"PG/SG","Donovan Mitchell",6900,"UTA@LAC 11/30/2017 10:30PM ET",27.238,"UTA","LAC",34.79,33.6,36.5
"PF/C","Al Horford",6800,"PHI@BOS 11/30/2017 07:30PM ET",34.163,"BOS","PHI",35.24,35.6,42.5
"PG/SG","Eric Bledsoe",6800,"MIL@POR 11/30/2017 10:00PM ET",31.875,"MIL","POR",34.94,33.9,37.75
"PG/SG","CJ McCollum",6700,"MIL@POR 11/30/2017 10:00PM ET",33.913,"POR","MIL",31.81,32.8,31.5
"C","Jusuf Nurkic",6700,"MIL@POR 11/30/2017 10:00PM ET",30.595,"POR","MIL",32.85,35.1,46.75
"PG","Isaiah Thomas",6600,"CLE@ATL 11/30/2017 07:30PM ET",0,"CLE","ATL",0,0,0
"PF/C","Derrick Favors",6600,"UTA@LAC 11/30/2017 10:30PM ET",26.464,"UTA","LAC",31.66,30.4,35.5
"SG/SF","Khris Middleton",6500,"MIL@POR 11/30/2017 10:00PM ET",34.895,"MIL","POR",32,32.1,43.75
"PF/C","Paul Millsap",6500,"CHI@DEN 11/30/2017 09:00PM ET",31.828,"DEN","CHI",0,0,0
"SG/SF","Will Barton",6500,"CHI@DEN 11/30/2017 09:00PM ET",27.838,"DEN","CHI",31.51,31.3,51.5
"PF","Lauri Markkanen",6400,"CHI@DEN 11/30/2017 09:00PM ET",30.092,"CHI","DEN",31.32,31.7,33.25
"SF/PF","Robert Covington",6200,"PHI@BOS 11/30/2017 07:30PM ET",30.632,"PHI","BOS",30.28,30.5,20.25
"SG/SF","Jaylen Brown",6100,"PHI@BOS 11/30/2017 07:30PM ET",28.357,"BOS","PHI",27.84,28.3,8.75
"PG/SG","Kris Dunn",6000,"CHI@DEN 11/30/2017 09:00PM ET",27.033,"CHI","DEN",32.15,28.8,34.75
"SF/PF","Jayson Tatum",5900,"PHI@BOS 11/30/2017 07:30PM ET",26.239,"BOS","PHI",24.72,26.8,25.5
"SG/SF","Justin Holiday",5800,"CHI@DEN 11/30/2017 09:00PM ET",27.806,"CHI","DEN",27.26,25.4,26.25
"SG/SF","Denzel Valentine",5800,"CHI@DEN 11/30/2017 09:00PM ET",24.395,"CHI","DEN",27.14,28.3,23.75
"PG","Ricky Rubio",5700,"UTA@LAC 11/30/2017 10:30PM ET",27.888,"UTA","LAC",29.66,30.4,31.25
"SG/SF","Rodney Hood",5700,"UTA@LAC 11/30/2017 10:30PM ET",25.986,"UTA","LAC",0,0,0
"SF","Danilo Gallinari",5700,"UTA@LAC 11/30/2017 10:30PM ET",24.806,"LAC","UTA",0,0,0
"PG/SG","Dwyane Wade",5600,"CLE@ATL 11/30/2017 07:30PM ET",24.188,"CLE","ATL",27.95,27.9,38.5
"SG","Gary Harris",5600,"CHI@DEN 11/30/2017 09:00PM ET",26.153,"DEN","CHI",26.73,28.6,39.25
"PF/C","John Collins",5500,"CLE@ATL 11/30/2017 07:30PM ET",24.025,"ATL","CLE",30.4,31.9,27.75
"PG/SG","Austin Rivers",5500,"UTA@LAC 11/30/2017 10:30PM ET",24.316,"LAC","UTA",31.05,27.7,36.5
"SG/SF","Kent Bazemore",5400,"CLE@ATL 11/30/2017 07:30PM ET",27.5,"ATL","CLE",28.53,25.2,23
"SG/SF","Marcus Smart",5200,"PHI@BOS 11/30/2017 07:30PM ET",26.238,"BOS","PHI",27.38,27.6,19
"C","Dewayne Dedmon",5100,"CLE@ATL 11/30/2017 07:30PM ET",25.038,"ATL","CLE",0,0,0
"SF/PF","Jabari Parker",5100,"MIL@POR 11/30/2017 10:00PM ET",0,"MIL","POR",0,0,0
"SG/SF","JJ Redick",5000,"PHI@BOS 11/30/2017 07:30PM ET",26.809,"PHI","BOS",26.72,27,33.25
"PG/SG","Malcolm Brogdon",5000,"MIL@POR 11/30/2017 10:00PM ET",25,"MIL","POR",20.3,19.9,16.75
"PG/SG","Jamal Murray",5000,"CHI@DEN 11/30/2017 09:00PM ET",22.5,"DEN","CHI",24.55,25.5,10.5
"PF","Bobby Portis",5000,"CHI@DEN 11/30/2017 09:00PM ET",25.545,"CHI","DEN",20.93,20.7,15.5
"PF/C","Nikola Mirotic",5000,"CHI@DEN 11/30/2017 09:00PM ET",0,"CHI","DEN",0,0,0
"PG/SG","Patrick Beverley",5000,"UTA@LAC 11/30/2017 10:30PM ET",25.977,"LAC","UTA",0,0,0
"PF/C","Dario Saric",4900,"PHI@BOS 11/30/2017 07:30PM ET",22.408,"PHI","BOS",27.52,28.9,38.5
"C","Robin Lopez",4900,"CHI@DEN 11/30/2017 09:00PM ET",24.224,"CHI","DEN",23.48,22.6,29
"SG/SF","Joe Ingles",4900,"UTA@LAC 11/30/2017 10:30PM ET",24.369,"UTA","LAC",29.05,26.9,24
"SG/SF","Taurean Prince",4800,"CLE@ATL 11/30/2017 07:30PM ET",26.063,"ATL","CLE",25.84,25.6,20.5
"SF/PF","Wilson Chandler",4800,"CHI@DEN 11/30/2017 09:00PM ET",19.792,"DEN","CHI",0,0,0
"PG","TJ McConnell",4700,"PHI@BOS 11/30/2017 07:30PM ET",22.329,"PHI","BOS",0,0,0
"SF/PF","Marcus Morris",4700,"PHI@BOS 11/30/2017 07:30PM ET",23.854,"BOS","PHI",23.5,20.3,29.25
"C","John Henson",4700,"MIL@POR 11/30/2017 10:00PM ET",20.986,"MIL","POR",25.23,23.1,29.5
"PG/SG","Zach LaVine",4700,"CHI@DEN 11/30/2017 09:00PM ET",0,"CHI","DEN",0,0,0
"SF/PF","Al-Farouq Aminu",4600,"MIL@POR 11/30/2017 10:00PM ET",24.028,"POR","MIL",17.05,16.5,11.75
"PG/SG","Jerian Grant",4600,"CHI@DEN 11/30/2017 09:00PM ET",21.947,"CHI","DEN",18.3,17.4,26.5
"SF/PF","Wesley Johnson",4400,"UTA@LAC 11/30/2017 10:30PM ET",17.921,"LAC","UTA",24.67,23.4,21.25
"PF/C","Kenneth Faried",4300,"CHI@DEN 11/30/2017 09:00PM ET",11.25,"DEN","CHI",22.04,22.6,32.75
"SG","Marco Belinelli",4200,"CLE@ATL 11/30/2017 07:30PM ET",21.663,"ATL","CLE",18.43,21.3,32
"SG/SF","JR Smith",4100,"CLE@ATL 11/30/2017 07:30PM ET",17.369,"CLE","ATL",20.1,20.7,13.75
"PG/SG","Terry Rozier",4100,"PHI@BOS 11/30/2017 07:30PM ET",20.92,"BOS","PHI",16.96,16.9,12.5
"PF/C","Richaun Holmes",4000,"PHI@BOS 11/30/2017 07:30PM ET",10.219,"PHI","BOS",21.77,18.1,17.75
"PF/C","Noah Vonleh",4000,"MIL@POR 11/30/2017 10:00PM ET",18.018,"POR","MIL",17.97,17.8,11
"PG/SG","David Nwaba",4000,"CHI@DEN 11/30/2017 09:00PM ET",18.313,"CHI","DEN",13.14,12.2,0
"SF/PF","Jonas Jerebko",4000,"UTA@LAC 11/30/2017 10:30PM ET",12.797,"UTA","LAC",17.11,17.7,21.5
"PG/SG","Milos Teodosic",4000,"UTA@LAC 11/30/2017 10:30PM ET",13.125,"LAC","UTA",0,0,0
"SF/PF","Jae Crowder",3900,"CLE@ATL 11/30/2017 07:30PM ET",15.583,"CLE","ATL",17.27,18.5,23
"SG/SF","Evan Turner",3900,"MIL@POR 11/30/2017 10:00PM ET",18.238,"POR","MIL",16.14,14.8,19.25
"PG","Emmanuel Mudiay",3900,"CHI@DEN 11/30/2017 09:00PM ET",19.688,"DEN","CHI",18.43,16.7,18
"SG/SF","Thabo Sefolosha",3900,"UTA@LAC 11/30/2017 10:30PM ET",17.425,"UTA","LAC",20.57,18,20.5
"SF/PF","Jeff Green",3800,"CLE@ATL 11/30/2017 07:30PM ET",17.964,"CLE","ATL",22.15,18.3,22.25
"PG","Derrick Rose",3800,"CLE@ATL 11/30/2017 07:30PM ET",19.786,"CLE","ATL",0,0,0
"PF/C","Tristan Thompson",3800,"CLE@ATL 11/30/2017 07:30PM ET",13.781,"CLE","ATL",0,0,0
"PG/SG","Markelle Fultz",3800,"PHI@BOS 11/30/2017 07:30PM ET",12.438,"PHI","BOS",0,0,0
"PF/C","Amir Johnson",3800,"PHI@BOS 11/30/2017 07:30PM ET",15.588,"PHI","BOS",22.46,22.2,25
"SG/SF","Tony Snell",3800,"MIL@POR 11/30/2017 10:00PM ET",17.645,"MIL","POR",18.37,16.3,8
"PF/C","Thon Maker",3800,"MIL@POR 11/30/2017 10:00PM ET",13.237,"MIL","POR",14.77,14.2,6.5
"SF/PF","Luke Babbitt",3700,"CLE@ATL 11/30/2017 07:30PM ET",13.912,"ATL","CLE",15.91,16,12
"SF/PF","Ersan Ilyasova",3700,"CLE@ATL 11/30/2017 07:30PM ET",13.611,"ATL","CLE",17.25,16,37.25
"SF/PF","Juancho Hernangomez",3700,"CHI@DEN 11/30/2017 09:00PM ET",9.833,"DEN","CHI",0,21.4,0
"SG/SF","Kyle Korver",3600,"CLE@ATL 11/30/2017 07:30PM ET",17.167,"CLE","ATL",18.48,18.1,13.75
"PG/SG","Shabazz Napier",3600,"MIL@POR 11/30/2017 10:00PM ET",13.897,"POR","MIL",12.58,12.7,10.25
"PG/SG","Alec Burks",3600,"UTA@LAC 11/30/2017 10:30PM ET",13.875,"UTA","LAC",19.89,20.6,53.25
"SG/SF","Joe Johnson",3600,"UTA@LAC 11/30/2017 10:30PM ET",11.656,"UTA","LAC",0,0,0
"PG/SG","Iman Shumpert",3500,"CLE@ATL 11/30/2017 07:30PM ET",12.192,"CLE","ATL",0,0,0
"C","Mike Muscala",3500,"CLE@ATL 11/30/2017 07:30PM ET",16.333,"ATL","CLE",0,0,0
"C","Aron Baynes",3500,"PHI@BOS 11/30/2017 07:30PM ET",15.523,"BOS","PHI",15.09,16,10.5
"SF/PF","Maurice Harkless",3500,"MIL@POR 11/30/2017 10:00PM ET",14.333,"POR","MIL",0,8.9,5.5
