"Place_lo","Place_hi","Payout"
"1","1","1500"
"2","2","750"
"3","3","500"
"4","4","250"
"5","5","150"
"6","6","100"
"7","8","75"
"9","10","50"
"11","15","40"
"16","25","30"
"26","35","25"
"36","50","20"
"51","70","15"
"71","100","10"
"101","150","8"
"151","350","6"
"351","750","5"
"751","1750","4"
"1751","4000","3"
"4001","9250","2"
