"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,3800,113.157894736842,43,"Yasiel Puig","LAD",NA,"OF",7,3,2,4,1,3,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,2600,130.769230769231,34,"Geovany Soto","CHW",NA,"C",8,2,2,4,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3600,88.8888888888889,32,"Daniel Nava","PHI",NA,"OF",2,2,2,3,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,3100,103.225806451613,32,"Matt Davidson","CHW",NA,"1B/3B",7,3,1,3,0,3,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,3900,71.7948717948718,28,"Matt Kemp","ATL",NA,"OF",4,2,2,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6,3600,72.2222222222222,26,"JT Realmuto","MIA",NA,"C",6,2,1,2,0,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,3800,65.7894736842105,25,"David Peralta","ARI",NA,"OF",2,2,1,2,0,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8400,26.3095238095238,22.1,"Gio Gonzalez","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,6,0,0,0,7,1,1
9,2,8700,24.6551724137931,21.45,"Marcus Stroman","TOR",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6.33333333333333,0,0,1,6,2,0
10,3,8100,26.1728395061728,21.2,"Matt Harvey","NYM",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6.66666666666667,0,0,2,3,0,0
11,8,3600,58.3333333333333,21,"Mitch Haniger","SEA",NA,"OF",2,2,1,1,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,9,4300,48.8372093023256,21,"Corey Seager","LAD",NA,"SS",2,0,0,2,1,3,1,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,10,4300,48.8372093023256,21,"Adam Duvall","CIN",NA,"OF",4,2,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4,9200,22.5,20.7,"John Lackey","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,0,0,3,6,2,0
15,11,3600,55.5555555555556,20,"Kendrys Morales","TOR",NA,"1B",4,1,1,4,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,12,4100,48.780487804878,20,"Jake Lamb","ARI",NA,"3B",4,1,1,3,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,13,4400,45.4545454545455,20,"Kyle Schwarber","CHC",NA,"OF",1,1,1,3,0,4,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,5,6900,28.695652173913,19.8,"James Shields","CHW",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5.33333333333333,0,0,1,2,5,0
19,6,5100,38.5294117647059,19.65,"Antonio Senzatela","COL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,5,0,0,0,2,3,1
20,14,5200,36.5384615384615,19,"Paul Goldschmidt","ARI",NA,"1B",3,2,1,1,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,15,3500,54.2857142857143,19,"Ryan Zimmerman","WAS",NA,"1B",5,1,1,1,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,7,7200,25.6944444444444,18.5,"Brandon McCarthy","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,0,0,2,4,1,0
23,16,3700,45.9459459459459,17,"Jayson Werth","WAS",NA,"OF",7,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,17,3200,53.125,17,"Mike Moustakas","KC",NA,"3B",2,1,1,1,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,18,3400,50,17,"Salvador Perez","KC",NA,"C",5,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,8,6100,27.0491803278689,16.5,"Chase Anderson","MIL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,1,3,2,0
27,19,3400,47.0588235294118,16,"Ryon Healy","OAK",NA,"1B/3B",5,1,1,2,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,20,4500,35.5555555555556,16,"George Springer","HOU",NA,"OF",1,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,21,5100,31.3725490196078,16,"Nolan Arenado","COL",NA,"3B",4,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,22,3200,50,16,"Wilmer Flores","NYM",NA,"1B/3B",4,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,23,3200,50,16,"Hunter Renfroe","SD",NA,"OF",6,0,0,0,1,4,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,24,3100,51.6129032258064,16,"Marwin Gonzalez","HOU",NA,"3B/OF",2,1,1,1,0,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,25,2900,55.1724137931034,16,"Aaron Hill","SF",NA,"2B/3B",8,1,1,1,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,26,4300,37.2093023255814,16,"Wil Myers","SD",NA,"1B",3,1,1,2,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,9,8300,18.2530120481928,15.15,"Robbie Ray","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,5.66666666666667,0,0,3,3,3,0
36,27,2400,62.5,15,"Darwin Barney","TOR",NA,"2B/3B",9,1,0,1,0,3,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,10,4100,35.4878048780488,14.55,"Andrew Triggs","OAK",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5.66666666666667,0,0,0,4,3,0
38,28,2700,51.8518518518518,14,"Tyler Collins","DET",NA,"OF",6,1,1,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,29,3400,41.1764705882353,14,"Jorge Polanco","MIN",NA,"SS",7,0,0,2,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,30,4200,33.3333333333333,14,"Adam Eaton","WAS",NA,"OF",2,1,1,1,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,31,3700,37.8378378378378,14,"Mark Reynolds","COL",NA,"1B",7,1,1,1,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,32,3600,38.8888888888889,14,"Eugenio Suarez","CIN",NA,"3B",5,2,0,0,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,33,3100,45.1612903225806,14,"Kirk Nieuwenhuis","MIL",NA,"OF",7,1,1,1,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,34,2700,51.8518518518518,14,"Kike Hernandez","LAD",NA,"SS/OF",9,1,0,1,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,11,6300,20.7142857142857,13.05,"Tom Koehler","MIA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,0,0,1,4,3,0
46,35,4400,29.5454545454545,13,"Jean Segura","SEA",NA,"SS",1,0,0,1,1,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,36,2900,44.8275862068965,13,"Jason Castro","MIN",NA,"C",6,2,0,1,0,3,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,37,3600,36.1111111111111,13,"Steven Souza","TB",NA,"OF",5,0,0,0,0,4,1,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,12,6400,19.375,12.4,"Lance Lynn","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5.33333333333333,0,0,2,5,1,0
50,13,9200,13.0434782608696,12,"Jeff Samardzija","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,5.33333333333333,0,0,6,8,2,0
51,38,4300,27.906976744186,12,"Odubel Herrera","PHI",NA,"OF",3,1,0,0,0,3,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,39,4100,29.2682926829268,12,"Miguel Sano","MIN",NA,"3B",5,2,0,0,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,40,3100,38.7096774193548,12,"Jon Jay","CHC",NA,"OF",9,1,0,1,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,41,3800,31.5789473684211,12,"Max Kepler","MIN",NA,"OF",2,0,0,1,0,4,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,42,4200,28.5714285714286,12,"Buster Posey","SF",NA,"C/1B",4,0,0,1,0,4,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,43,3400,35.2941176470588,12,"Avisail Garcia","CHW",NA,"OF",6,2,0,1,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,44,3400,35.2941176470588,12,"Marcus Semien","OAK",NA,"SS",2,1,0,0,1,3,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,45,4100,29.2682926829268,12,"Aledmys Diaz","STL",NA,"SS",2,2,0,0,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,14,6200,19.1935483870968,11.9,"Yusmeiro Petit","LAA",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,0,0,0,1,0
60,15,4400,26.4772727272727,11.65,"Dan Altavilla","SEA",NA,"RP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,0,0,0,1,0,0
61,16,5900,18.728813559322,11.05,"Kyle Gibson","MIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,5,0,0,3,5,2,0
62,46,3500,31.4285714285714,11,"Eddie Rosario","MIN",NA,"OF",8,0,0,1,1,2,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,47,3900,28.2051282051282,11,"Khris Davis","OAK",NA,"OF",4,1,0,1,0,2,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,48,4200,26.1904761904762,11,"AJ Pollock","ARI",NA,"OF",1,1,0,2,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,49,4400,22.7272727272727,10,"Christian Yelich","MIA",NA,"OF",3,1,0,0,0,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,50,4500,22.2222222222222,10,"Brian Dozier","MIN",NA,"2B",1,1,0,0,1,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,51,3700,27.027027027027,10,"Tim Anderson","CHW",NA,"SS",2,1,0,1,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,52,3500,28.5714285714286,10,"Dustin Garneau","COL",NA,"C",8,0,0,0,0,2,1,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,53,3500,28.5714285714286,10,"Neil Walker","NYM",NA,"2B",6,1,0,0,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
