Name_Team,2017-04-02,2017-04-03,2017-04-04,2017-04-05
Mark Trumbo_BAL,NA,21.0,NA,0.0
Jackie Bradley Jr._BOS,NA,12.0,NA,15.0
Yoenis Cespedes_NYM,NA,4.0,NA,5.0
Shin-Soo Choo_TEX,NA,3.0,3.0,8.0
Odubel Herrera_PHI,NA,9.0,NA,8.0
Maikel Franco_PHI,NA,7.0,NA,3.0
Jean Segura_SEA,NA,6.0,0.0,19.0
Dee Gordon_MIA,NA,0.0,NA,12.0
Christian Yelich_MIA,NA,0.0,NA,8.0
Todd Frazier_CWS,NA,NA,NA,NA
Kendrys Morales_TOR,NA,4.0,NA,3.0
Dustin Pedroia_BOS,NA,7.0,NA,5.0
Jonathan Lucroy_TEX,NA,0.0,NA,5.0
Billy Hamilton_CIN,NA,10.0,NA,7.0
Adam Eaton_WSH,NA,16.0,NA,11.0
Miguel Sano_MIN,NA,20.0,NA,20.0
Jose Abreu_CWS,NA,NA,NA,NA
Justin Upton_DET,NA,NA,NA,NA
Devon Travis_TOR,NA,6.0,NA,5.0
Jose Reyes_NYM,NA,4.0,NA,0.0
Carlos Gomez_TEX,NA,16.0,0.0,4.0
Adam Duvall_CIN,NA,8.0,NA,7.0
Kyle Seager_SEA,NA,4.0,5.0,8.0
Yasiel Puig_LAD,NA,11.0,0.0,17.0
Lorenzo Cain_KC,NA,9.0,NA,7.0
Melky Cabrera_CWS,NA,NA,NA,NA
Russell Martin_TOR,NA,4.0,NA,2.0
Jonathan Schoop_BAL,NA,0.0,NA,5.0
Keon Broxton_MIL,NA,7.0,2.0,NA
Freddie Freeman_ATL,NA,14.0,NA,2.0
Mike Napoli_TEX,NA,4.0,9.0,0.0
Elvis Andrus_TEX,NA,13.0,2.0,17.0
Tyler Naquin_CLE,NA,5.0,NA,NA
Steve Pearce_TOR,NA,11.0,NA,0.0
Kevin Pillar_TOR,NA,7.0,NA,3.0
Josh Harrison_PIT,NA,7.0,NA,3.0
