Actual,FirstName,FreqInd,GameInfo,ID,LastName,Name,Name...ID,Name.Clean,Opponent,Position,Projection,Projection_dfn,Projection_dfn_perturbed,Projection_fc,Projection_reg,Projection_reg_split,RankTargets,RollingTargetPctg,Salary,Team,TierRank,ValueWR
12.1,Andrew,0.0,Ind@Den 04:25PM ET,7395356,Luck,Andrew Luck,Andrew Luck (7395356),Andrew Luck,DEN,QB,17.83,17.5,17.5,16.08,18.4746020009,,0.0,0.0,7700,IND,7.0,0.0
16.3,Eli,0.0,NO@NYG 01:00PM ET,7395309,Manning,Eli Manning,Eli Manning (7395309),Eli Manning,NO,QB,22.35,22.2,22.2,21.96,23.2867606524,,0.0,0.0,7600,NYG,2.0,0.0
17.3,David,1.0,TB@Ari 04:05PM ET,7395452,Johnson,David Johnson,David Johnson (7395452),David Johnson,TB,RB,20.28,18.5,18.5,21.19,20.3272562381,,3.0,0.153846153846,7600,ARI,1.0,0.0
12.1,Amari,1.0,Atl@Oak 04:25PM ET,7395616,Cooper,Amari Cooper,Amari Cooper (7395616),Amari Cooper,ATL,WR,16.16,16.0,16.0,19.01,16.8121480372,,1.0,0.317073170732,7600,OAK,4.0,0.0
21.8,Ben,0.0,Cin@Pit 01:00PM ET,7395302,Roethlisberger,Ben Roethlisberger,Ben Roethlisberger (7395302),Ben Roethlisberger,CIN,QB,24.15,18.2,18.2,17.32,22.3358533043,,0.0,0.0,7500,PIT,6.0,0.0
8.0,Todd,0.0,Sea@LA 04:05PM ET,7395444,Gurley,Todd Gurley,Todd Gurley (7395444),Todd Gurley,SEA,RB,14.26,13.9,13.9,16.86,14.7286222126,,6.0,0.0588235294118,7500,LA,3.0,0.0
0.0,Keenan,0.0,Jax@SD 04:25PM ET,7395603,Allen,Keenan Allen,Keenan Allen (7395603),Keenan Allen,JAX,WR,0.0,0.0,0.0,0.0,0.0,,2.0,0.205128205128,7500,SD,0.0,0.0
18.3,Jordy,1.0,GB@Min 08:30PM ET,7395631,Nelson,Jordy Nelson,Jordy Nelson (7395631),Jordy Nelson,MIN,WR,17.52,15.7,15.7,16.93,17.4229975948,,2.0,0.243243243243,7500,GB,4.0,0.0
11.6,Russell,0.0,Sea@LA 04:05PM ET,7395335,Wilson,Russell Wilson,Russell Wilson (7395335),Russell Wilson,LA,QB,20.49,19.2,19.2,18.97,20.7860225707,,10.0,0.0,7400,SEA,5.0,0.0
9.3,Randall,0.0,GB@Min 08:30PM ET,7395634,Cobb,Randall Cobb,Randall Cobb (7395634),Randall Cobb,MIN,WR,16.67,14.4,14.4,14.69,16.3148420793,,1.0,0.27027027027,7400,GB,4.0,0.0
15.7,Ezekiel,0.0,Dal@Was 01:00PM ET,7395380,Elliott,Ezekiel Elliott,Ezekiel Elliott (7395380),Ezekiel Elliott,WAS,RB,16.07,16.4,16.4,20.71,16.9573572086,,5.0,0.0444444444444,7300,DAL,2.0,0.0
16.5,Matthew,0.0,Ten@Det 01:00PM ET,7395326,Stafford,Matthew Stafford,Matthew Stafford (7395326),Matthew Stafford,TEN,QB,24.55,22.0,22.0,20.28,24.4142141865,,0.0,0.0,7300,DET,2.0,0.0
11.7,Lamar,1.0,KC@Hou 01:00PM ET,7395414,Miller,Lamar Miller,Lamar Miller (7395414),Lamar Miller,KC,RB,18.29,16.1,16.1,19.16,18.0471162711,,3.0,0.114285714286,7200,HOU,2.0,0.0
19.0,Mike,1.0,TB@Ari 04:05PM ET,7395596,Evans,Mike Evans,Mike Evans (7395596),Mike Evans,ARI,WR,15.24,16.0,16.0,16.28,16.2998262413,,1.0,0.225806451613,7200,TB,4.0,0.0
25.0,Derek,0.0,Atl@Oak 04:25PM ET,7395352,Carr,Derek Carr,Derek Carr (7395352),Derek Carr,ATL,QB,20.63,18.1,18.1,19.77,20.3268336613,,0.0,0.0,7200,OAK,6.0,0.0
23.2,DeAngelo,1.0,Cin@Pit 01:00PM ET,7395381,Williams,DeAngelo Williams,DeAngelo Williams (7395381),DeAngelo Williams,CIN,RB,22.74,18.5,18.5,22.48,21.6971601708,,2.0,0.25,7100,PIT,1.0,0.0
22.6,Kirk,0.0,Dal@Was 01:00PM ET,7395299,Cousins,Kirk Cousins,Kirk Cousins (7395299),Kirk Cousins,DAL,QB,19.92,19.1,19.1,19.26,20.4197739038,,0.0,0.0,7000,WAS,5.0,0.0
8.1,T.Y.,0.0,Ind@Den 04:25PM ET,7395623,Hilton,T.Y. Hilton,T.Y. Hilton (7395623),T.Y. Hilton,DEN,WR,13.12,13.9,13.9,14.67,14.0937886829,,1.0,0.282608695652,7000,IND,4.0,0.0
4.6,Adrian,0.0,GB@Min 08:30PM ET,7395480,Peterson,Adrian Peterson,Adrian Peterson (7395480),Adrian Peterson,GB,RB,16.36,16.3,16.3,16.61,17.0700180466,,5.0,0.0588235294118,7000,MIN,2.0,0.0
0.0,Rob,0.0,Mia@NE 01:00PM ET,7395673,Gronkowski,Rob Gronkowski,Rob Gronkowski (7395673),Rob Gronkowski,MIA,TE,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,6900,NE,0.0,0.0
27.3,Carson,0.0,TB@Ari 04:05PM ET,7395339,Palmer,Carson Palmer,Carson Palmer (7395339),Carson Palmer,TB,QB,22.82,22.0,22.0,21.28,23.4508264615,,0.0,0.0,6900,ARI,2.0,0.0
12.0,Jordan,1.0,Dal@Was 01:00PM ET,7395655,Reed,Jordan Reed,Jordan Reed (7395655),Jordan Reed,DAL,TE,18.08,15.1,15.1,16.33,17.4418542326,,2.0,0.238095238095,6800,WAS,1.0,0.0
3.3,Golden,0.0,Ten@Det 01:00PM ET,7395559,Tate,Golden Tate,Golden Tate (7395559),Golden Tate,TEN,WR,16.26,15.0,15.0,15.7,16.3795161691,,2.0,0.184210526316,6800,DET,4.0,0.0
31.8,Matt,0.0,Atl@Oak 04:25PM ET,7395349,Ryan,Matt Ryan,Matt Ryan (7395349),Matt Ryan,OAK,QB,17.21,16.1,16.1,17.99,17.4456950324,,0.0,0.0,6800,ATL,0.0,0.0
18.3,C.J.,1.0,Ind@Den 04:25PM ET,7395477,Anderson,C.J. Anderson,C.J. Anderson (7395477),C.J. Anderson,IND,RB,19.74,17.6,17.6,19.6,19.5870585009,,3.0,0.2,6800,DEN,1.0,0.0
24.6,Blake,0.0,Jax@SD 04:25PM ET,7395347,Bortles,Blake Bortles,Blake Bortles (7395347),Blake Bortles,SD,QB,19.75,20.2,20.2,18.87,20.8622566677,,0.0,0.0,6700,JAX,3.0,0.0
5.0,Doug,1.0,Sea@LA 04:05PM ET,7395578,Baldwin,Doug Baldwin,Doug Baldwin (7395578),Doug Baldwin,LA,WR,16.6,14.3,14.3,15.46,16.2270291711,,1.0,0.279069767442,6600,SEA,4.0,0.0
32.8,Kelvin,1.0,SF@Car 01:00PM ET,7395496,Benjamin,Kelvin Benjamin,Kelvin Benjamin (7395496),Kelvin Benjamin,SF,WR,16.12,15.4,15.4,15.85,16.4968817646,,1.0,0.375,6500,CAR,4.0,0.0
