"Place_lo","Place_hi","Payout"
"1","1","25000"
"2","2","15000"
"3","3","10000"
"4","4","7500"
"5","5","5000"
"6","6","3500"
"7","8","2500"
"9","10","1500"
"11","15","1000"
"16","20","750"
"21","30","500"
"31","40","350"
"41","50","250"
"51","75","200"
"76","100","150"
"101","150","125"
"151","250","100"
"251","500","80"
"501","950","60"
"951","1935","50"
