"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","ValueWR"
"TE","Greg Olsen (0000000)","Greg Olsen",0,6300,"TB@Car 00:00PM ET","Car","Greg","Olsen","TB",17.85,13.5,1,0.260869565217391,0
"RB","Lamar Miller (0000000)","Lamar Miller",0,6300,"Hou@Min 00:00PM ET","Hou","Lamar","Miller","Min",15.01,19.8,4,0.105633802816901,0
"WR","Stefon Diggs (0000000)","Stefon Diggs",0,6300,"Hou@Min 00:00PM ET","Min","Stefon","Diggs","Hou",0,0,1,0.265151515151515,0
"WR","Randall Cobb (0000000)","Randall Cobb",0,6200,"NYG@GB 00:00PM ET","GB","Randall","Cobb","NYG",13.06,13.2,2,0.203883495145631,0
"QB","Joe Flacco (0000000)","Joe Flacco",0,6200,"Was@Bal 00:00PM ET","Bal","Joe","Flacco","Was",18.09,17.1,0,0,0
"RB","Matt Forte (0000000)","Matt Forte",0,6200,"NYJ@Pit 00:00PM ET","NYJ","Matt","Forte","Pit",14.89,14.8,5,0.104575163398693,0
"RB","DeAngelo Williams (0000000)","DeAngelo Williams",0,6100,"NYJ@Pit 00:00PM ET","Pit","DeAngelo","Williams","NYJ",6.45,5.3,2,0.152777777777778,0
"QB","Kirk Cousins (0000000)","Kirk Cousins",0,6100,"Was@Bal 00:00PM ET","Was","Kirk","Cousins","Bal",17.69,17.9,0,0,0
"QB","Tony Romo (0000000)","Tony Romo",0,6000,"Cin@Dal 00:00PM ET","Dal","Tony","Romo","Cin",0,0,0,0,0
"WR","Eric Decker (0000000)","Eric Decker",0,6000,"NYJ@Pit 00:00PM ET","NYJ","Eric","Decker","Pit",0,0,3,0.137254901960784,0
"QB","Eli Manning (0000000)","Eli Manning",0,6000,"NYG@GB 00:00PM ET","NYG","Eli","Manning","GB",16.93,16.9,0,0,0
"RB","Eddie Lacy (0000000)","Eddie Lacy",0,5900,"NYG@GB 00:00PM ET","GB","Eddie","Lacy","NYG",11.55,14.7,6,0.0485436893203883,0
"WR","DeSean Jackson (0000000)","DeSean Jackson",0,5900,"Was@Bal 00:00PM ET","Was","DeSean","Jackson","Bal",11.87,14.4,2,0.188311688311688,0
"QB","Andy Dalton (0000000)","Andy Dalton",0,5900,"Cin@Dal 00:00PM ET","Cin","Andy","Dalton","Dal",18.07,19,0,0,0
"WR","Terrelle Pryor (0000000)","Terrelle Pryor",0,5800,"NE@Cle 00:00PM ET","Cle","Terrelle","Pryor","NE",16.15,15.2,1,0.297872340425532,0
"QB","Jameis Winston (0000000)","Jameis Winston",0,5800,"TB@Car 00:00PM ET","TB","Jameis","Winston","Car",17.46,17.7,0,0,0
