"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"WR","Antonio Brown (0000000)","Antonio Brown",0,9800,"Pit@Was 00:00PM ET","Pit","Antonio","Brown","Was",30.3,26.3
"WR","Julio Jones (0000000)","Julio Jones",0,9400,"TB@Atl 00:00PM ET","Atl","Julio","Jones","TB",27.81,24.9
"WR","Odell Beckham (0000000)","Odell Beckham",0,9300,"NYG@Dal 00:00PM ET","NYG","Odell","Beckham","Dal",22.51,21
"WR","DeAndre Hopkins (0000000)","DeAndre Hopkins",0,8800,"Chi@Hou 00:00PM ET","Hou","DeAndre","Hopkins","Chi",22.49,20.5
"WR","Dez Bryant (0000000)","Dez Bryant",0,8500,"NYG@Dal 00:00PM ET","Dal","Dez","Bryant","NYG",17.95,19
"QB","Aaron Rodgers (0000000)","Aaron Rodgers",0,8500,"GB@Jax 00:00PM ET","GB","Aaron","Rodgers","Jax",23.19,22.3
"WR","A.J. Green (0000000)","A.J. Green",0,8400,"Cin@NYJ 00:00PM ET","Cin","A.J.","Green","NYJ",19.1,18
"WR","Allen Robinson (0000000)","Allen Robinson",0,8300,"GB@Jax 00:00PM ET","Jax","Allen","Robinson","GB",18.72,16.5
"QB","Andrew Luck (0000000)","Andrew Luck",0,8300,"Det@Ind 00:00PM ET","Ind","Andrew","Luck","Det",21.57,24.2
"QB","Drew Brees (0000000)","Drew Brees",0,8100,"Oak@NO 00:00PM ET","NO","Drew","Brees","Oak",24.75,20.8
"WR","Keenan Allen (0000000)","Keenan Allen",0,8000,"SD@KC 00:00PM ET","SD","Keenan","Allen","KC",17.39,0
"QB","Russell Wilson (0000000)","Russell Wilson",0,7900,"Mia@Sea 00:00PM ET","Sea","Russell","Wilson","Mia",21.57,22.9
"WR","Alshon Jeffery (0000000)","Alshon Jeffery",0,7900,"Chi@Hou 00:00PM ET","Chi","Alshon","Jeffery","Hou",17.28,17.2
"RB","Todd Gurley (0000000)","Todd Gurley",0,7800,"LA@SF 00:00PM ET","LA","Todd","Gurley","SF",19.29,18.1
"QB","Ben Roethlisberger (0000000)","Ben Roethlisberger",0,7800,"Pit@Was 00:00PM ET","Pit","Ben","Roethlisberger","Was",22.83,21.1
"WR","Brandon Marshall (0000000)","Brandon Marshall",0,7800,"Cin@NYJ 00:00PM ET","NYJ","Brandon","Marshall","Cin",18.93,18.2
"WR","Brandin Cooks (0000000)","Brandin Cooks",0,7700,"Oak@NO 00:00PM ET","NO","Brandin","Cooks","Oak",16.81,16.1
"QB","Cam Newton (0000000)","Cam Newton",0,7700,"Car@Den 00:00PM ET","Car","Cam","Newton","Den",19.86,19.3
"WR","Jordy Nelson (0000000)","Jordy Nelson",0,7700,"GB@Jax 00:00PM ET","GB","Jordy","Nelson","Jax",18.78,14.4
"WR","Randall Cobb (0000000)","Randall Cobb",0,7600,"GB@Jax 00:00PM ET","GB","Randall","Cobb","Jax",17.1,16.7
"RB","Adrian Peterson (0000000)","Adrian Peterson",0,7600,"Min@Ten 00:00PM ET","Min","Adrian","Peterson","Ten",18.29,15.3
"RB","David Johnson (0000000)","David Johnson",0,7500,"NE@Ari 00:00PM ET","Ari","David","Johnson","NE",18.71,16.9
"QB","Eli Manning (0000000)","Eli Manning",0,7500,"NYG@Dal 00:00PM ET","NYG","Eli","Manning","Dal",18.71,20.7
"WR","T.Y. Hilton (0000000)","T.Y. Hilton",0,7500,"Det@Ind 00:00PM ET","Ind","T.Y.","Hilton","Det",15.98,16.4
"RB","Le'Veon Bell (0000000)","Le'Veon Bell",0,7400,"Pit@Was 00:00PM ET","Pit","Le'Veon","Bell","Was",0,0
"QB","Tom Brady (0000000)","Tom Brady",0,7400,"NE@Ari 00:00PM ET","NE","Tom","Brady","Ari",0,0
"WR","Mike Evans (0000000)","Mike Evans",0,7400,"TB@Atl 00:00PM ET","TB","Mike","Evans","Atl",18.54,17.4
"TE","Rob Gronkowski (0000000)","Rob Gronkowski",0,7400,"NE@Ari 00:00PM ET","NE","Rob","Gronkowski","Ari",0,0
"QB","Kirk Cousins (0000000)","Kirk Cousins",0,7400,"Pit@Was 00:00PM ET","Was","Kirk","Cousins","Pit",18.56,20
"WR","Golden Tate (0000000)","Golden Tate",0,7300,"Det@Ind 00:00PM ET","Det","Golden","Tate","Ind",18.45,16.7
"QB","Derek Carr (0000000)","Derek Carr",0,7300,"Oak@NO 00:00PM ET","Oak","Derek","Carr","NO",19.84,22.1
"RB","Ezekiel Elliott (0000000)","Ezekiel Elliott",0,7300,"NYG@Dal 00:00PM ET","Dal","Ezekiel","Elliott","NYG",17.07,16.9
"WR","Amari Cooper (0000000)","Amari Cooper",0,7200,"Oak@NO 00:00PM ET","Oak","Amari","Cooper","NO",19.09,17.4
"QB","Blake Bortles (0000000)","Blake Bortles",0,7200,"GB@Jax 00:00PM ET","Jax","Blake","Bortles","GB",19.02,18.1
"QB","Matthew Stafford (0000000)","Matthew Stafford",0,7200,"Det@Ind 00:00PM ET","Det","Matthew","Stafford","Ind",18.45,21.6
"QB","Carson Palmer (0000000)","Carson Palmer",0,7100,"NE@Ari 00:00PM ET","Ari","Carson","Palmer","NE",19.51,19.3
"RB","Jamaal Charles (0000000)","Jamaal Charles",0,7100,"SD@KC 00:00PM ET","KC","Jamaal","Charles","SD",0,0
