"Place_lo","Place_hi","Payout"
"1","1","75"
"2","2","50"
"3","3","40"
"4","4","30"
"5","5","20"
"6","6","15"
"7","7","10"
"8","8","9"
"9","9","8"
"10",NA,"7"
"11","15","6"
"16","20","5"
"21","25","4.5"
"26","35","4"
"36","55","3.5"
"56","75","3"
"76","115","2.5"
"116","165","2"
"166","265","1.5"
"266","465","1.25"
"466","865","1"
"866","1565","0.75"
"1566","3492","0.5"
