"Player.Name","Likes","Pos","Salary","Team","Opp","RS","Pitcher.Name","Pitcher.wOBA","Pitcher.wOBA.Diff","Pitcher.Handedness","Hitter.Handedness","Hitter.wOBA","Hitter.wOBA.Diff","Hitter.ISO","Hitter.ISO.Diff","Batting.Order..Confirmed.","Batting.Order..Projected.","Batting.Order.Diff","Park.Factor","Temperature.Factor","Wind.Factor","L10.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Manny Machado",NA,"3B",5600,"BAL","OAK",5.79,"Smith",0.316,"-1%","R","R",0.361,"2%",0.236,"10%",NA,"2",NA,"1%","3%","1%",14.4,8.9,8.7,-0.7,18.1,10.3,1.8,0,0
"Paul Goldschmidt",NA,"1B",5600,"ARI","@NYM",4.71,"Gsellman",0.345,"4%","R","R",0.398,"-3%",0.236,"-2%",NA,"4",NA,"-9%","2%","4%",8.7,10.7,11.1,2.6,19.6,10.1,1.8,0,0
"Mike Trout",NA,"OF",5400,"LAA","TEX",4.61,"Hamels",0.305,"-3%","L","R",0.416,"-1%",0.238,"-12%",NA,"2",NA,"-3%","-1%","0%",10.5,12.1,12.1,5.1,19.2,10.5,1.9,0,0
"Freddie Freeman",NA,"1B/3B",5300,"ATL","SEA",4.75,"Albers",NA,"-5%","L","L",0.347,"-10%",0.156,"-31%",NA,"3",NA,"-3%","2%","0%",8.8,10.7,10.7,2,19.5,7.8,1.5,0,0
"Nomar Mazara",NA,"OF",5200,"TEX","@LAA",3.89,"Skaggs",0.32,"-2%","L","L",0.246,"-14%",0.047,"-42%",NA,"5",NA,"-11%","-1%","0%",12.4,8.2,8.2,0.8,15.6,5.7,1.1,0,0
"J.D. Martinez",NA,"OF",5200,"ARI","@NYM",4.71,"Gsellman",0.345,"4%","R","R",0.374,"-1%",0.252,"-2%",NA,"5",NA,"-10%","3%","5%",7.1,9.7,9.6,-0.2,19.4,8.9,1.7,0,0
"Nelson Cruz",NA,"OF",5100,"SEA","@ATL",4.75,"Foltynewicz",0.335,"3%","R","R",0.374,"-4%",0.252,"-4%",NA,"x",NA,"4%","2%","0%",16.9,9.5,9.6,1.2,18,0,0,0,0
"Edwin Encarnacion",NA,"1B",5000,"CLE","BOS",4.97,"Rodriguez",0.3,"-4%","L","R",0.373,"-1%",0.228,"-12%",NA,"4",NA,"2%","4%","3%",11.8,9.8,8.7,-0.3,17.6,9.2,1.8,0,0
"Elvis Andrus",NA,"SS",5000,"TEX","@LAA",3.89,"Skaggs",0.331,"3%","L","R",0.333,"3%",0.124,"-2%",NA,"3",NA,"-8%","-1%","0%",11.5,9.7,9.2,0.8,17.7,7.9,1.6,0,0
"Adrian Beltre",NA,"3B",4900,"TEX","@LAA",3.89,"Skaggs",0.331,"3%","L","R",0.408,"11%",0.224,"11%",NA,"4",NA,"-9%","-2%","0%",11.6,9.1,9.1,1.8,16.4,8.8,1.8,0,0
