"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"David Price",1,"SP",12300,"BOS","@LAA","54%",3.81,NA,NA,NA,4.07,"24.4%",3.53,3.49,"L",0.292,0.29,"5%","-1%","0%",23.8,18.1,18.1,7.1,29.1,21.2,1.7,0,0
"Jon Lester",0,"SP",12200,"CHC","STL","61%",NA,NA,NA,NA,4.49,"24.7%",3.51,3.35,"L",0.268,0.296,"1%","-2%","1%",12.7,16.2,16.2,3.6,28.8,16.9,1.4,0,0
"Rich Hill",2,"SP",11700,"LAD","ATL","68%",3.17,NA,NA,NA,4.64,"29.7%",3.37,3.53,"L",0.284,0.245,"3%","-1%","-1%",28.3,17.5,17.5,5.1,29.9,18.6,1.6,0,0
"Chris Archer",1,"SP",11100,"TB","TEX","64%",3.6,NA,NA,NA,4.88,"28.4%",3.35,3.26,"R",0.29,0.29,"1%","0%","0%",16.6,20.7,20.7,11.8,29.7,21,1.9,0,0
"Masahiro Tanaka",1,"SP",9400,"NYY","@SEA","55%",4.03,NA,NA,NA,4.76,"22.0%",3.63,3.53,"R",0.294,0.299,"5%","-2%","0%",22,15,15,0.6,29.4,18.3,1.9,0,0
"Adam Wainwright",0,"SP",9200,"STL","@CHC","39%",NA,NA,NA,NA,4.71,"19.3%",4.25,3.98,"R",0.323,0.314,"1%","-3%","2%",20.3,13.1,13.1,-0.5,26.6,14.4,1.6,0,0
"Marcus Stroman",NA,"SP",9000,"TOR","@CLE","44%",4.51,NA,NA,NA,4.7,"19.6%",3.63,3.44,"R",0.298,0.309,"-4%","-1%","1%",17.3,17.4,17.4,6.9,28,14.7,1.6,0,0
"Jason Vargas",NA,"SP",8000,"KC","CWS","63%",4.31,NA,NA,NA,4.45,"17.7%",4.63,4.78,"L",0.318,0.291,"-2%","-5%","0%",9.2,17.1,17.1,5.7,28.4,12.5,1.6,0,0
"Collin McHugh",NA,"SP",7500,"HOU","@BAL","55%",5.22,NA,NA,NA,4.6,"21.0%",3.97,4,"R",0.302,0.329,"-2%","-2%","-1%",0,0,0,0,0,13.2,1.8,0,0
"Julio Teheran",NA,"SP",7400,"ATL","@LAD","32%",4.83,NA,NA,NA,5.12,"20.1%",4.32,4.39,"R",0.338,0.263,"10%","-3%","-3%",13.3,11.9,11.9,0.7,23.2,13.5,1.8,0,0
"Matt Moore",NA,"SP",7200,"SF","SD","56%",3.92,NA,NA,NA,3.68,"19.4%",4.61,4.79,"L",0.355,0.327,"1%","-1%","0%",9.7,9.5,9.5,-2.1,21.2,14.8,2.1,0,0
"Danny Salazar",NA,"SP",7100,"CLE","TOR","56%",3.99,NA,NA,NA,4.17,"27.2%",3.61,3.59,"R",0.312,0.304,"-2%","-1%","1%",11.3,16.1,16.1,8,24.1,18.1,2.5,0,0
"Brent Suter",NA,"SP",6800,"MIL","@PHI","52%",4.39,NA,NA,NA,3.92,"18.7%",4.23,4.26,"L",NA,0.295,"4%","-1%","0%",14.3,14.3,14.3,2.2,26.4,13.7,2,0,0
"Jeremy Hellickson",NA,"SP",6700,"PHI","MIL","48%",4.61,NA,NA,NA,4.84,"18.0%",4.42,4.4,"R",0.324,0.31,"3%","-2%","0%",16.4,10.2,10.2,1.1,19.3,11.4,1.7,0,0
"Sean Manaea",1,"SP",6600,"OAK","@NYM","50%",4.25,NA,NA,NA,4.8,"22.3%",4.04,3.97,"L",0.223,0.317,"2%","-2%","-2%",17.6,17.5,17.5,8.8,26.2,16.2,2.5,0,0
"Luis Perdomo",NA,"SP",6500,"SD","@SF","43%",4.58,NA,NA,NA,3.87,"16.8%",4.03,3.98,"R",0.377,0.34,"0%","-1%","0%",10.6,10.5,10.5,-0.5,21.6,11.5,1.8,0,0
"Anthony Banda",NA,"SP",6300,"ARI","WAS","",NA,NA,NA,NA,5.59,"",NA,NA,"L",NA,NA,"-4%","-8%","0%",0,0,0,0,0,10.4,1.7,0,0
"Zack Wheeler",NA,"SP",6300,"NYM","OAK","50%",4.25,NA,NA,NA,4.33,"20.8%",4.55,4.28,"R",0.341,0.342,"2%","-2%","-2%",2.6,11.1,11.1,1.4,20.8,14.1,2.2,0,0
"German Marquez",NA,"SP",6200,"COL","PIT","55%",5.65,NA,NA,NA,4.19,"19.7%",4.36,4.33,"R",0.346,0.346,"-9%","-3%","1%",13.5,14.2,14.2,3,25.5,12.7,2,0,0
"Tanner Roark",NA,"SP",6100,"WAS","@ARI","",NA,NA,NA,NA,5.06,"18.3%",4.36,4.25,"R",0.319,0.285,"-8%","-8%","0%",4.3,12.2,12.2,1.4,22.9,10.7,1.8,0,0
"Kyle Gibson",NA,"SP",6000,"MIN","DET","50%",5.25,NA,NA,NA,4.83,"16.3%",4.57,4.34,"R",0.34,0.329,"-2%","-4%","0%",6.6,6.8,6.8,-1.4,15,9.7,1.6,0,0
