Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Chris Sale,6,SP,13400,BOS,@LAA,63%,3.21,,,,4.07,30.5%,2.86,2.99,L,0.245,0.274,3%,0%,0%,34.0,30.6,30.6,23.7,37.4,26.6,2.0,0.0,0.0
Max Scherzer,5,SP,12700,WAS,@ARI,57%,3.88,,,,4.99,32.1%,2.80,3.12,R,0.301,0.207,-4%,0%,0%,33.0,30.9,30.9,21.1,40.8,24.3,1.9,0.0,0.0
Alex Wood,6,SP,11800,LAD,ATL,71%,3.06,,,,4.62,22.0%,3.69,3.45,L,0.263,0.301,2%,-1%,-1%,28.4,24.3,24.3,15.7,32.8,19.8,1.7,0.0,0.0
Yu Darvish,4,SP,10600,TEX,@TB,54%,4.05,,,,4.67,28.4%,3.54,3.57,R,0.301,0.280,5%,0%,0%,17.3,19.3,19.3,9.1,29.5,20.5,1.9,0.0,0.0
Carlos Martinez,,SP,9600,STL,@CHC,43%,4.29,6.5,0.317,23.5%,4.71,23.7%,3.76,3.59,R,0.334,0.252,1%,-2%,0%,11.8,20.8,20.8,8.9,32.7,18.7,1.9,0.0,0.0
Jeff Samardzija,5,SP,9100,SF,SD,60%,3.12,,,,3.67,20.7%,3.93,3.90,R,0.331,0.291,1%,0%,0%,16.8,17.9,17.9,8.0,27.9,19.6,2.2,0.0,0.0
Ervin Santana,1,SP,8600,MIN,DET,56%,4.45,,,,4.84,18.9%,4.49,4.47,R,0.308,0.300,-2%,-2%,1%,14.9,19.0,19.0,5.7,32.3,13.2,1.5,0.0,0.0
Aaron Nola,3,SP,8400,PHI,MIL,55%,4.25,,,,4.87,23.9%,3.56,3.39,R,0.325,0.279,1%,-3%,0%,27.7,18.8,18.8,8.8,28.8,19.5,2.3,0.0,0.0
Trevor Cahill,3,SP,8300,SD,@SF,40%,3.88,,,,3.89,24.3%,3.56,3.52,R,0.339,0.303,0%,0%,0%,19.7,19.8,19.8,13.6,26.0,16.0,1.9,0.0,0.0
Ian Kennedy,1,SP,8100,KC,CWS,61%,4.59,,,,4.45,23.0%,4.10,4.39,R,0.322,0.316,-2%,-4%,0%,19.2,13.6,13.6,3.3,23.9,15.0,1.9,0.0,0.0
Alex Cobb,,SP,7900,TB,TEX,46%,4.45,,,,4.86,15.6%,4.74,4.59,R,0.297,0.312,2%,0%,0%,19.3,14.5,14.5,4.9,24.1,13.8,1.7,0.0,0.0
Jake Arrieta,,SP,7800,CHC,STL,56%,3.71,5.5,,,4.52,25.0%,3.49,3.30,R,0.258,0.256,1%,-2%,0%,15.1,15.9,15.9,5.7,26.0,16.8,2.2,0.0,0.0
Mike Fiers,1,SP,7500,HOU,@BAL,57%,5.04,,,,4.55,21.6%,4.09,4.12,R,0.293,0.345,-2%,-3%,0%,20.8,15.6,15.6,6.4,24.7,13.6,1.8,0.0,0.0
CC Sabathia,,SP,7300,NYY,@SEA,53%,4.36,,,,4.80,19.2%,4.30,4.21,L,0.261,0.336,6%,-2%,0%,17.3,14.7,14.7,3.4,26.1,13.8,1.9,0.0,0.0
Steven Matz,2,SP,7100,NYM,OAK,60%,4.22,,,,4.33,21.8%,3.81,3.65,L,0.308,0.302,2%,-3%,0%,9.1,10.7,10.7,-3.2,24.6,15.3,2.2,0.0,0.0
Ricky Nolasco,,SP,6800,LAA,BOS,37%,4.29,,,,4.72,18.6%,4.38,4.42,R,0.343,0.352,3%,-1%,0%,15.9,13.2,13.2,1.7,24.7,13.1,1.9,0.0,0.0
Matt Garza,,SP,6700,MIL,@PHI,45%,4.75,,,,3.92,15.6%,4.71,4.53,R,0.334,0.325,5%,-4%,0%,11.1,12.1,12.1,6.2,18.0,11.5,1.7,0.0,0.0
Jeff Hoffman,,SP,6300,COL,PIT,56%,5.59,,,,4.19,18.5%,4.73,4.83,R,0.298,0.354,-10%,-2%,1%,7.9,16.0,16.0,2.3,29.7,12.9,2.0,0.0,0.0
Trevor Bauer,1,SP,6200,CLE,TOR,56%,4.43,,,,4.13,22.6%,4.17,4.10,R,0.317,0.322,-2%,-2%,0%,12.6,14.0,14.0,2.0,26.0,14.6,2.4,0.0,0.0
Anibal Sanchez,,SP,6100,DET,@MIN,44%,5.05,,,,4.55,20.6%,4.20,4.36,R,0.302,0.374,-3%,-2%,1%,15.0,15.0,15.0,7.0,22.9,13.0,2.1,0.0,0.0
James Shields,,SP,5800,CWS,@KC,39%,5.91,,,,4.06,20.4%,4.51,4.59,R,0.356,0.333,-7%,-6%,0%,4.4,9.8,9.8,1.2,18.4,10.0,1.7,0.0,0.0
Marco Estrada,,SP,5700,TOR,@CLE,44%,5.07,,,,4.70,21.5%,4.42,4.74,R,0.290,0.307,-4%,-3%,0%,5.7,13.9,13.9,1.2,26.6,13.2,2.3,0.0,0.0
Homer Bailey,,SP,5600,CIN,MIA,51%,4.95,,,,4.60,17.3%,4.53,4.34,R,0.368,0.379,0%,-3%,0%,2.6,2.6,2.6,-12.4,17.7,10.6,1.9,0.0,0.0
Trevor Williams,,RP,5500,PIT,@COL,44%,6.41,,,,5.31,17.1%,4.50,4.45,R,0.357,0.316,-34%,-4%,3%,13.4,10.5,10.5,2.3,18.6,7.0,1.3,0.0,0.0
Jaime Garcia,,SP,5400,ATL,@LAD,28%,4.94,,,,5.15,19.3%,3.93,3.76,L,0.304,0.308,9%,-1%,-2%,9.9,13.3,13.3,4.3,22.2,13.9,2.6,0.0,0.0
Paul Blackburn,,SP,5300,OAK,@NYM,40%,5.28,,,,4.82,,,,R,,,5%,-6%,0%,14.2,14.2,14.2,9.9,18.4,9.0,1.7,0.0,0.0
Andrew Moore,,SP,5300,SEA,NYY,47%,4.64,,,,5.34,,,,R,,,5%,-3%,0%,9.1,9.1,9.1,-1.7,19.9,10.5,2.0,0.0,0.0
Jose Urena,,SP,5000,MIA,@CIN,49%,5.05,,,,4.70,14.3%,5.03,5.15,R,0.350,0.323,-3%,-4%,0%,11.3,12.0,12.0,3.7,20.4,9.2,1.8,0.0,0.0
Ubaldo Jimenez,,SP,4800,BAL,HOU,42%,5.96,,,,5.87,20.1%,4.44,4.35,R,0.355,0.321,0%,-6%,0%,5.9,6.4,6.4,-7.3,20.2,8.1,1.7,0.0,0.0
