"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Hyun-Jin Ryu",0,"SP",10200,"LAD","@SF","59%",3.62,NA,NA,NA,3.83,"",NA,NA,"L",0.321,0.299,"-1%","1%","0%",11.2,11.2,11.2,7.5,14.8,14.6,1.4,0,0
"Chris Archer",4,"SP",10100,"TB","@BAL","53%",3.63,6.5,NA,NA,4.12,"27.9%",3.3,3.21,"R",0.294,0.296,"-1%","3%","0%",20.3,20.3,20.3,16.8,23.8,20.3,2,0,0
"Francisco Liriano",3,"SP",9700,"TOR","@LAA","45%",4.22,5,NA,NA,3.63,"25.0%",3.87,3.66,"L",0.27,0.304,"5%","1%","0%",13.4,13.4,13.4,-8.1,35,16,1.6,0,0
"Zack Greinke",3,"SP",9400,"ARI","SD","60%",3.98,5.5,NA,NA,3.16,"22.0%",3.65,3.55,"R",0.287,0.276,"-3%","-1%","0%",16.5,16.5,16.5,4.3,28.7,16.1,1.7,0,0
"Jason Vargas",6,"SP",8000,"KC","@CWS","51%",3.45,NA,NA,NA,3.06,"18.6%",4.17,4.19,"L",0.323,0.308,"4%","2%","0%",31,31,31,24.3,37.6,15.4,1.9,0,0
"Miguel Gonzalez",4,"SP",7500,"CWS","KC","49%",3.55,NA,NA,NA,2.59,"17.3%",4.54,4.56,"R",0.326,0.321,"1%","4%","0%",17.7,17.7,17.7,8.3,27.2,12.9,1.7,0,0
"Brett Anderson",2,"SP",7300,"CHC","@PIT","54%",3.82,NA,NA,NA,3.53,"14.8%",3.67,3.65,"L",0.333,0.32,"0%","4%","1%",10.5,10.5,10.5,2.7,18.4,12.3,1.7,0,0
"Chad Kuhl",0,"SP",7000,"PIT","CHC","46%",4.18,NA,NA,NA,4.94,"18.3%",4.5,4.59,"R",0.363,0.288,"1%","4%","1%",15.9,15.9,15.9,11.3,20.6,13.4,1.9,0,0
"Ubaldo Jimenez",0,"SP",6800,"BAL","TB","47%",3.87,4.5,NA,NA,4.68,"20.3%",4.31,4.21,"R",0.328,0.322,"0%","6%","0%",8.1,8.1,8.1,-6.1,22.3,12.9,1.9,0,0
"Amir Garrett",4,"SP",6700,"CIN","@MIL","50%",4.23,NA,NA,NA,4.58,"",NA,NA,"L",NA,NA,"-1%","4%","1%",25.2,25.2,25.2,20.1,30.2,15.8,2.4,0,0
"Jesse Chavez",2,"SP",6700,"LAA","TOR","55%",3.78,NA,NA,NA,3.35,"20.9%",3.87,3.96,"R",0.321,0.302,"2%","2%","0%",13.9,13.9,13.9,2.6,25.2,15.7,2.3,0,0
"Martin Perez",1,"SP",6300,"TEX","MIN","56%",4.45,NA,NA,NA,4.12,"13.0%",4.83,4.54,"L",0.287,0.339,"-3%","3%","0%",10.9,10.9,10.9,1.4,20.3,11,1.7,0,0
"Matt Cain",0,"SP",6100,"SF","LAD","41%",4.38,NA,NA,NA,4.39,"17.1%",4.71,4.87,"R",0.338,0.338,"2%","2%","0%",13,13,13,3.5,22.4,11.1,1.8,0,0
"Jhoulys Chacin",0,"SP",5700,"SD","@ARI","40%",5.02,NA,NA,NA,5.42,"18.5%",4.41,4.26,"R",0.333,0.317,"-9%","-1%","0%",11.3,11.3,11.3,-9.1,31.7,12.4,2.2,0,0
"Matt Garza",0,"SP",5600,"MIL","CIN","50%",4.27,NA,NA,NA,4.72,"15.4%",4.67,4.5,"R",0.332,0.316,"-1%","6%","1%",0,0,0,0,0,11.5,2.1,0,0
"Phil Hughes",0,"SP",5500,"MIN","@TEX","44%",5.05,NA,NA,NA,4.5,"14.2%",4.57,4.54,"R",0.324,0.34,"-6%","4%","0%",11,11,11,1.8,20.3,10.6,1.9,0,0
"Tyler Anderson",0,"SP",5400,"COL","WAS","56%",5.59,NA,NA,NA,5.12,"20.4%",3.93,3.72,"L",0.304,0.338,"-9%","4%","0%",7.9,7.9,7.9,-0.7,16.6,13.1,2.4,0,0
