Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Chris Sale,18,SP,12600,BOS,@TB,67%,2.82,10.5,0.316,22.3%,4.49,30.6%,2.86,3.00,L,0.242,0.275,3%,0%,0%,28.1,29.7,29.7,20.6,38.8,27.1,2.2,46.2,3.7
Corey Kluber,13,SP,12400,CLE,COL,69%,3.14,9.5,0.351,19.6%,5.29,28.9%,3.09,3.07,R,0.297,0.252,-2%,-1%,0%,32.3,28.9,28.9,15.4,42.4,20.4,1.6,42.5,3.4
Dallas Keuchel,1,SP,11000,HOU,@CWS,70%,3.68,5.5,0.316,20.9%,4.27,22.4%,3.27,3.09,L,0.237,0.291,0%,-1%,0%,15.7,21.8,21.8,11.4,32.2,18.3,1.7,-10.8,-1.0
Jose Quintana,7,SP,10500,CHC,@SF,63%,3.41,6,0.311,22.7%,4.01,22.3%,3.85,3.81,L,0.286,0.314,1%,0%,0%,21.8,16.7,16.7,4.2,29.3,20.4,1.9,9.3,0.9
Michael Wacha,3,SP,8600,STL,@KC,54%,4.05,5,0.319,17.7%,4.37,20.6%,4.10,3.88,R,0.289,0.328,-5%,1%,0%,23.5,16.4,16.4,5.7,27.1,13.6,1.6,16.7,1.9
Jason Vargas,,SP,8100,KC,STL,46%,4.45,4.5,0.341,20.0%,4.47,17.5%,4.67,4.76,L,0.318,0.292,-3%,1%,0%,6.5,16.3,16.3,5.6,27.1,10.8,1.3,-2.7,-0.3
Jeremy Hellickson,,SP,7700,BAL,@LAA,48%,4.57,,0.324,19.0%,4.28,18.0%,4.43,4.42,R,0.322,0.312,8%,0%,0%,13.8,10.6,10.6,1.5,19.6,10.6,1.4,21.3,2.8
Zack Godley,4,SP,7600,ARI,LAD,45%,5.03,6,0.334,24.5%,5.13,22.3%,3.90,3.73,R,0.311,0.295,-3%,-5%,0%,21.7,20.4,20.4,14.4,26.4,14.7,1.9,13.6,1.8
J.A. Happ,1,SP,7500,TOR,NYY,55%,4.27,5.5,0.334,22.0%,5.21,20.9%,4.07,3.96,L,0.310,0.304,-2%,-1%,0%,11.2,15.1,15.1,4.6,25.6,13.1,1.7,19.9,2.7
Kenta Maeda,0,SP,7300,LAD,@ARI,55%,4.47,5,0.323,23.2%,4.99,24.3%,3.81,3.82,R,0.309,0.262,-9%,-5%,0%,15.3,15.6,15.6,5.4,25.7,14.4,2.0,18.3,2.5
Matt Garza,2,SP,7200,MIL,@MIN,45%,5.29,4,0.322,24.0%,4.50,15.7%,4.74,4.57,R,0.334,0.321,-3%,-2%,0%,13.9,12.5,12.5,6.7,18.3,11.0,1.5,-8.5,-1.2
German Marquez,1,SP,7100,COL,@CLE,31%,4.86,,0.336,18.1%,4.86,21.4%,4.19,4.15,R,0.324,0.337,5%,-1%,0%,23.9,16.1,16.1,4.3,27.9,12.3,1.7,16.5,2.3
Julio Teheran,7,SP,6900,ATL,PHI,62%,4.14,,0.298,23.1%,4.01,20.2%,4.31,4.39,R,0.338,0.270,0%,1%,0%,12.3,11.3,11.3,0.4,22.1,17.7,2.6,7.3,1.1
Chad Kuhl,6,SP,6800,PIT,DET,60%,3.78,4.5,0.298,24.7%,4.81,18.5%,4.70,4.60,R,0.367,0.295,1%,0%,0%,14.8,10.7,10.7,1.1,20.2,15.2,2.2,19.9,2.9
Parker Bridwell,,SP,6700,LAA,BAL,52%,4.43,,0.337,23.0%,4.70,16.1%,4.90,4.93,R,,0.293,3%,0%,0%,18.7,15.1,15.1,6.8,23.5,12.6,1.9,22.1,3.3
CC Sabathia,,SP,6600,NYY,@TOR,45%,4.73,4,0.342,16.9%,4.27,19.1%,4.31,4.21,L,0.264,0.335,-4%,-1%,0%,9.1,13.9,13.9,3.2,24.7,10.0,1.5,0.6,0.1
Ariel Miranda,2,SP,6500,SEA,@OAK,53%,4.36,,0.323,23.6%,4.37,19.6%,4.78,5.13,L,0.328,0.306,2%,1%,-1%,12.1,13.9,13.9,2.1,25.6,15.2,2.3,6.5,1.0
Sal Romano,3,SP,6300,CIN,SD,54%,4.31,,0.295,23.5%,3.82,,,,R,,,0%,-1%,0%,12.5,10.8,10.8,-0.6,22.1,15.2,2.4,0.3,0.0
Kendall Graveman,,SP,6200,OAK,SEA,47%,4.64,,0.327,20.0%,4.72,14.5%,4.56,4.39,R,0.331,0.319,4%,1%,-1%,3.7,9.5,9.5,-3.6,22.7,10.5,1.7,5.2,0.8
Matthew Boyd,,SP,5900,DET,@PIT,40%,4.72,4,0.335,20.0%,4.25,18.0%,4.72,4.97,L,0.359,0.359,2%,0%,0%,12.6,9.5,9.5,-1.5,20.6,12.5,2.1,3.0,0.5
A.J. Griffin,0,SP,5900,TEX,@NYM,50%,4.73,,0.311,21.4%,4.70,21.0%,4.66,5.12,R,0.385,0.312,10%,0%,0%,8.9,13.3,13.3,-2.7,29.3,13.7,2.3,5.0,0.8
A.J. Cole,1,SP,5700,WAS,MIA,57%,4.33,,0.302,18.6%,4.72,21.1%,4.49,5.03,R,,,0%,0%,0%,9.4,9.4,9.4,3.5,15.2,11.7,2.1,9.7,1.7
Luis Perdomo,1,SP,5500,SD,@CIN,46%,4.69,,0.310,20.4%,4.50,16.5%,4.10,4.02,R,0.372,0.342,-3%,-1%,0%,7.1,10.5,10.5,0.3,20.6,11.5,2.1,20.9,3.8
Adalberto Mejia,,SP,5400,MIN,MIL,55%,4.71,,0.339,24.9%,4.62,18.3%,5.04,5.05,L,,0.339,-1%,-2%,0%,10.9,11.0,11.0,3.7,18.3,12.5,2.3,2.0,0.4
