Player Name,Likes,Inj,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Randal Grichuk,1,,OF,3300,STL,CHC,3.22,Arrieta,0.242,-17%,R,R,0.339,0%,0.242,0,7,7,1,-1%,-7%,-2%,23.0,23.0,23.0,23.0,23.0,5.3,1.6,0.0,0.0
Joey Gallo,1,,3B/OF,3300,TEX,CLE,3.96,Carrasco,0.293,-6%,R,L,0.310,2%,0.215,11,7,x,0,2%,-3%,0%,7.0,7.0,7.0,7.0,7.0,6.7,2.0,19.0,5.8
Rajai Davis,2,,OF,3300,OAK,LAA,3.63,Shoemaker,0.311,-2%,R,R,0.298,-6%,0.120,-17,1,1,0,-2%,-2%,0%,0.0,0.0,0.0,0.0,0.0,7.3,2.2,17.0,5.2
Raimel Tapia,,,OF,3300,COL,@MIL,4.00,Davies,0.312,-2%,R,L,0.255,0%,0.000,-1,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yasmani Grandal,7,,C,3300,LAD,SD,4.48,Richard,0.346,4%,L,S,0.315,-3%,0.110,-24,7,5,0,-3%,-4%,0%,30.0,30.0,30.0,30.0,30.0,6.7,2.0,0.0,0.0
Logan Forsythe,17,,2B,3300,LAD,SD,4.48,Richard,0.346,4%,L,R,0.344,5%,0.216,38,1,1,4,-4%,-3%,0%,11.0,11.0,11.0,11.0,11.0,8.0,2.4,8.0,2.4
Travis Shaw,2,,1B/3B,3300,MIL,COL,4.00,Anderson,,-3%,L,L,0.324,-4%,0.228,-5,5,6,-1,8%,-9%,0%,12.0,12.0,12.0,12.0,12.0,6.5,2.0,16.0,4.8
Brad Miller,,,SS,3300,TB,NYY,3.75,Sabathia,0.276,-10%,L,L,0.268,-15%,0.094,-44,6,4,-2,0%,0%,0%,8.0,8.0,8.0,8.0,8.0,5.5,1.7,0.0,0.0
Hernan Perez,,,3B/OF,3200,MIL,COL,4.00,Anderson,0.333,3%,L,R,0.293,3%,0.168,25,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abraham Almonte,,,OF,3200,CLE,@TEX,5.04,Perez,0.339,4%,L,S,0.282,0%,0.099,-8,x,x,-,0%,0%,0%,18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0
Lonnie Chisenhall,,,3B/OF,3200,CLE,@TEX,5.04,Perez,0.282,-7%,L,L,0.285,-9%,0.100,-26,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Haniger,1,,OF,3200,SEA,@HOU,3.77,McCullers,0.320,-1%,R,R,0.323,-1%,0.188,5,2,6,0,6%,1%,3%,2.0,2.0,2.0,2.0,2.0,8.4,2.6,7.0,2.2
Justin Turner,9,,3B,3200,LAD,SD,4.48,Richard,0.346,4%,L,R,0.318,-12%,0.144,-24,3,3,0,-4%,-3%,0%,19.0,19.0,19.0,19.0,19.0,6.8,2.1,3.0,0.9
Steven Souza,7,,OF,3200,TB,NYY,3.75,Sabathia,0.350,7%,L,R,0.317,3%,0.187,9,1,5,4,-3%,0%,0%,2.0,2.0,2.0,2.0,2.0,8.1,2.5,6.0,1.9
Addison Russell,5,,2B/SS,3200,CHC,@STL,3.78,Wainwright,0.275,-10%,R,R,0.315,1%,0.153,-7,4,5,1,-1%,-6%,-1%,3.0,3.0,3.0,3.0,3.0,6.3,2.0,7.0,2.2
Matt Holliday,7,,1B/OF,3200,NYY,@TB,3.75,Odorizzi,0.332,3%,R,R,0.339,-3%,0.153,-10,4,4,0,-6%,0%,0%,0.0,0.0,0.0,0.0,0.0,7.6,2.4,9.0,2.8
Willson Contreras,5,,C/OF,3200,CHC,@STL,3.78,Wainwright,0.275,-10%,R,R,0.362,1%,0.213,7,5,7,2,0%,-6%,-1%,21.0,21.0,21.0,21.0,21.0,6.3,2.0,7.0,2.2
Bobby Bradley,,,1B,3200,CLE,@TEX,5.04,Perez,,%,L,,,%,,,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orlando Arcia,2,,SS,3200,MIL,COL,4.00,Anderson,0.333,3%,L,R,0.368,5%,0.174,9,8,7,0,-2%,-7%,0%,7.0,7.0,7.0,7.0,7.0,5.9,1.8,0.0,0.0
Josh Reddick,8,,OF,3200,HOU,SEA,4.73,Iwakuma,0.298,-5%,R,L,0.364,10%,0.195,20,6,7,0,1%,1%,3%,3.0,3.0,3.0,3.0,3.0,8.3,2.6,3.0,0.9
Kole Calhoun,2,,OF,3200,LAA,@OAK,3.87,Manaea,,-4%,L,L,0.327,-2%,0.156,-8,2,2,0,-1%,-2%,0%,7.0,7.0,7.0,7.0,7.0,7.3,2.3,7.0,2.2
Delino DeShields,,,OF,3200,TEX,CLE,3.96,Carrasco,0.278,-9%,R,R,0.298,-1%,0.110,0,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dustin Garneau,,,C,3200,COL,@MIL,4.00,Davies,0.303,-4%,R,R,0.255,-4%,0.161,3,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Kiermaier,1,,OF,3100,TB,NYY,3.75,Sabathia,0.276,-10%,L,L,0.285,-10%,0.123,-25,2,2,0,0%,0%,0%,21.0,21.0,21.0,21.0,21.0,6.6,2.1,3.0,1.0
Nori Aoki,,,OF,3100,HOU,SEA,4.73,Iwakuma,0.298,-5%,R,L,0.319,-2%,0.104,20,x,9,-,-1%,1%,3%,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
Chris Owings,,,OF/SS,3100,ARI,SF,4.16,Cueto,0.281,-9%,R,R,0.285,0%,0.116,-5,7,8,-5,5%,-2%,0%,8.0,8.0,8.0,8.0,8.0,6.1,2.0,5.0,1.6
Brett Gardner,1,,OF,3100,NYY,@TB,3.75,Odorizzi,0.280,-9%,R,L,0.331,2%,0.152,9,1,1,0,-2%,0%,0%,3.0,3.0,3.0,3.0,3.0,7.3,2.4,9.0,2.9
Bradley Zimmer,,,OF,3100,CLE,@TEX,5.04,Perez,0.282,-7%,L,L,,-7%,,-22,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
