"Player.Name","Likes","Pos","Salary","Team","Opp","Vegas.Odds.Win","Vegas.Odds.RA","Vegas.Odds.K","Opponent.wOBA","Opponent.K.","Opponent.RS","K.","SIERA","xFIP","Handedness","wOBA.vs.L","wOBA.vs.R","Park.Factor","Temperature.Factor","Wind.Factor","L5.FP","L80.FP","S.FP","Floor.FP","Ceil.FP","Proj.FP","Proj.Val","Actual.FP","Actual.Val"
"Carlos Martinez",0,"SP",13500,"STL","@PHI","59%",3.82,7.5,0.289,"23.2%",3.83,"24.0%",3.69,3.52,"R",0.326,0.252,"1%","-1%","-1%",30.3,24,24,13,35.1,26,1.9,12.7,0.9
"Luis Severino",10,"SP",12300,"NYY","LAA","70%",3.46,6,0.31,"17.9%",4.28,"23.8%",3.73,3.61,"R",0.306,0.306,"0%","-1%","0%",25.1,21.3,21.3,9.2,33.3,19,1.5,7.5,0.6
"Chase Anderson",1,"SP",9400,"MIL","PIT","55%",4.25,4.5,0.305,"20.2%",4.28,"19.0%",4.42,4.43,"R",0.304,0.35,"-1%","-2%","0%",27.7,17.7,17.7,5.7,29.8,16.4,1.7,24.5,2.6
"Jake Arrieta",11,"SP",8800,"CHC","@MIA","57%",4.1,5.5,0.316,"21.6%",4.77,"25.6%",3.4,3.21,"R",0.259,0.253,"2%","0%","1%",16.1,16.1,16.1,6.2,26.1,17.6,2,20.1,2.3
"Marcus Stroman",2,"SP",8700,"TOR","@TEX","53%",5.06,5,0.33,"22.5%",4.9,"19.4%",3.61,3.44,"R",0.298,0.309,"-3%","0%","0%",17.8,17.5,17.5,7.6,27.4,16.1,1.9,-0.4,0
"Jose Quintana",NA,"SP",8300,"CWS","@MIN","53%",5.06,5.5,0.326,"23.4%",4.72,"21.3%",3.93,3.88,"L",0.289,0.317,"-3%","1%","1%",8.8,13.8,13.8,1.4,26.2,15.6,1.9,34,4.1
"Daniel Norris",2,"SP",7600,"DET","@SEA","46%",4.95,5.5,0.339,"21.1%",4.78,"21.1%",4.32,4.43,"L",0.337,0.33,"5%","0%","0%",16.6,13.4,13.4,5.4,21.4,14.1,1.9,8.7,1.1
"Jaime Garcia",8,"SP",7500,"ATL","SF","61%",3.97,4.5,0.312,"19.6%",3.71,"19.3%",3.89,3.72,"L",0.305,0.303,"0%","0%","0%",17.7,14.2,14.2,6.2,22.2,17.4,2.3,-2.3,-0.3
"Ivan Nova",1,"SP",7400,"PIT","@MIL","45%",4.75,4.5,0.298,"25.2%",4.81,"16.5%",4.13,4.01,"R",0.35,0.294,"-2%","-3%","0%",15.9,17,17,7,26.9,16.5,2.2,9.4,1.3
"Zack Godley",NA,"SP",7200,"ARI","@COL","43%",6.49,NA,0.328,"24.0%",5.3,"20.3%",4.06,3.91,"R",0.318,0.314,"-17%","-6%","0%",17.1,18.8,18.8,12.4,25.3,11.5,1.6,26.8,3.7
"Hyun-Jin Ryu",6,"SP",7100,"LAD","NYM","61%",3.75,NA,0.3,"24.0%",4.81,"21.1%",4.18,4.13,"L",0.344,0.335,"3%","0%","-1%",13.6,12.9,12.9,5.2,20.6,17.4,2.5,9.1,1.3
"Steven Matz",8,"SP",6900,"NYM","@LAD","39%",4.75,NA,0.32,"23.0%",5.14,"22.5%",3.64,3.46,"L",0.302,0.295,"5%","0%","-1%",14.5,14.5,14.5,9.5,19.6,17.1,2.5,18.7,2.7
